Block,Time,L_NR_2023_10,L_NR_2021_15,L_NR_2021_12,L_NR_2021_14,L_NR_2021_17,L_NR_2021_13,L_NR_2023_07,L_NR_2021_16,LT-05,L_NR_2012_07,L_NR_2019_05,L_NR_2012_04,L_NR_2020_02,L_NR_2019_11,SH-07,L_NR_2020_05,L_NR_2019_06,L_NR_2022_09,SH-06,LT-31,L_NR_2012_01,L_NR_2023_04,L_NR_2018_61,L_NR_2022_10,L_NR_2022_08,L_NR_2019_07,LT-35,L_NR_2020_06,L_NR_2020_07,LT-59,L_NR_2019_19,LT-36,L_NR_2012_02
1,00:00-00:15,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,6.180000,6.490000,30.710000,37.58,0,28.07,30.710000,0.000000,100.530000,30.410000,7.2,28.07,10.64,0,0.000000,12.52,12.53,6.560000,0,0.000000,257.110000

2,00:15-00:30,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,6.180000,6.490000,30.710000,37.67,0,28.02,30.710000,0.000000,100.530000,30.410000,7.2,28.02,10.93,0,0.000000,12.56,12.54,6.560000,0,0.000000,257.110000

3,00:30-00:45,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,5.820000,6.490000,30.710000,37.6,0,28.07,30.710000,0.000000,100.530000,30.410000,7.2,28.07,10.99,0,0.000000,12.53,12.53,6.560000,0,0.000000,257.110000

4,00:45-01:00,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,5.820000,6.490000,30.710000,37.51,0,28.04,30.710000,0.000000,100.530000,30.410000,7.2,28.04,10.99,0,0.000000,12.5,12.5,6.560000,0,0.000000,257.110000

5,01:00-01:15,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,5.630000,6.490000,30.710000,37.27,0,27.94,30.710000,0.000000,100.530000,30.410000,7.2,27.94,10.79,0,0.000000,12.42,12.43,6.560000,0,0.000000,257.110000

6,01:15-01:30,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,5.630000,6.490000,30.710000,36.97,0,27.84,30.710000,0.000000,100.530000,30.410000,7.2,27.84,10.71,0,0.000000,12.32,12.32,6.560000,0,0.000000,257.110000

7,01:30-01:45,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,5.630000,6.490000,22.610000,30.25,0,22.25,30.710000,0.000000,100.530000,30.410000,7.2,22.25,10.52,0,0.000000,10.08,10.09,6.560000,0,0.000000,257.110000

8,01:45-02:00,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,5.630000,6.490000,22.610000,30.2,0,22.26,30.710000,0.000000,100.530000,30.410000,7.2,22.26,10.54,0,0.000000,10.07,10.07,6.560000,0,0.000000,257.110000

9,02:00-02:15,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,5.540000,6.490000,22.610000,30.15,0,22.04,30.710000,0.000000,100.530000,30.460000,7.2,22.04,10.42,0,0.000000,10.05,10.04,6.330000,0,0.000000,257.110000

10,02:15-02:30,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,5.540000,6.490000,22.610000,30.08,0,21.65,30.710000,0.000000,100.530000,30.460000,7.2,21.65,10.31,0,0.000000,10.03,10.03,6.330000,0,0.000000,257.110000

11,02:30-02:45,0,0,0,0,0,0,0,0,114.790000,73.590000,0,269.920000,5.540000,6.490000,25.270000,30.08,0,21.44,30.710000,0.000000,100.530000,30.460000,7.2,21.44,10.28,0,0.000000,10.03,10.03,6.330000,0,0.000000,257.110000

