Block,Time Block,NAPP,MAPS,FSTPP I & II,DHAULIGNGA,DULHASTI,KUDGI,KKNPPU2,KOTESHWR,KOLDAM,KKNP,BSIUL,CHAMERA3,CHAMERA2,CHAMERA1,DADRT2,NJPC,JHAJJAR,KHSTPP-II,KISHANGANGA,KHSTPP-I,SEWA2,RSTPSU1TO6,RIHAND3,RSTPSU7,RAPPB,RIHAND2,SALAL,SASAN,SINGRAULI,RIHAND1,SIMHST1,RAMPUR,SIMHST2,RAPPC,KGSU3AND4,BRBCL,DADRI_RF,DADRI_LF,DADRI_GF,KGSU1AND2,AURY_CRF,AURY_RF,AURY_LF,AURY_GF,DADRI_CRF,ANTA_RF,ANTA_GF,ANTA_CRF,ANTA_LF,SINGRAULI_HYDRO,URI,URI2,UNCHAHAR2,VALLURNTECL,UNCHAHAR4,UNCHAHAR3,PARBATI3,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,NLCIIST1,TEHRI,TANDA2,UNCHAHAR1,TelanganaSTPP,TALST2,TANAKPUR,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,43.7,0,17.87,39.14,52.12,0,0,9.36,5.18,0,12.63,31.08,42.84,27.23,585.93,161.9,222.19,95.8,1.4,31.17,0,0,123.63,0,0,117.92,81.07,370.6,123.78,87.72,0,3.43,0,58.79,0,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.82,34.93,30.78,0,0.8,18.85,29.96,0,0,0,0,0,0,34.34,1.49,16.23,0,0,8.44,7.27,0,0,0,0,0

2,00:15-00:30,43.7,0,17.36,39.14,52.12,0,0,9.36,5.18,0,12.63,31.08,42.84,27.23,585.93,161.9,222.19,95.8,1.4,31.17,0,0,123.63,0,0,117.92,81.07,370.6,123.78,87.72,0,3.43,0,58.79,0,18.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.82,34.93,30.78,0,0,18.85,29.96,0,0,0,0,0,0,34.34,1.49,15.01,0,0,8.44,7.27,0,0,0,0,0

3,00:30-00:45,43.7,0,17.36,39.14,52.12,0,0,9.36,5.18,0,12.63,31.08,42.84,27.23,585.93,161.9,233.81,95.8,1.4,31.17,0,0,123.63,0,0,117.92,81.07,370.6,123.78,87.72,0,3.43,0,58.79,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.86,34.93,30.78,0,0,18.85,17.01,0,0,0,0,0,0,34.34,1.49,15.01,0,0,11.17,7.27,0,0,0,0,0

4,00:45-01:00,43.7,0,17.36,39.14,52.12,0,0,9.36,5.18,0,12.63,31.08,42.84,27.23,585.93,161.9,233.81,95.8,1.4,31.17,0,0,123.63,0,0,117.92,81.07,370.6,123.78,87.72,0,3.43,0,58.79,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.86,34.93,30.78,0,0,18.85,17.01,0,0,0,0,0,0,34.34,1.49,15.01,0,0,11.17,7.27,0,0,0,0,0

5,01:00-01:15,43.7,0,17.36,39.14,52.12,0,0,9.36,5.18,0,12.63,31.08,42.84,27.23,583.4,161.9,233.81,95.8,1.4,31.17,0,0,123.63,0,0,117.92,81.07,370.6,123.78,87.72,0,3.43,0,58.79,0,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.86,34.93,30.78,0,0,18.85,17.01,0,0,0,0,0,0,34.34,1.49,15.01,0,0,11.17,7.27,0,0,0,0,0

