Column1,Block,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,NR/2025/29816/A/83924,NR/2025/30192/C,NR/2025/27167/A/84036,NR/2025/28719/A/83930,NR/2025/30177/C,NR/2025/27725/A/84215,NR/2025/26952/A/83896,NR/2025/26975/A/84219,NR/2025/30156/C,NR/2025/30178/C,NR/2025/30102/C,NR/2025/26777/A/83910,NR/2025/26785/A/83818,NR/2025/26445/A/84391,NR/2025/30178/C/Alternate/1,NR/2025/30107/C,NR/2025/26860/A/84265,NR/2025/26562/A/84274,NR/2025/26566/A/84280,NR/2025/30115/C,NR/2025/30140/C,NR/2025/27281/A/84392,NR/2025/30116/C,NR/2025/27176/A/84209,NR/2025/27157/A/83925,NR/2025/26572/A/84284,NR/2025/30149/C,NR/2025/30117/C,NR/2025/27100/A/83919,NR/2025/26571/A/84282,NR/2025/27088/A/84387,NR/2025/26889/A/84335,NR/2025/30190/C,NR/2025/27728/A/84213,NR/2025/30186/C,NR/2025/27726/A/84214,NR/2025/27499/A/84334,NR/2025/26085/A/83814,NR/2025/29451/A/84204,NR/2025/30165/C,NR/2025/27168/A/84038,NR/2025/27506/A/83816,NR/2025/27727/A/84212,NR/2025/30153/C,NR/2025/27782/A/84211,NR/2025/30187/C,NR/2025/27242/A/83981,NR/2025/26565/A/84279,NR/2025/30188/C,NR/2025/27500/A/83817,NR/2025/28774/A/83811,NR/2025/27187/A/84217,NR/2025/30023/C,NR/2025/27185/A/84218,NR/2025/30014/C,GNARE/NR/2024/12/20/3668,NR/2025/30213/C,NR/2025/27356/A/84206,NR/2025/26861/A/84298,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,Total
,,NVVNL,INSTINCT,PTC,APPCPL,KEIPL,APPCPL,MANIKARAN,PTC,APPCPL,APPCPL,NDMC,PowerPulse,SIMHAPURI,MANIKARAN,DIAPL,APPCPL,PTC,DIAPL,NVVNL,APPCPL,PXIL,APPCPL,INSTINCT,NVVNL,PXIL,INSTINCT,IEXL,NVVNL,NVVNL,BRPL,BRPL,PowerPulse,PowerPulse,PowerPulse,APPCPL,MANIKARAN,PowerPulse,APPCPL,KEIPL,PowerPulse,APPCPL,PowerPulse,IVPL_Trader,PowerPulse,NVVNL,HPXL,APPCPL,APPCPL,APPCPL,APPCPL,HPXL,ITCLH,BRPL,NVVNL,PTC,IEXL,APPCPL,APPCPL,APPCPL,APPCPL,GMRETL,PowerPulse,APPCPL,IEXL,IEXL,APPCPL,IEXL,APPCPL,MANIKARAN,SECI_Trader,DIAPL,BRPL,PowerPulse,DELHI,BAWANA_GAS,PUNJAB,
,,NA,NA,ODISHA_STATE,CSEB_State,CSEB_State,GOA_State,MSEB_State,TELANGANA_State,NA,GOA_State,NA,NA,NA,MP_State,HIMACHAL_STATE,NA,GoHP_Chamera1_STATE,HIMACHAL_STATE,NA,NA,NA,Manipur_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manipur_State,CSEB_State,NA,MSEB_State,CSEB_State,NA,KERALA_State,NA,MSEB_State,NA,NA,MSEB_State,NA,NA,NA,NA,JK_and_LADAKH_UT,ANDHRA_PRADESH_STATE,NA,NA,GoHP_Rampur_STATE,HIMACHAL_STATE,NA,MSEB_State,NA,NA,HIMACHAL_STATE,NA,NA,MSEB_State,NA,KERALA_State,NA,KERALA_State,CSEB_State,NA,HIMACHAL_STATE,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,
,,JHABUA_IPP,SIMHAPURI,NBVL_OTCL,CSPDCL,CSPDCL,GOA_Beneficiary,AEML,NAVABHARAT,DBPL,GOA_Beneficiary,JIPL,COASTGEN,SIMHAPURI,BLAPOWER_MP,GBHHPL,RKM_POWER,GoHP_Chamera1,GBHHPL,SORANG_HEP,SKS_Raigarh,MBMP,Manipur_Ben,JPL2,Kameng,MBMP,JPL2,MBMP,JPNIGRIE_JNSTPP,Kameng,JPL2,JPL2,APL_Raipur_TPP,MAHAN_ENERGEN,MAHAN_ENERGEN,Manipur_Ben,CSEB_Beneficiary,APL_Raigarh_TPP,AEML,CSEB_Beneficiary,APL_Raigarh_TPP,KSEB,APL_Raipur_TPP,TPC_MSEB,APL_Raigarh_TPP,ILFS,GRETAENERGY,TRN_ENERGY,RKM_POWER,SKS_Raigarh,RKM_POWER,O2Z,ITCWIND,DADRT2,ILFS,GoHP_Rampur,NHCPL_HP,JPL2,AEML,TRN_ENERGY,RKM_POWER,GBHHPL,MAHAN_ENERGEN,JPL2,A_A_Energy_MH_Bio,TPSL_BKN2,KSEB,MBMP,KSEB,CSEB_Beneficiary,APSEPL_FTG,GBHHPL,TS1PL_BKN,COASTGEN,CHANJUII,BAWANA_GAS,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,
,,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,DIAPL,NDMC,BRPL,DIAPL,TPDDL,NDMC,BRPL,BYPL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,TPDDL,BRPL,BRPL,TPDDL,TPDDL,TPDDL,BYPL,BYPL,TPDDL,BYPL,BYPL,TPDDL,BYPL,TPDDL,BYPL,TPDDL,BRPL,BYPL,NDMC,NDMC,NDMC,NDMC,BYPL,ITCLH,BRPL,BRPL,BRPL,MES_Delhi,NDMC,BYPL,NDMC,NDMC,BRPL,TPDDL,NDMC,MES_Delhi,MES_Delhi,BYPL,NDMC,BYPL,BYPL,TPDDL,DIAPL,BRPL,BRPL,TPDDL,HARYANA,PUNJAB,
,,West-North,South-West-North,East-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,East-North,South-West-North,South-East-North,West-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,North East-East-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,North East-East-West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North-North,South-West-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,South-West-North,West-North,South-West-North,West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,0,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,25.2,144.96,164.29,5.8,0,26.35,0,26.35,8.7,0.68,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,14.89,17.64,30,2467.7499999999995

2,00:15-00:30,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,0,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,25.2,144.96,164.29,5.8,0,26.35,0,26.35,8.7,0.68,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,14.89,23.64,30,2473.7499999999995

