Block,Time,NR/30092023/26122029/SH-06,NR/20122023/29022024/IEX_LDC_231218_00502,NR/17012024/17012024/IEX_240116_06108,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/17012024/17012024/HPX-TAMCTG-160124-05794,NR/17012024/17012024/DD20240117NR22229,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01012024/31012024/HP-27,NR/01102023/19072037/LT-05,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/05012024/31012024/SJVN050124NR1342,NR/05012024/31012024/SJVN050124NR1341,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01102023/30042040/GNA_LT_35,NR/17012024/17012024/DD20240117NR22230,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01012024/31032024/ ChanjuII,NR/17012024/17012024/DD20240117NR22231,NR/01012024/31012024/HP-26,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01012024/31012024/HP-28,NR/01102023/22052037/LT-59,NR/01012024/31012024/52,NR/01102023/31052040/LT-31,NR/06012024/31012024/NVVN/OA/16855,NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,30.720000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,1.140000,169.160000,57.160000,65.840000,0,0,25.98,0,12.89,7.01,0,38.66,12.88,25.98,12.88,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,56.270000,1.370000,0.000000,152.120000,0.000000,1.380000,24.470000,0.730000,0.000000,0.000000,48.000000,230.380000

2,00:15-00:30,30.720000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,1.140000,169.160000,57.160000,69.980000,0,0,25.62,0,12.78,7.01,0,38.35,12.78,25.62,12.58,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,56.270000,1.370000,0.000000,152.120000,0.000000,1.380000,24.470000,0.730000,0.000000,0.000000,48.000000,191.980000

3,00:30-00:45,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,1.030000,169.160000,57.160000,69.980000,0,0,24.95,0,12.57,7.01,0,37.72,12.58,24.95,11.82,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,56.270000,1.370000,0.000000,152.120000,0.000000,1.380000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

4,00:45-01:00,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,1.030000,169.160000,57.160000,69.980000,0,0,24.24,0,12.31,7.01,0,36.92,12.29,24.24,11.45,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,56.270000,1.370000,0.000000,152.120000,0.000000,1.380000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

5,01:00-01:15,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,1.030000,169.160000,57.160000,69.980000,0,0,23.86,0,12.17,7.01,0,36.52,12.18,23.86,9.2,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.380000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

6,01:15-01:30,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,1.030000,143.030000,57.160000,69.980000,0,0,23.22,0,11.89,7.01,0,35.66,11.88,23.22,8.77,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.380000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

7,01:30-01:45,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,1.030000,123.830000,57.160000,69.980000,0,0,22.54,0,9.27,7.01,0,27.81,9.27,22.54,8.8,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.380000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

