Block,Time Block,TEHRI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,TALA,URI,DADRT2,KUDGI,KOTESHWR,PARBATI3,SINGRAULI,SALAL,SEWA2,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,RAMPUR,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,NTPL,RAPPC,SIMHST2,RSTPSU7,FSTPP I & II,DHAULIGNGA,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,NNTPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,BSIUL,CHAMERA3,BRBCL,CHAMERA2,CHAMERA1,NAPP,MAPS,AURY_RF,DADRI_RF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_LF,ANTA_GF,AURY_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,14.88,0,0,18.09,19.25,0,9.85,0,15.26,0,33.94,381.53,0,8.52,0,133.32,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,233.87,0,0,94.98,0,0,0,0,43.44,0,0,0,0,0,0,0,0,19.21,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,14.88,0,0,18.09,19.25,0,9.85,0,15.26,0,33.94,352.71,0,8.52,0,134.19,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,233.87,0,0,94.98,0,0,0,0,43.44,0,0,0,0,0,0,0,0,19.21,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,14.88,0,0,18.09,19.25,0,9.85,0,15.26,0,1.07,333.5,0,8.52,0,134.19,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,233.87,0,0,94.98,0,0,0,0,43.44,0,0,0,0,0,0,0,0,19.21,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,14.88,0,0,18.09,19.25,0,3.7,0,15.26,0,1.07,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,233.87,0,0,94.98,0,0,0,0,43.44,0,0,0,0,0,0,0,0,18.93,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,14.88,0,0,18.09,19.25,0,3.7,0,15.26,0,1.07,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,233.87,0,0,94.98,0,0,0,0,43.44,0,0,0,0,0,0,0,0,16.26,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,14.88,0,0,18.09,19.25,0,3.7,0,15.26,0,1.07,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,233.87,0,0,94.98,0,0,0,0,43.44,0,0,0,0,0,0,0,0,18.14,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,14.88,0,0,4.39,19.25,0,3.7,0,15.26,0,3.18,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,233.87,0,0,94.98,0,0,0,0,38.17,0,0,0,0,0,0,0,0,13.71,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,14.88,0,0,4.39,19.25,0,3.7,0,15.26,0,3.18,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,233.87,0,0,81.87,0,0,0,0,32.17,0,0,0,0,0,0,0,0,14.23,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,11.54,0,0,4.39,14.27,0,3.7,0,11.31,0,3.18,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,230.57,0,0,81.87,0,0,0,0,37.45,0,0,0,0,0,0,0,0,13.71,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,11.54,0,0,4.39,14.27,0,3.7,0,11.31,0,3.18,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,335.27,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,230.57,0,0,81.87,0,0,0,0,37.45,0,0,0,0,0,0,0,0,14.52,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,11.54,0,0,4.39,14.27,0,3.7,0,11.31,0,1.59,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,324.24,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,230.57,0,0,81.87,0,0,0,0,32.17,0,0,0,0,0,0,0,0,13.5,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,11.54,0,0,4.39,14.27,0,9.85,0,11.31,0,1.59,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,324.24,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,230.57,0,0,70.23,0,0,0,0,32.17,0,0,0,0,0,0,0,0,14.77,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,11.54,0,0,4.39,14.27,0,9.85,0,11.31,0,1.59,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,333.96,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,230.57,0,0,70.23,0,0,0,0,32.17,0,0,0,0,0,0,0,0,15.13,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,11.54,0,0,4.39,14.27,0,3.7,0,11.31,0,1.59,314.28,0,8.52,0,134.19,2.24,0,119.43,0,114.09,353.41,74.93,0,0,0,0,0,50.59,0,0,15.03,0,13.57,230.57,0,0,70.23,0,0,0,0,32.17,0,0,0,0,0,0,0,0,14.34,0,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

