Block,Time Block,KHSTPP-I,KGSU1AND2,KGSU3AND4,FSTPP I & II,DHAULIGNGA,DULHASTI,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,CHAMERA2,BRBCL,DADRT2,CHAMERA1,BSIUL,CHAMERA3,ANTA_RF,ANTA_LF,AURY_CRF,ANTA_GF,TANDA2,RIHAND3,TALST2,RIHAND2,TANAKPUR,SASAN,RIHAND1,TALA,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,NNTPP,NTPL,PARBATI3,RAPPB,RAMPUR,RAPPC,NLCIIST2,NLCTS2EXP,NLCIIST1,ANTA_CRF,KHSTPP-II,NAPP,KOTESHWR,KKNP,NLCEXP,KKNPPU2,KUDGI,KOLDAM,NJPC,KISHANGANGA,MAPS,TEHRI,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,URI,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,27.05,0,0,17.32,0,15.84,0,0,0,0,0,0,0,0,14.42,265.29,0,0,0,0,0,0,0,0,59.75,0,114.15,0,397.4,88.43,0,0,0.61,0,0,0,1.35,0,134.27,0,0,0,0,0,25.13,0,0,0,0,142.55,42.09,17.06,0,0,0,0,0,0,0,0,25.79,0,17.14,0,0,4.14,20.05,31.29,0,229.78,0,0,0,0,0

2,00:15-00:30,27.05,0,0,17.32,0,15.84,0,0,0,0,0,0,0,0,14.42,265.29,0,0,0,0,0,0,0,0,59.75,0,114.15,0,397.4,88.43,0,0,0.61,0,0,0,1.35,0,134.27,0,0,0,0,0,25.13,0,0,0,0,142.55,42.09,17.06,0,0,0,0,0,0,0,0,25.79,0,17.14,0,0,4.14,20.05,31.29,0,229.78,0,0,0,0,0

3,00:30-00:45,23.13,0,0,14.82,0,15.84,0,0,0,0,0,0,0,0,14.42,265.29,0,0,0,0,0,0,0,0,59.75,0,114.15,0,397.4,88.43,0,0,0.61,0,0,0,1.35,0,134.27,0,0,0,0,0,25.13,0,0,0,0,123.64,42.09,17.06,0,0,0,0,0,0,0,0,25.79,0,17.14,0,0,4.14,20.05,31.29,0,229.78,0,0,0,0,0

4,00:45-01:00,23.13,0,0,14.82,0,15.84,0,0,0,0,0,0,0,0,14.42,265.29,0,0,0,0,0,0,0,0,59.75,0,114.15,0,397.4,88.43,0,0,0.61,0,0,0,1.35,0,134.27,0,0,0,0,0,25.13,0,0,0,0,123.64,42.09,17.06,0,0,0,0,0,0,0,0,25.79,0,17.14,0,0,4.14,20.05,31.29,0,229.78,0,0,0,0,0

5,01:00-01:15,18.4,0,0,14.28,0,15.84,0,0,0,0,0,0,0,0,14.19,265.29,0,0,0,0,0,0,0,0,59.75,0,114.15,0,397.4,88.43,0,0,0.61,0,0,0,1.35,0,134.27,0,0,0,0,0,25.13,0,0,0,0,95.64,42.09,17.06,0,0,0,0,0,0,0,0,25.79,0,17.14,0,0,4.14,19.94,31.24,0,229.78,0,0,0,0,0

