Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NTPL,RSTPSU1TO6,RSTPSU7,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,SIMHST1,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN
1,00:00-00:15,35.328,37.89052,121.484996,127.380717,0,143.682313,0,16.334668,21.01977,27.63898,69.72,1.147846,44.906625,1.494586,5.534085,49.637626,16.783217,6.745515,0,94.455943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,34.831253,0,0,0,51.87616,0,0,0,80.112914,0,0,0,59.521758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,31.9889,148.302375,4.263,15.000018,348.975

2,00:15-00:30,35.328,37.89052,121.484996,127.380717,0,143.682313,0,16.334668,21.01977,27.63898,69.72,1.147846,44.906625,3.094586,5.534085,49.637626,16.783217,6.745515,0,94.455943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,34.831253,0,0,0,51.87616,0,0,0,80.112914,0,0,0,59.521758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,4.263,15.000018,348.975

3,00:30-00:45,35.328,37.89052,121.484996,127.380717,0,143.682313,0,16.334668,21.01977,27.63898,69.72,1.147846,44.906625,3.094586,5.534085,49.637626,16.783217,6.745515,0,94.455943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,34.831253,0,0,0,51.87616,0,0,0,80.112914,0,0,0,59.521758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,4.263,15.000018,348.975

4,00:45-01:00,35.328,37.89052,121.484996,127.380717,0,143.682313,0,16.334668,21.01977,27.63898,69.72,1.147846,44.906625,3.094586,5.534085,49.637626,16.783217,6.745515,0,94.455943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,34.831253,0,0,0,51.87616,0,0,0,80.112914,0,0,0,59.521758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,4.263,15.000018,348.975

5,01:00-01:15,35.328,37.89052,121.484996,127.380717,0,143.682313,0,16.334668,21.01977,27.63898,69.72,1.147846,44.906625,3.094586,5.534085,49.637626,16.783217,6.745515,0,94.455943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,34.831253,0,0,0,51.87616,0,0,0,80.112914,0,0,0,59.521758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,9.702,15.000018,348.975

6,01:15-01:30,35.328,37.89052,121.484996,127.380717,0,143.682313,0,16.334668,21.01977,27.63898,69.72,1.147846,44.906625,3.094586,5.534085,49.637626,16.783217,6.745515,0,94.455943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,34.831253,0,0,0,51.87616,0,0,0,81.47076,0,0,0,59.521758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,9.702,15.000018,348.975

