Block,Time,DADRT2,DULHASTI,CHAMERA3,DHAULIGNGA,CHAMERA2,UNCHAHAR2,SEWA2,JHAJJAR,RIHAND2,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,UNCHAHAR1,KOLDAM,SINGRAULI_HYDRO,NJPC,RAPPC,TEHRI,UNCHAHAR3,RIHAND3,SINGRAULI,TANDA2,KISHANGANGA,NAPP,UNCHAHAR4,URI2,CHAMERA1,BSIUL,TANAKPUR,SALAL,RAPPB,URI,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KGSU1AND2,KGSU3AND4,KKNP,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,MAPS,KHSTPP-II,KHSTPP-I,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,0,0,0,76,20.556,0,0.59303,0,54.0594,0,26.39091,123.665625,123.375,0,0,0,0,24.75168,0,0,2.562,12.782,0,39.744,0,0,0,32.55,0,0,0,92.064,0,0,0,54.6258,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,147.515625,45.25185,0,20.0018,20.73185,418.77

2,00:15-00:30,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,0,0,0,76,20.556,0,0.59303,0,54.0594,0,26.39091,123.665625,123.375,0,0,0,0,24.75168,0,0,2.562,70.882,0,39.744,0,0,0,32.55,0,0,0,92.064,0,0,0,54.6258,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,147.515625,45.25185,0,20.0018,20.73185,418.77

3,00:30-00:45,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,0,0,0,76,20.556,0,0.59303,0,54.0594,0,26.39091,123.665625,123.375,0,0,0,0,24.75168,0,0,2.562,70.882,0,8.832,0,0,0,32.55,0,0,0,92.064,0,0,0,54.6258,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,147.515625,45.25185,0,20.0018,20.73185,418.77

4,00:45-01:00,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,0,0,0,76,20.556,0,0.59303,0,54.0594,0,26.39091,123.665625,123.375,0,0,0,0,24.75168,0,0,2.562,70.882,0,6.624,0,0,0,32.55,0,0,0,92.064,0,0,0,54.6258,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,147.515625,45.25185,0,20.0018,20.73185,418.77

5,01:00-01:15,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,0,0,0,76,20.556,0,0.59303,0,54.0594,0,26.39091,123.665625,123.375,0,0,0,0,24.75168,0,0,2.562,70.882,0,6.624,0,0,0,32.55,0,0,0,92.064,0,0,0,54.6258,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,147.515625,45.25185,0,20.0018,20.73185,418.77

6,01:15-01:30,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,0,0,0,76,20.556,0,0.59303,0,54.0594,0,26.39091,123.665625,123.375,0,0,0,0,24.75168,0,0,2.562,12.782,0,6.624,0,0,0,32.55,0,0,0,92.064,0,0,0,54.6258,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,147.515625,45.25185,0,20.0018,20.73185,418.77

7,01:30-01:45,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,0,0,0,76,20.556,0,0.59303,0,54.0594,0,26.39091,123.665625,123.375,0,0,0,0,5.3808,0,0,8.3265,2.324,0,6.624,0,0,0,32.55,0,0,0,92.064,0,0,0,54.6258,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,147.515625,45.25185,0,20.0018,20.73185,418.77

8,01:45-02:00,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,0,0,0,76,20.556,0,0.59303,0,54.0594,0,26.39091,123.665625,123.375,0,0,0,0,5.3808,0,0,8.3265,2.324,0,6.624,0,0,0,32.55,0,0,0,92.064,0,0,0,54.6258,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,147.515625,45.25185,0,20.0018,20.73185,418.77

9,02:00-02:15,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,0,0,0,76,20.556,0,0.59303,0,54.0594,0,26.39091,123.665625,123.375,0,0,0,0,5.3808,0,0,8.3265,2.324,0,6.624,0,0,0,32.55,0,0,0,92.064,0,0,0,54.6258,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,147.515625,45.25185,0,20.0018,20.73185,418.77

