Column1,Time,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,GNA/NR/2025/07/16/5917,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/2786,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/1192,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/8139,NR/30092023/31122025/SH-07,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/3109,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/2997,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/1044,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/2952,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8128,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,0,0,0,0,0,0,0,0,0,81.72,26.24,43.7,115.33,86.72,49.03,6.99,10.73,28.51,250.93,163.44,134.84,28.51,-0,19.23,10.58,15.24,130.08,0,100.16,20.74,3.24,0,0,8.51,15,12.64,39.02,0,32.51,10.67,10.83,0,21.67,0,0,10.83,21.66

2,00:15-00:30,0,0,0,0,0,0,0,0,0,81.72,26.24,43.7,115.33,86.72,49.03,6.99,10.73,28.51,231.7,163.44,134.84,28.51,-0,19.23,10.58,15.24,130.08,0,100.16,20.74,3.24,0,0,8.51,15,12.64,39.02,0,32.51,10.67,10.83,0,21.67,0,0,10.83,21.66

3,00:30-00:45,0,0,0,0,0,0,0,0,0,81.72,26.24,43.7,115.33,86.72,49.03,6.99,10.73,28.51,211.51,163.44,134.84,28.51,-0,19.23,10.58,15.24,130.08,0,100.16,20.74,3.24,0,0,8.51,15,12.64,38.62,0,32.51,11,10.83,0,21.67,0,0,10.83,21.66

4,00:45-01:00,0,0,0,0,0,0,0,0,0,81.72,26.24,43.7,115.33,86.72,49.03,6.99,10.73,28.51,191.32,163.44,134.84,28.51,-0,19.23,10.58,15.24,130.08,0,100.16,20.74,3.24,0,0,8.51,15,12.64,37.62,0,32.51,11,10.83,0,21.67,0,0,10.83,21.66

5,01:00-01:15,0,0,0,0,0,0,0,0,0,81.72,26.24,43.7,115.33,86.72,49.03,6.76,10.73,22.94,171.13,163.44,134.84,22.94,-0,19.23,10.58,15.24,130.08,0,100.16,20.74,6.22,0,0,8.51,15,12.64,36.42,0,32.51,11,10.83,0,21.67,0,0,10.83,21.66

6,01:15-01:30,0,0,0,0,0,0,0,0,0,81.72,26.24,43.7,115.33,86.72,49.03,6.76,10.73,26.23,132.67,163.44,134.84,26.23,-0,19.23,10.58,15.24,130.08,0,100.16,20.74,6.22,0,0,8.51,15,12.64,35.41,0,32.51,10.67,10.83,0,21.67,0,0,10.83,21.66

