Column1,Block,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/4802,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7196,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/7908,NR/2024/22833/A/36967,NR/2024/23017/A/36696,GNA/NR/2024/09/01/8090,NR/2024/21658/A/36672,GNA/NR/2024/09/01/7119,NR/2024/22734/A/36891,NR/2024/22835/A/36912,NR/2024/22837/A/36966,NR/2024/22848/A/36938,NR/2024/22802/A/36961,NR/2024/22839/A/36965,NR/2024/22754/A/36902,NR/2024/22860/A/36936,NR/2024/23038/A/36625,SR/2024/14136/C,NR/2024/22753/A/36901,NR/2024/23070/C,NR/2024/22816/A/36655,NR/2024/22820/A/36629,NR/2024/23075/C,NR/2024/22874/A/36969,NR/2024/23076/C,NR/2024/22888/A/36920,NR/2024/22832/A/36968,NR/2024/23082/C,NR/2024/23083/C,NR/2024/23074/C,Total
,,APPCPL,NVVNL,PUNJAB,INSTINCT,TPTCL,DELHI,TPTCL,MANIKARAN,AEL,BAWANA_GAS,MANIKARAN,NVVNL,DIAPL,DELHI,ITCLH,JITPL,TPDDL,MANIKARAN,NVVNL,APPCPL,NVVNL,NVVNL,PTC,APPCPL,IEXL,HPXL,PTC,TPDDL,TPTCL,IEXL,NVVNL,NVVNL,NVVNL,APPCPL,NVVNL,SJVNL,SJVNL,NVVNL,
,,Arunachal_State,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,ODISHA_STATE,NA,DELHI_UT,MP_State,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,MSEB_State,NA,UTTARAKHAND_STATE,NA,NA,HIMACHAL_STATE,Nagaland_State,MSEB_State,DELHI_UT,HIMACHAL_STATE,NA,NA,KARNATAKA_STATE,NA,MP_State,NA,KERALA_State,NA,NA,NA,NA,
,,Arunachal_Ben,JPNIGRIE_JNSTPP,BAWANA_GAS,JPL2,JITPL,CHANJUII,SIMHAPURI,MAADURGA_THERMAL,APL_Raigarh_TPP,BAWANA_GAS,BLAPOWER_MP,RKM_POWER,GBHHPL,SKS_Raigarh,ITCWIND,JITPL,JPL2,AEML,JPL2,UTTARAKHAND,JPNIGRIE_JNSTPP,TRN_ENERGY,HP,Nagaland_Ben,A_A_Energy_MH_Bio,BYPL,HP,JHAJJAR,SIMHAPURI,NSLSUGAR,Kameng,JP_BINA,SORANG_HEP,KSEB,RKM_POWER,RSRPL_BKN,TPSL_BKN2,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,PUNJAB,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,HARYANA,BRPL,NDMC,DIAPL,NDMC,ITCLH,NDMC,TPDDL,BYPL,NDMC,BYPL,BRPL,NDMC,BYPL,BYPL,MES_Delhi,TANGEDCO,BRPL,TPDDL,BRPL,MES_Delhi,TPDDL,TPDDL,TPDDL,BYPL,NDMC,NDMC,NDMC,MES_Delhi,
,,North East-East-North,West-North,North-North,West-North,East-North,North-North,South-East-North,East-North,West-North,North-North,West-North,West-North,North-North,West-North,South-West-North,East-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North East-East-North,West-North,North-West-South,North-North,North-North,South-West-North,South-West-North,North East-East-North,West-North,North-North,South-West-North,West-North,North-North,North-North,West-North,
1,00:00-00:15,32.93,82.32,26.91,82.32,20.58,12.95,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.87,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,101.69,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1597.8999999999994

2,00:15-00:30,32.93,82.32,26.91,82.32,20.58,12.95,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.87,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,121.06,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1617.2699999999998

