Time,Block,NR/2023/18092/C,NR/2023/17901/A/1269,NR/2023/18088/C,NR/2023/17905/A/1250,WR/2023/18560/A,WR/2023/18560/A/II,WR/2023/20254/A/1307,NR/2023/17064/A,NR/2023/18089/C,NR/2023/16187/A,WR/2023/20256/A/1318,Total
,,SJVNL,ITCLH,TPDDL,IEXL,MANIKARAN,MANIKARAN,APPCPL,GMRETL,NVVNL,APPCPL,MANIKARAN,Total

,,NA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,NA,DELHI,DELHI,
,,RSRPL_BKN,ITCWIND,CHANJUII,BSHP,BYPL,BYPL,BRPL,BYPL,SOLAPUR_SOLAR,BYPL,BRPL,
,,DELHI,DELHI,DELHI,DELHI,MAHARASHTRA,MAHARASHTRA,GOA,RAJASTHAN,DELHI,HIMACHAL PRADESH,GOA,
,,NDMC,ITCLH,TPDDL,MES (Delhi),AEML,AEML,GOA_Beneficiary,RUVNL,MES (Delhi),HP,GOA_Beneficiary,
,,North-North,South-West-North,North-North,North-North,North-East-West,North-West,North-West,North-North,West-North,North-North,North-West,
1,00:00-00:15,0,0.480000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.15

2,00:15-00:30,0,0.480000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.15

3,00:30-00:45,0,0.480000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.15

4,00:45-01:00,0,0.480000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.15

5,01:00-01:15,0,0.480000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.15

6,01:15-01:30,0,0.480000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.15

7,01:30-01:45,0,0.480000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.15

8,01:45-02:00,0,0.480000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.15

9,02:00-02:15,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

10,02:15-02:30,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

11,02:30-02:45,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

12,02:45-03:00,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

13,03:00-03:15,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

14,03:15-03:30,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

15,03:30-03:45,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

16,03:45-04:00,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

17,04:00-04:15,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

18,04:15-04:30,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

19,04:30-04:45,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

20,04:45-05:00,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

21,05:00-05:15,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

22,05:15-05:30,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

23,05:30-05:45,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

24,05:45-06:00,0,0.430000,2.570000,1.930000,0.000000,100.000000,0.000000,0.000000,0,34.170000,0.000000,139.1

25,06:00-06:15,0,0.430000,2.570000,1.930000,100.000000,0.000000,0.000000,100.000000,0,0.000000,0.000000,204.93

26,06:15-06:30,0,0.430000,2.570000,1.930000,100.000000,0.000000,0.000000,100.000000,0,0.000000,0.000000,204.93

27,06:30-06:45,0,0.430000,2.570000,1.930000,100.000000,0.000000,0.000000,100.000000,0,0.000000,0.000000,204.93

28,06:45-07:00,0,0.430000,2.570000,1.930000,100.000000,0.000000,0.000000,100.000000,0,0.000000,0.000000,204.93

29,07:00-07:15,0,0.580000,2.570000,1.930000,100.000000,0.000000,0.000000,100.000000,0,0.000000,0.000000,205.08

30,07:15-07:30,0,0.580000,2.570000,1.930000,100.000000,0.000000,0.000000,100.000000,0,0.000000,0.000000,205.08

31,07:30-07:45,0,0.580000,2.570000,1.930000,100.000000,0.000000,0.000000,100.000000,0,0.000000,0.000000,205.08

32,07:45:08:00,0,0.580000,2.570000,1.930000,100.000000,0.000000,0.000000,100.000000,0.34,0.000000,0.000000,205.42

33,08:00-08:15,0,0.960000,2.570000,1.930000,100.000000,0.000000,0.000000,50.000000,0.67,0.000000,0.000000,156.13

34,08:15-08:30,0,0.960000,2.570000,1.930000,100.000000,0.000000,0.000000,50.000000,1.87,0.000000,0.000000,157.33

35,08:30-08:45,0,0.960000,2.570000,1.930000,100.000000,0.000000,0.000000,50.000000,1.79,0.000000,0.000000,157.25

36,08:45:09:00,0,0.960000,2.570000,1.930000,100.000000,0.000000,0.000000,50.000000,2.48,0.000000,0.000000,157.94

37,09:00:09:15,24.1,0.960000,2.570000,1.930000,100.000000,0.000000,0.000000,50.000000,2.41,0.000000,0.000000,181.97

38,09:15-09:30,24.1,0.960000,2.570000,1.930000,100.000000,0.000000,0.000000,50.000000,1.91,0.000000,0.000000,181.47

