Block,Time,KGSU1AND2,KKNP,KOTESHWR,RAPPC,RIHAND1,RSTPSU7,TEHRI,VALLURNTECL,ANTA_GF,AURY_LF,AURY_RF,CHAMERA3,KKNPPU2,TALST2,TANAKPUR,UNCHAHAR1,DADRI_RF,BSIUL,MAPS,NJPC,NLCEXP,PARBATI3,SINGRAULI_HYDRO,ANTA_LF,CHAMERA1,KOLDAM,NTPL,SALAL,UNCHAHAR2,BRBCL,KHSTPP-II,KISHANGANGA,NAPP,NLCTS2EXP,SIMHST1,TALA,TelanganaSTPP,UNCHAHAR4,ANTA_CRF,AURY_GF,DADRI_GF,DHAULIGNGA,KUDGI,NLCIIST2,RAPPB,RSTPSU1TO6,TANDA2,UNCHAHAR3,DADRI_CRF,CHAMERA2,DADRT2,DULHASTI,KGSU3AND4,KHSTPP-I,NNTPP,RAMPUR,SASAN,SEWA2,SIMHST2,URI,DADRI_LF,FSTPP I & II,JHAJJAR,NLCIIST1,RIHAND2,RIHAND3,SINGRAULI,URI2,ANTA_RF,AURY_CRF
1,00:00-00:15,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,8.33,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,28.88,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,36.43,22.47,17.38,436.2,0,118.76,124.32,139.68,18.83,0,70.59

2,00:15-00:30,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,8.33,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,28.88,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,36.43,22.47,17.38,436.2,0,118.76,124.32,139.68,18.83,0,70.59

3,00:30-00:45,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,8.33,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,28.88,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,3.31,22.47,17.38,436.2,0,118.76,124.32,139.68,18.83,0,70.59

4,00:45-01:00,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,3.85,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,28.88,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,1.44,22.47,17.38,436.2,0,118.76,124.32,139.68,18.83,0,70.59

5,01:00-01:15,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,3.85,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,28.88,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,1.44,22.47,17.38,436.2,0,118.76,124.32,139.68,18.83,0,70.59

6,01:15-01:30,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,3.85,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,28.88,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,1.44,22.47,17.38,436.2,0,118.76,124.32,139.68,18.83,0,70.59

7,01:30-01:45,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,3.85,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,28.88,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,1.44,22.47,17.38,436.2,0,118.76,124.32,139.68,4.57,0,70.59

8,01:45-02:00,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,3.85,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,28.88,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,1.44,22.47,17.38,436.2,0,118.76,124.32,139.68,4.57,0,70.59

9,02:00-02:15,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,8.33,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,29.09,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,1.44,22.47,17.38,436.2,0,118.76,124.32,139.68,4.57,0,70.59

10,02:15-02:30,0,0,8.87,53.04,92,0,0,0,0,0,0,0,0,0,8.33,20.56,0,0,0,0,0,0,0,0,0,0,0,1.4,21.19,20,98.87,0,43.46,0,0,0,0,0,29.09,0,0,0,0,0,0,0,0,26.39,66.85,1.87,683.14,16.48,0,45.22,0,0,418.77,0,0,1.44,22.47,17.38,436.2,0,118.76,124.32,139.68,4.57,0,70.59

