Column1,Block,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6957,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/4138,NR/2025/26418/C,NR/2025/26286/A/68349,NR/2025/26085/A/68207,NR/2025/26401/C,NR/2025/26403/C,NR/2025/26002/A/68643,NR/2025/26404/C,NR/2025/26405/C,NR/2025/26198/A/68680,NR/2025/26202/A/68777,NR/2025/26427/C,NR/2025/26312/A/68389,NR/2025/26201/A/68658,NR/2025/26437/C,NR/2025/26197/A/68681,NR/2025/26191/A/68210,NR/2025/26232/A/68698,NR/2025/26438/C,NR/2025/26233/A/68697,NR/2025/26153/A/68243,NR/2025/26200/A/68678,NR/2025/26398/C,NR/2025/25858/A/68650,NR/2025/26400/C,NR/2025/26199/A/68679,NR/2025/26436/C,NR/2025/25855/A/68651,NR/2025/26336/A/68660,NR/2025/26424/C,NR/2025/26291/A/68692,ER/2025/17306/C,NR/2025/26101/A/68577,NR/2025/26265/A/68696,NR/2025/26289/A/68695,NR/2025/26425/C,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/68236,NR/2025/26335/A/68662,Total
,,PUNJAB,BAWANA_GAS,NDMC,PowerPulse,DELHI,PXIL,PXIL,PXIL,HPXL,PXIL,PowerPulse,PowerPulse,IEXL,HPXL,PXIL,PXIL,HPXL,IEXL,PowerPulse,TPDDL,DIAPL,ITCLH,IEXL,HPXL,PowerPulse,HPXL,HPXL,APPCPL,NVVNL,NVVNL,IEXL,APPCPL,APPCPL,APPCPL,PXIL,HPXL,APPCPL,HPXL,IEXL,APPCPL,HPXL,PowerPulse,HPXL,APPCPL,APPCPL,PowerPulse,BRPL,NVVNL,HPXL,PXIL,GMRETL,HPXL,HPXL,NVVNL,SECI_Trader,IEXL,BRPL,
,,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,ODISHA_STATE,Meghalaya_State,CSEB_State,HIMACHAL_STATE,NA,NA,NA,JK_and_LADAKH_UT,NA,UTTARPRADESH_STATE,ODISHA_STATE,MSEB_State,ODISHA_STATE,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,MP_State,NA,GEB_State,GEB_State,NA,NA,NA,NA,NA,NA,NA,NA,GEB_State,NA,GEB_State,TAMILNADU_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,
,,BAWANA_GAS,BAWANA_GAS,JIPL,APL_Raipur_TPP,CHANJUII,FACORPOWER,Meghalaya_Ben,SKSIPL,KGEPL_HP,SINGOLI,MAHAN_ENERGEN,COASTGEN,O2ZTPL,JPL,LAPL_UP,FACORPOWER,GRETAENERGY,VSL,COASTGEN,JHAJJAR,GBHHPL,ITCWIND,MBMP,Ultratech_Sidhi_MP,COASTGEN,PCBL_PALEJ,PCBL_MUNDRA,RKM_POWER,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,MBMP,RKM_POWER,TRN_ENERGY,SKS_Raigarh,JPNIGRIE_JNSTPP,PCBL_PALEJ,RKM_POWER,PCBL_MUNDRA,SURYADEV_ALLOYSTN,TRN_ENERGY,SIMHAPURI,APL_Raipur_TPP,JPL,JPL2,JPL2,APL_Raipur_TPP,DADRT2,SORANG_HEP,Ultratech_Sidhi_MP,BYPL,GBHHPL,JPL,SIMHAPURI,Kameng,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,
,,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,JHARKHAND_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,PUNJAB,HARYANA,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,DIAPL,ITCLH,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,TPDDL,NDMC,NDMC,NDMC,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,NDMC,NDMC,TPDDL,BRPL,TPDDL,BRPL,JBVNL,TPDDL,BRPL,BRPL,TPDDL,TPDDL,MES_Delhi,BRPL,
,,North-North,North-North,East-North,West-North,North-North,East-North,North East-East-North,West-North,North-North,North-North,West-North,South-East-North,North-North,West-North,North-North,East-North,West-North,East-North,South-East-North,North-North,North-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,North-East,North-North,West-North,South-West-North,North East-East-North,North-North,North-North,North-North,
1,00:00-00:15,23.51,30,28.95,163.76,10.88,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,14.45,5.78,0,0,136.79,4.82,0.77,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,96.33,48.16,51.03,0,0,0,1739.7199999999993

2,00:15-00:30,23.51,30,28.95,163.76,10.88,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,14.45,5.78,0,0,136.79,4.82,0.77,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,96.33,48.16,51.03,0,0,0,1739.7199999999993

3,00:30-00:45,23.51,30,28.95,163.76,10.88,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,14.45,5.78,0,0,136.79,4.82,0.77,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,96.33,48.16,51.03,0,0,0,1739.7199999999993

4,00:45-01:00,23.51,30,28.95,163.76,10.88,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,14.45,5.78,0,0,136.79,4.82,0.77,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,96.33,48.16,51.03,0,0,0,1739.7199999999993

5,01:00-01:15,26.5,26.5,28.95,163.76,10.79,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,14.45,5.78,0,0,136.79,4.82,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,96.33,48.16,51.03,0,0,0,1739.0199999999995

6,01:15-01:30,26.5,26.5,28.95,163.76,10.79,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,14.45,5.78,0,0,136.79,4.82,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,96.33,48.16,51.03,0,0,0,1739.0199999999995

7,01:30-01:45,26.5,26.5,28.95,163.76,10.79,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,14.45,5.78,0,0,136.79,4.82,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,96.33,48.16,51.03,0,0,0,1739.0199999999995

8,01:45-02:00,26.5,26.5,28.95,163.76,10.79,14.45,67.43,10.6,13.49,28.9,122.82,163.76,0,0,28.9,14.45,5.78,0,0,136.79,4.82,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,96.33,48.16,51.03,0,0,0,1739.0199999999995

9,02:00-02:15,26.5,26.5,28.95,163.76,10.69,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.63,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1622.3199999999997

10,02:15-02:30,26.5,26.5,28.95,163.76,10.69,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.63,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1622.3199999999997

11,02:30-02:45,26.5,26.5,28.95,163.76,10.69,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.63,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1622.3199999999997

12,02:45-03:00,26.5,26.5,28.95,163.76,10.69,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.63,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1622.3199999999997

13,03:00-03:15,26.5,26.5,28.95,163.76,10.61,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1622.0899999999997

14,03:15-03:30,26.5,26.5,28.95,163.76,10.61,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1622.0899999999997

15,03:30-03:45,26.5,26.5,28.95,163.76,10.61,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1622.0899999999997

16,03:45-04:00,26.5,26.5,28.95,163.76,10.61,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,144.5,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1622.0899999999997

17,04:00-04:15,26.5,26.5,28.95,163.76,10.33,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1477.31

18,04:15-04:30,26.5,26.5,28.95,163.76,10.33,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1477.31

19,04:30-04:45,26.5,26.5,28.95,163.76,10.33,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1477.31

20,04:45-05:00,26.5,26.5,28.95,163.76,10.33,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1477.31

21,05:00-05:15,26.5,26.5,28.95,163.76,10.14,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1477.12

22,05:15-05:30,26.5,26.5,28.95,163.76,10.14,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1477.12

23,05:30-05:45,26.5,26.5,28.95,163.76,10.14,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1477.12

24,05:45-06:00,26.5,26.5,28.95,163.76,10.14,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,4.82,0.48,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1477.12

