Block,Time,SEWA2,TEHRI,DADRI_CRF,TANAKPUR,PARBATI3,CHAMERA3,ANTA_RF,BSIUL,DULHASTI,RIHAND3,URI2,RAPPC,AURY_CRF,DADRI_RF,URI,DADRI_GF,RIHAND2,DADRT2,ANTA_GF,UNCHAHAR3,DHAULIGNGA,AURY_LF,NJPC,JHAJJAR,ANTA_LF,UNCHAHAR1,NAPP,SALAL,CHAMERA2,KISHANGANGA,SINGRAULI_HYDRO,CHAMERA1,KOLDAM,AURY_RF,AURY_GF,RAPPB,UNCHAHAR4,RIHAND1,DADRI_LF,ANTA_CRF,SINGRAULI,UNCHAHAR2,KOTESHWR,TANDA2,RAMPUR,FSTPP I & II,TALA,BRBCL,SASAN,KHSTPP-I,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.740930,0.000000,0.000000,0.000000,0.000000,0.000000,119.213662,16.079983,52.847251,0.000000,0.000000,2.128512,0.000000,56.933840,350.896000,0.000000,11.568000,0.000000,0.000000,0.000000,345.112000,0.000000,7.230000,20.591040,2.240336,0.000000,0.000000,0.682329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.129478,0.000000,0.000000,108.713558,17.352000,8.554536,0.000000,0.000000,10.859846,0.000000,9.640000,330.772500,18.160989,74.660034,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.740930,0.000000,0.000000,0.000000,0.000000,0.000000,119.213662,16.079983,52.847251,0.000000,0.000000,2.128512,0.000000,56.933840,350.896000,0.000000,11.568000,0.000000,0.000000,0.000000,345.112000,0.000000,7.230000,20.591040,2.240336,0.000000,0.000000,0.682329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.129478,0.000000,0.000000,108.713558,17.352000,8.554536,0.000000,0.000000,10.859846,0.000000,9.640000,330.772500,18.160989,69.382454,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,7.285816,0.000000,0.000000,0.000000,0.000000,0.000000,119.213662,16.079983,52.847251,0.000000,0.000000,2.128512,0.000000,56.933840,350.896000,0.000000,11.568000,0.000000,0.000000,0.000000,345.112000,0.000000,7.230000,20.591040,2.240336,0.000000,0.000000,0.682329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.129478,0.000000,0.000000,108.713558,17.352000,8.554536,0.000000,0.000000,10.859846,0.000000,9.640000,330.772500,18.160989,69.382454,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,7.285816,0.000000,0.000000,0.000000,0.000000,0.000000,119.213662,16.079983,52.847251,0.000000,0.000000,2.128512,0.000000,56.933840,350.896000,0.000000,11.568000,0.000000,0.000000,0.000000,345.112000,0.000000,7.230000,20.591040,2.240336,0.000000,0.000000,0.682329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.129478,0.000000,0.000000,108.713558,17.352000,8.554536,0.000000,0.000000,5.784000,0.000000,9.640000,330.772500,18.160989,69.382454,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,7.285816,0.000000,0.000000,0.000000,0.000000,0.000000,119.213662,16.079983,52.847251,0.000000,0.000000,2.128512,0.000000,56.933840,350.896000,0.000000,11.568000,0.000000,0.000000,0.000000,345.112000,0.000000,7.230000,20.591040,2.240336,0.000000,0.000000,0.682329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.688000,0.000000,0.000000,121.066350,17.352000,8.554536,0.000000,0.000000,5.784000,0.000000,9.640000,330.772500,18.160989,69.382454,0,0,0,0,0

