Block,Time,DADRT2,DULHASTI,KHSTPP-II,KKNPPU2,NLCEXP,NLCIIST1,PARBATI3,RAMPUR,RIHAND1,SEWA2,TANDA2,ANTA_CRF,AURY_GF,AURY_LF,DADRI_GF,DADRI_RF,BRBCL,CHAMERA1,KHSTPP-I,KOLDAM,NAPP,NTPL,SASAN,UNCHAHAR3,URI,URI2,CHAMERA2,JHAJJAR,MAPS,NLCIIST2,NLCTS2EXP,NNTPP,SINGRAULI,AURY_RF,DHAULIGNGA,FSTPP I & II,KKNP,NJPC,RAPPB,SIMHST1,SINGRAULI_HYDRO,TALA,TelanganaSTPP,DADRI_LF,KGSU3AND4,SIMHST2,UNCHAHAR4,ANTA_GF,KISHANGANGA,RIHAND3,SALAL,TANAKPUR,UNCHAHAR2,VALLURNTECL,ANTA_LF,ANTA_RF,DADRI_CRF,CHAMERA3,RAPPC,RSTPSU7,TALST2,TEHRI,BSIUL,KGSU1AND2,KOTESHWR,KUDGI,RIHAND2,RSTPSU1TO6,UNCHAHAR1,AURY_CRF
1,00:00-00:15,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,33.23,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,13.36,2.56,42.39,0,0,43.05,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

2,00:15-00:30,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,33.23,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,13.36,2.56,42.39,0,0,43.05,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

3,00:30-00:45,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,33.23,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,13.36,7.81,42.39,0,0,43.05,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

4,00:45-01:00,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,33.23,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,13.36,7.81,42.39,0,0,43.05,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

5,01:00-01:15,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,33.23,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,13.36,7.81,42.39,0,0,43.05,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

6,01:15-01:30,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,33.23,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,13.36,7.81,42.39,0,0,43.26,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

7,01:30-01:45,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,30.27,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,16.27,7.81,42.39,0,0,43.26,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

8,01:45-02:00,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,30.27,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,70.88,7.81,42.39,0,0,43.26,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

9,02:00-02:15,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,30.27,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,70.88,2.05,42.39,0,0,43.26,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

10,02:15-02:30,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,30.27,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,70.88,2.05,42.39,0,0,43.26,0,0,25.89,0,0,0,6.52,0,8.87,0,118.76,0,20.85,0

11,02:30-02:45,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,30.27,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,70.88,2.05,42.39,0,0,43.26,0,0,25.89,0,0,0,13.04,0,8.87,0,118.76,0,20.85,0

12,02:45-03:00,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,30.27,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,70.88,2.05,42.39,0,0,43.26,0,0,25.89,0,0,0,13.04,0,8.87,0,118.76,0,20.85,0

13,03:00-03:15,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,30.27,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,70.88,2.31,42.39,0,0,43.57,0,0,25.89,0,0,0,13.04,0,8.87,0,118.76,0,20.85,0

14,03:15-03:30,683.14,0,148.3,0,0,0,0,0,92,15.81,0,0,0,0,0,59.73,20,0,45.53,0,20.5,0,405,26.4,35.55,30.27,0,434.65,0,0,0,0,139.69,68.96,0,18.2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,62.16,15.11,2.31,42.39,0,0,44.1,0,0,25.89,0,0,0,13.04,0,8.87,0,118.76,0,20.85,0

