Block,Time,UNCHAHAR1,NAPP,ANTA_RF,URI2,AURY_GF,RAPPB,PARBATI3,NJPC,DADRT2,CHAMERA1,ANTA_GF,RAMPUR,TEHRI,RIHAND2,AURY_CRF,SEWA2,CHAMERA3,JHAJJAR,RAPPC,AURY_RF,KISHANGANGA,SINGRAULI,KOLDAM,SALAL,DULHASTI,RIHAND1,ANTA_LF,DADRI_LF,AURY_LF,DADRI_GF,KHSTPP-II,BRBCL,TALA,FSTPP I & II,KHSTPP-I,SASAN,UNCHAHAR2,TANAKPUR,SINGRAULI_HYDRO,DADRI_RF,TANDA2,CHAMERA2,KOTESHWR,URI,ANTA_CRF,RIHAND3,UNCHAHAR3,UNCHAHAR4,DHAULIGNGA,BSIUL,DADRI_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,17.812004,47.845708,0.000000,36.522672,0.000000,0.000000,16.177343,173.465809,334.919200,40.626534,0.000000,6.502002,15.744986,114.319408,0.000000,0.000000,33.573845,173.502000,65.536411,0.000000,8.039553,133.507476,9.865587,67.203108,57.039171,88.564385,0.000000,0.000000,0.000000,0.000000,142.946370,14.458500,4.109106,13.174392,30.834101,336.377002,28.471172,0.000000,1.106409,0.000000,5.164674,46.748985,0.000000,34.052659,0.000000,119.699801,24.119711,1.440631,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,17.812004,47.845708,0.000000,36.522672,0.000000,0.000000,16.177343,173.465809,334.919200,40.626534,0.000000,6.502002,15.744986,114.319408,0.000000,0.000000,33.573845,144.585000,65.536411,0.000000,8.039553,133.507476,9.865587,67.203108,57.039171,88.564385,0.000000,0.000000,0.000000,0.000000,142.946370,14.458500,4.109106,13.174392,31.008759,336.377002,28.116674,0.000000,1.106409,0.000000,5.164674,46.748985,0.000000,34.052659,0.000000,119.699801,23.405709,1.648269,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,17.812004,47.845708,0.000000,36.522672,0.000000,0.000000,16.177343,173.465809,286.724200,40.626534,0.000000,6.502002,15.744986,114.319408,0.000000,0.000000,33.573845,115.668000,65.536411,0.000000,8.039553,133.507476,9.865587,67.203108,57.039171,88.564385,0.000000,0.000000,0.000000,0.000000,142.946370,14.458500,4.109106,13.174392,31.008759,336.377002,28.116674,0.000000,1.106409,0.000000,5.164674,46.748985,0.000000,34.052659,0.000000,119.699801,23.405709,1.648269,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,17.812004,47.845708,0.000000,36.522672,0.000000,0.000000,16.177343,173.465809,286.724200,40.626534,0.000000,6.502002,15.744986,114.319408,0.000000,0.000000,33.573845,115.668000,65.536411,0.000000,8.039553,133.507476,9.865587,67.203108,57.039171,88.564385,0.000000,0.000000,0.000000,0.000000,142.946370,14.458500,4.109106,13.174392,31.008759,336.377002,28.116674,0.000000,1.106409,0.000000,5.164674,46.748985,0.000000,34.052659,0.000000,119.699801,23.405709,1.648269,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,14.997609,47.845708,0.000000,36.522672,0.000000,0.000000,16.177343,173.465809,230.372100,40.626534,0.000000,6.502002,15.744986,114.319408,0.000000,0.000000,33.573845,115.668000,65.536411,0.000000,8.039553,133.507476,9.865587,67.203108,57.039171,88.564385,0.000000,0.000000,0.000000,0.000000,142.465962,14.458500,9.351758,12.327432,31.008759,336.377002,24.992770,0.000000,1.106409,0.000000,5.164674,46.748985,0.000000,34.052659,0.000000,119.699801,20.231577,1.648269,0.000000,0.000000,0.000000,0,0,0,0,0

