Block,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01032024/31032024/SJVN010324NR1588,NR/01032024/31032024/SJVN010324NR1589,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/05012040/L_NR_2020_02,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01032024/22032024/HP-56,NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/30042040/GNA_LT_35,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/01032024/22032024/HP-59,SR/01032024/15032024/BYPL-APPCPL-KSEB,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/13082046/L_NR_2021_12,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01012024/31032024/ ChanjuII,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,SR/01032024/31032024/SJVN010324NR1590,NR/15032024/15032024/DD20240315NR23269,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/14082046/L_NR_2021_16,NR/01032024/15032024/HP-62,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07
1,00:00-00:15,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,11,0,1.340000,8,0,0,0,25.360000,1.220000,99.740000,76.520000,115.510000,33,0.000000,25.360000,22,0,0,0.000000,22,11,32.760000,96.26,204.950000,33.020000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,67.890000

2,00:15-00:30,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,10.67,0,1.340000,8,0,0,0,25.360000,1.220000,99.740000,76.520000,115.510000,32,0.000000,25.360000,21.33,0,0,0.000000,21.33,10.66,32.760000,96.26,204.950000,33.020000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,67.890000

3,00:30-00:45,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,10.33,0,1.340000,8.34,0,0,0,25.360000,1.220000,99.740000,76.520000,133.800000,31,0.000000,25.360000,20.67,0,0,0.000000,20.67,10.34,32.760000,96.26,204.950000,33.020000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,67.890000

4,00:45-01:00,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,16.5,0,1.340000,11.34,0,0,0,25.360000,1.220000,99.740000,76.520000,133.800000,49.5,0.000000,25.360000,20,0,0,0.000000,20,16.5,32.760000,96.26,253.080000,33.020000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,67.890000

5,01:00-01:15,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,16.33,0,1.340000,11,0,0,0,25.360000,1.180000,99.740000,76.520000,133.800000,49,0.000000,25.360000,19.67,0,0,0.000000,19.67,16.34,32.760000,96.26,224.200000,33.020000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,67.890000

6,01:15-01:30,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,16,0,1.340000,10.66,0,0,0,25.360000,1.180000,99.740000,76.520000,133.800000,48,0.000000,25.360000,19.67,0,0,0.000000,19.67,16,32.760000,96.26,224.200000,33.020000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,67.890000

7,01:30-01:45,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,15.67,0,1.340000,13.34,0,0,0,25.360000,1.180000,99.740000,76.520000,133.800000,47,0.000000,25.360000,26,0,0,0.000000,26,15.66,32.760000,96.26,219.390000,33.020000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,67.890000

8,01:45-02:00,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,15.17,0,1.340000,13.34,0,0,0,25.360000,1.180000,99.740000,76.520000,133.800000,45.5,0.000000,25.360000,26,0,0,0.000000,26,15.16,32.760000,96.26,219.390000,35.100000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,61.520000

9,02:00-02:15,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,15.83,0,1.340000,13,0,0,0,25.360000,1.150000,99.740000,76.520000,133.800000,47.5,0.000000,25.360000,26.33,0,0,0.000000,26.33,15.84,32.760000,96.26,219.390000,35.100000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,57.670000

10,02:15-02:30,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,15.67,0,1.340000,12.66,0,0,0,25.360000,1.150000,86.630000,76.520000,133.800000,47,0.000000,25.360000,26.33,0,0,0.000000,26.33,15.66,32.760000,96.26,219.390000,35.100000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.010000,43.320000

11,02:30-02:45,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,20,0,1.340000,12.34,0,0,0,25.360000,1.150000,77.010000,76.520000,133.800000,60,0.000000,25.360000,37.33,0,0,0.000000,37.33,20,32.760000,96.26,219.390000,35.100000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.090000,57.390000

12,02:45-03:00,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,19.67,0,1.340000,12,0,0,0,25.360000,1.150000,77.010000,76.520000,133.800000,59,0.000000,25.360000,37,0,0,0.000000,37,19.66,32.760000,96.26,219.390000,35.100000,48.130000,0,48.13,0,0,0,4.500000,96.26,0,0.000000,25.030000,0,98.190000,1.090000,57.390000

13,03:00-03:15,0,7.01,0,0,0,0,144.390000,0.000000,0.000000,25,0,1.340000,13.66,0,0,0,25.360000,1.150000,84.710000,76.520000,133.800000,75,0.000000,25.360000,20.51,0,0,0.000000,20.51,25,32.760000,96.26,219.390000,35.100000,48.130000,0,48.13,0,0,0,4.410000,96.26,0,0.000000,25.030000,0,98.190000,1.090000,57.390000

