Block,Time,AURY_GF,RAPPC,DADRT2,TANAKPUR,NJPC,ANTA_RF,DADRI_GF,AURY_RF,BSIUL,ANTA_GF,DHAULIGNGA,UNCHAHAR2,JHAJJAR,RIHAND1,SINGRAULI,DADRI_RF,CHAMERA3,ANTA_LF,AURY_LF,SALAL,TEHRI,DULHASTI,URI,RAMPUR,SEWA2,UNCHAHAR1,SASAN,KHSTPP-II,FSTPP I & II,TALA,KHSTPP-I,KOLDAM,CHAMERA2,DADRI_CRF,UNCHAHAR4,NAPP,UNCHAHAR3,TANDA2,ANTA_CRF,AURY_CRF,DADRI_LF,KOTESHWR,RAPPB,CHAMERA1,SINGRAULI_HYDRO,PARBATI3,BRBCL,KISHANGANGA,RIHAND3,URI2,RIHAND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,65.333899,526.763266,9.748500,173.357832,0.000000,0.000000,0.000000,6.281487,0.000000,41.938361,37.103685,402.095966,93.493990,137.308623,0.000000,33.552946,0.000000,0.000000,80.593531,63.861829,38.002444,35.094946,5.414963,0.000000,20.248344,336.167618,142.857390,13.775190,9.430900,30.989457,9.836884,46.719885,0.000000,2.976597,48.321914,26.624629,5.161459,0.000000,0.000000,0.000000,28.317874,0.000000,40.601245,1.105720,4.115306,14.449476,8.034549,125.787810,36.499938,119.815254,0,0,0,0,0

2,00:15-00:30,0.000000,65.333899,526.763266,9.748500,173.357832,0.000000,0.000000,0.000000,6.281487,0.000000,41.938361,37.103685,402.095966,93.493990,137.308623,0.000000,33.552946,0.000000,0.000000,80.593531,63.861829,19.001222,35.094946,5.414963,0.000000,20.248344,336.167618,142.857390,13.775190,9.430900,30.989457,9.836884,46.719885,0.000000,2.976597,48.321914,26.624629,5.161459,0.000000,0.000000,0.000000,28.317874,0.000000,40.601245,1.105720,4.115306,14.449476,8.034549,125.787810,36.499938,119.815254,0,0,0,0,0

3,00:30-00:45,0.000000,65.333899,526.763266,9.748500,173.357832,0.000000,0.000000,0.000000,6.281487,0.000000,41.938361,37.103685,402.095966,93.493990,137.308623,0.000000,33.552946,0.000000,0.000000,80.593531,63.861829,0.000000,35.094946,5.414963,0.000000,20.248344,336.167618,142.857390,13.775190,9.572505,30.989457,9.836884,46.719885,0.000000,2.976597,48.321914,26.624629,5.161459,0.000000,0.000000,0.000000,28.317874,0.000000,40.601245,1.105720,4.115306,14.449476,8.034549,125.787810,36.499938,119.815254,0,0,0,0,0

4,00:45-01:00,0.000000,65.333899,526.763266,9.748500,173.357832,0.000000,0.000000,0.000000,6.281487,0.000000,41.938361,37.103685,402.095966,93.493990,137.308623,0.000000,33.552946,0.000000,0.000000,80.593531,63.861829,0.000000,35.094946,5.414963,0.000000,20.248344,336.167618,142.857390,13.775190,9.572505,30.989457,9.836884,46.719885,0.000000,2.976597,48.321914,26.624629,5.161459,0.000000,0.000000,0.000000,28.317874,0.000000,40.601245,1.105720,4.115306,14.449476,8.034549,125.787810,36.499938,119.815254,0,0,0,0,0

5,01:00-01:15,0.000000,65.333899,494.612165,9.748500,173.357832,0.000000,0.000000,0.000000,6.281487,0.000000,41.938361,37.103685,402.095966,93.493990,137.308623,0.000000,33.552946,0.000000,0.000000,80.593531,63.861829,0.000000,35.094946,5.414963,0.000000,20.248344,336.167618,142.857390,13.775190,9.572505,30.989457,9.836884,46.719885,0.000000,2.976597,48.321914,26.624629,5.161459,0.000000,0.000000,0.000000,28.317874,0.000000,40.601245,1.105720,4.115306,14.449476,8.034549,125.787810,36.499938,119.815254,0,0,0,0,0

