Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/8510,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/9395,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/2474,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/4138,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6957,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/9154,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/9252,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/8456,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902
1,00:00-00:15,0,0,0,4,0,0,81.66,0,0,35,0,35,35,0,0,105,81.67,0,0,0,4.08,7.76,173.48,26.5,3.89,0,69.1,4.05,29.01,28.77,4.21,70.4,164.1,0,12.75,272.94,0,26.5,28.96,10.62,14.48,5.79,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,67.57,0,28.96

2,00:15-00:30,0,0,0,4,0,0,81.66,0,0,35,0,35,35,0,0,105,81.67,0,0,0,4.08,7.76,173.48,26.5,3.89,0,69.1,4.05,29.01,28.77,4.21,70.4,164.1,0,12.75,272.94,0,26.5,28.96,10.62,14.48,5.79,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,67.57,0,28.96

3,00:30-00:45,0,0,0,4,0,0,66.66,0,0,26.67,0,30,30,0,0,90,66.67,0,0,0,4.08,7.76,173.48,26.5,3.89,0,69.1,4.05,29.01,28.77,4.21,70.4,164.1,0,12.75,272.94,0,26.5,28.96,10.62,14.48,5.79,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,67.57,0,28.96

4,00:45-01:00,0,0,0,4,0,0,66.66,0,0,26.67,0,30,30,0,0,90,66.67,0,0,0,4.08,7.76,173.48,26.5,3.89,0,69.1,4.05,29.01,29.27,4.21,70.4,164.1,0,12.75,272.94,0,26.5,28.96,10.62,14.48,5.79,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,67.57,0,28.96

5,01:00-01:15,0,0,0,4,0,0,66.66,0,0,26.67,0,30,30,0,0,90,66.67,0,0,0,4.01,7.76,173.48,26.5,3.89,0,69.1,4.05,29.01,29.77,4.12,70.4,164.1,0,12.57,272.94,0,26.5,28.96,10.62,14.48,5.79,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,67.57,0,28.96

6,01:15-01:30,0,0,0,4,0,0,66.66,0,0,26.67,0,30,30,0,0,90,66.67,0,0,0,4.01,7.76,173.48,26.5,3.89,0,56.87,4.05,29.01,29.77,4.12,70.4,164.1,0,12.57,272.94,0,26.5,28.96,10.62,14.48,5.79,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,67.57,0,28.96

7,01:30-01:45,0,0,0,4,0,0,76.66,0,0,33.33,0,33.33,33.33,0,0,100.01,76.67,0,0,0,4.01,7.76,150.58,26.5,3.81,0,56.87,4.05,29.01,29.77,4.12,70.4,164.1,0,12.57,272.94,0,26.5,28.96,10.62,14.48,5.79,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,67.57,0,28.96

8,01:45-02:00,0,0,0,4,0,0,76.66,0,0,33.33,0,33.33,33.33,0,0,100.01,76.67,0,0,0,4.01,7.76,150.58,26.5,3.81,0,56.87,4.05,29.01,29.77,4.12,70.4,164.1,0,12.57,272.94,0,26.5,28.96,10.62,14.48,5.79,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,67.57,0,28.96

9,02:00-02:15,0,0,0,7.4,0,0,76.66,0,0,33.33,0,33.33,33.33,0,0,100.01,76.67,0,0,0,4.01,7.76,150.58,26.5,3.81,0,56.87,4.05,29.01,29.77,4.03,70.4,164.1,0,12.38,272.94,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

10,02:15-02:30,0,0,0,7.4,0,0,76.66,0,0,33.33,0,33.33,33.33,0,0,100.01,76.67,0,0,0,4.01,7.76,150.58,26.5,3.81,0,56.87,4.05,29.01,29.77,4.03,70.4,164.1,0,12.38,272.94,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

11,02:30-02:45,0,0,0,7.2,0,0,57.34,0,0,33.33,0,33.33,33.33,0,0,100.01,57.33,0,0,0,4.01,7.76,150.58,26.5,3.81,0,56.87,4.05,29.01,29.27,4.03,70.4,164.1,0,12.38,272.94,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

12,02:45-03:00,0,0,0,7.2,0,0,55,0,0,30.67,0,33.33,33.33,0,0,100.01,55,0,0,0,4.01,7.76,150.58,26.5,3.81,0,56.87,4.05,29.01,29.27,4.03,70.4,164.1,0,12.38,272.94,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

13,03:00-03:15,0,0,0,7,0,0,53,0,0,23.33,0,25.5,25.5,0,0,76.5,53,0,0,0,4.01,7.76,123.56,26.5,3.81,0,46.33,4.05,29.01,29.27,4.03,70.4,164.1,0,12.19,272.94,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

14,03:15-03:30,0,0,0,7,0,0,50.34,0,0,21.67,0,25.33,25.33,0,0,76.01,50.33,0,0,0,4.01,7.76,123.56,26.5,3.81,0,46.33,4.05,29.01,29.27,4.03,70.4,164.1,0,12.19,272.94,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

15,03:30-03:45,0,0,0,7,0,0,43.34,0,0,13.33,0,14.67,14.67,0,0,43.99,43.33,0,0,0,4.01,7.76,123.56,26.5,3.81,0,46.33,4.05,29.01,29.27,4.03,70.4,164.1,0,12.19,231.67,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

16,03:45-04:00,0,0,0,6,0,0,43,0,0,12.67,0,14.5,14.5,0,0,43.5,43,0,0,0,4.01,7.76,123.56,26.5,3.81,0,46.33,4.05,29.01,29.27,4.03,70.4,164.1,0,12.19,193.06,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

17,04:00-04:15,0,0,0,11.21,0,0,60.66,0,0,20,0,20,20,0,0,60,60.67,0,0,0,3.93,7.76,123.56,26.5,3.74,0,46.33,4.05,29.01,29.27,4.03,70.4,164.1,0,12.01,193.06,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

18,04:15-04:30,0,0,0,10.4,0,0,60.66,0,0,18.33,0,19.17,19.17,0,0,57.49,60.67,0,0,0,3.93,7.76,123.56,26.5,3.74,0,46.33,4.05,29.01,29.27,4.03,70.4,164.1,0,12.01,193.06,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

19,04:30-04:45,0,0,0,15.01,0,0,60.34,0,0,15.67,0,18.17,18.17,0,0,54.49,60.33,0,0,0,3.93,7.76,123.56,26.5,3.74,0,46.33,4.05,29.01,29.27,4.03,70.4,164.1,0,12.01,193.06,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

20,04:45-05:00,0,0,0,14.01,0,0,60.34,0,0,13,0,17,17,0,0,51,60.33,0,0,0,3.93,7.76,123.56,26.5,3.74,0,46.33,4.05,29.01,28.77,4.03,70.4,164.1,0,12.01,193.06,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

21,05:00-05:15,0,0,0,13.01,0,0,61.34,0,0,25.33,0,21,21,0,0,63,61.33,0,0,0,3.93,7.76,139.97,26.5,3.74,0,46.33,4.05,29.01,28.25,4.03,70.4,164.1,0,11.82,150.11,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

22,05:15-05:30,0,0,0,12.01,0,0,57.66,0,0,24,0,20.33,20.33,0,0,61.01,57.67,0,0,0,3.93,7.76,150.58,26.5,3.74,0,46.33,4.05,29.01,28.25,4.03,70.4,164.1,0,11.82,193.06,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

23,05:30-05:45,0,0,0,11,0.22,0,46.66,0,0,15,0,19.17,19.17,0,0,57.49,46.67,0,0,0,3.93,7.76,150.58,26.5,3.74,0,56.87,4.05,29.01,28.25,4.03,70.4,164.1,0,12.1,231.67,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

24,05:45-06:00,0,0.45,0,10,0.24,0,46.34,0,0,14.67,0.1,18.33,18.33,0.53,0,55.01,46.33,0,0,0,3.93,7.76,150.58,26.5,3.74,0,56.87,4.05,29.01,27.75,4.03,70.4,164.1,0,12.1,272.94,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

25,06:00-06:15,0,2.49,0,9,1.27,0,38.66,1,1,14,0.53,14.33,14.33,2.63,0,43.01,38.67,0,0,1,3.85,7.76,150.58,26.5,3.74,0,56.87,4.05,29.01,28.26,3.84,70.4,164.1,0,10.9,272.94,0,26.5,28.96,10.62,0,0,14.48,164.1,100.56,123.08,0,13.51,0,10.45,0,0,96.53,0

