Block,Time,JHAJJAR,NLCIIST1,RAPPC,RIHAND1,SALAL,ANTA_CRF,DADRI_GF,KKNP,RIHAND2,RSTPSU7,SEWA2,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,BRBCL,KGSU3AND4,KHSTPP-II,KKNPPU2,KOLDAM,NTPL,UNCHAHAR2,UNCHAHAR4,CHAMERA1,DHAULIGNGA,FSTPP I & II,KHSTPP-I,KUDGI,PARBATI3,RSTPSU1TO6,UNCHAHAR1,UNCHAHAR3,URI,AURY_RF,DULHASTI,NJPC,NLCEXP,NLCIIST2,SIMHST1,SINGRAULI,VALLURNTECL,AURY_GF,DADRI_LF,DADRI_RF,KGSU1AND2,MAPS,NLCTS2EXP,RAPPB,SASAN,SIMHST2,SINGRAULI_HYDRO,URI2,ANTA_GF,ANTA_LF,DADRI_CRF,CHAMERA2,DADRT2,KOTESHWR,NNTPP,RIHAND3,BSIUL,CHAMERA3,KISHANGANGA,NAPP,RAMPUR,TelanganaSTPP,ANTA_RF,AURY_CRF,AURY_LF
1,00:00-00:15,654.31,0,53.3,92,1.4,29.93,0,0,118.76,0,0,0,0,3.85,0,0,20,0,98.87,0,0,0,42.4,0,0,0,11.7,45.22,0,0,0,20.56,26.39,1.33,0,16.48,0,0,0,0,125.97,0,0,23.68,7.12,0,0,0,0,413.44,0,0,18.83,0,0,40.22,0,683.14,8.87,0,124.32,0,0,0,43.36,0,0,0,70.59,0

2,00:15-00:30,654.31,0,53.3,92,1.4,29.93,0,0,118.76,0,0,0,0,3.85,0,0,20,0,98.87,0,0,0,42.4,0,0,0,11.7,45.22,0,0,0,20.56,26.39,1.33,0,16.48,0,0,0,0,125.97,0,0,23.68,7.12,0,0,0,0,413.44,0,0,18.83,0,0,40.22,0,683.14,8.87,0,124.32,0,0,0,43.36,0,0,0,70.59,0

3,00:30-00:45,654.31,0,53.3,92,1.4,29.93,0,0,118.76,0,0,0,0,3.85,0,0,20,0,98.87,0,0,0,42.4,0,0,0,9.1,45.22,0,0,0,20.56,26.39,1.33,0,16.48,0,0,0,0,125.97,0,0,23.68,7.12,0,0,0,0,413.44,0,0,18.83,0,0,40.22,0,683.14,8.87,0,124.32,0,0,0,43.36,0,0,0,70.59,0

4,00:45-01:00,654.31,0,53.3,92,1.4,29.93,0,0,118.76,0,0,0,0,3.85,0,0,20,0,98.87,0,0,0,42.4,0,0,0,9.1,45.22,0,0,0,20.56,26.39,1.33,0,16.48,0,0,0,0,125.97,0,0,23.68,7.12,0,0,0,0,413.44,0,0,18.83,0,0,40.22,0,683.14,8.87,0,124.32,0,0,0,43.36,0,0,0,70.59,0

5,01:00-01:15,654.31,0,53.3,92,1.4,29.93,0,0,118.76,0,0,0,0,3.85,0,0,20,0,98.87,0,0,0,42.4,0,0,0,9.1,45.22,0,0,0,20.56,26.39,1.33,0,16.48,0,0,0,0,125.97,0,0,23.68,7.12,0,0,0,0,413.44,0,0,18.83,0,0,62.14,0,683.14,8.87,0,124.32,0,0,0,43.36,0,0,0,70.59,0

6,01:15-01:30,654.31,0,53.3,92,1.4,29.93,0,0,118.76,0,0,0,0,3.85,0,0,20,0,98.87,0,0,0,42.4,0,0,0,9.1,45.22,0,0,0,20.56,26.39,1.33,0,16.48,0,0,0,0,125.97,0,0,23.68,7.12,0,0,0,0,413.44,0,0,18.83,0,0,62.14,0,683.14,8.87,0,124.32,0,0,0,43.36,0,0,0,70.59,0

7,01:30-01:45,654.31,0,53.3,92,1.4,29.93,0,0,118.76,0,0,0,0,8.33,0,0,20,0,98.87,0,0,0,42.4,0,0,0,9.1,45.22,0,0,0,20.56,26.39,1.33,0,0,0,0,0,0,125.97,0,0,23.68,7.12,0,0,0,0,413.44,0,0,4.44,0,0,62.14,0,683.14,8.87,0,124.32,0,0,0,43.36,0,0,0,70.59,0

8,01:45-02:00,654.31,0,53.3,92,1.4,29.93,0,0,118.76,0,0,0,0,8.33,0,0,20,0,98.87,0,0,0,42.4,0,0,0,9.1,45.22,0,0,0,20.56,26.39,1.33,0,0,0,0,0,0,125.97,0,0,23.68,7.12,0,0,0,0,413.44,0,0,4.44,0,0,62.14,0,683.14,8.87,0,124.32,0,0,0,43.36,0,0,0,70.59,0

9,02:00-02:15,654.31,0,53.3,92,1.4,29.93,0,0,118.76,0,0,0,0,8.33,0,0,20,0,98.87,0,0,0,42.4,0,0,0,9.1,45.22,0,0,0,20.56,26.39,1.33,0,0,0,0,0,0,125.97,0,0,23.68,7.12,0,0,0,0,413.44,0,0,4.44,0,0,62.14,0,683.14,8.87,0,124.32,0,0,0,43.36,0,0,0,70.59,0

