Column1,Time,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59
1,00:00-00:15,0,0,45.49,0,38.33,14.01,0,0,38.34,0,0,0,13.33,0,0,15.17,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,172.14,0,1.66,0,0,15.17,100.19,24.73,0.77

2,00:15-00:30,0,0,45,0,38.33,14.01,0,0,38.34,0,0,0,12.67,0,0,15,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,172.14,0,1.66,0,0,15,100.19,24.73,0.77

3,00:30-00:45,0,0,43.99,0,44,11,0,0,44,0,0,0,12,0,0,14.67,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,172.14,0,1.66,0,0,14.67,100.19,24.73,0.77

4,00:45-01:00,0,0,43.01,0,43.67,11,0,0,43.66,0,0,0,11.33,0,0,14.33,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,172.14,0,1.66,0,0,14.33,100.19,24.73,0.77

5,01:00-01:15,0,0,43.99,0,43.33,11.21,0,0,43.34,0,0,0,10.67,0,0,14.67,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,140.41,0,1.66,0,0,14.67,78.86,24.73,0.77

6,01:15-01:30,0,0,43.99,0,42.33,11.21,0,0,42.34,0,0,0,10,0,0,14.67,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,140.41,0,1.66,0,0,14.67,78.86,24.73,0.77

7,01:30-01:45,0,0,43.99,0,42.33,11.21,0,0,42.34,0,0,0,9.33,0,0,14.67,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,140.41,0,1.66,0,0,14.67,69.24,24.73,0.77

8,01:45-02:00,0,0,43.99,0,41.33,11.21,0,0,41.34,0,0,0,8.67,0,0,14.67,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,106.75,0,1.66,0,0,14.67,69.24,24.73,0.77

9,02:00-02:15,0,0,43.01,0,36.67,11,0,0,36.67,0,0,0,8,0,0,14.33,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,106.75,0,1.66,0,0,14.33,75.01,0,0.69

10,02:15-02:30,0,0,42.49,0,36.67,10.8,0,0,36.67,0,0,0,7,0,0,14.17,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,106.75,0,1.66,0,0,14.17,69.24,0,0.69

11,02:30-02:45,0,0,42,0,37.67,10.8,0,0,37.67,0,0,0,6.67,0,0,14,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,106.75,0,1.66,0,0,14,78.86,0,0.69

12,02:45-03:00,0,0,41.51,0,38,10.8,0,0,38,0,0,0,6.67,0,0,13.83,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.92,75,8.66,31.71,8.66,106.75,0,1.66,0,0,13.83,88.48,0,0.69

13,03:00-03:15,0,0,39.49,0,34.33,11.61,0,0,34.33,0,0,0,6.67,0,0,13.17,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,107.71,0,1.66,0,0,13.17,100.19,0,0.69

14,03:15-03:30,0,0,37.5,0,34.33,12.21,0,0,34.33,0,0,0,6.67,0,0,12.5,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,107.71,0,1.66,0,0,12.5,100.19,0,0.69

15,03:30-03:45,0,0,35.51,0,34,12.61,0,0,34,0,0,0,6.67,0,0,11.83,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,107.71,0,1.66,0,0,11.83,100.19,0,0.69

16,03:45-04:00,0,0,34.01,0,32.67,13.61,0,0,32.67,0,0,0,6.67,0,0,11.33,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,107.71,0,1.66,0,0,11.33,100.19,0,0.69

17,04:00-04:15,0,0,33,0,30,13.21,0,0,30,0,0,0,6.67,0,0,11,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,109.63,0,1.62,0,0,11,100.19,0,0.69

18,04:15-04:30,0,0,32.51,0,30.67,13.21,0,0,30.66,0,0,0,6.67,0,0,10.83,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,109.63,0,1.62,0,0,10.83,100.19,0,0.69

19,04:30-04:45,0,0,27.49,0,25.33,13.01,0,0,25.34,0,0,0,6.67,0,0,9.17,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,109.63,0,1.62,0,0,9.17,100.19,0,0.69

20,04:45-05:00,0,0,25.01,0,25,13.01,0,0,25,0,0,0,6.67,0,0,8.33,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,109.63,0,1.62,0,0,8.33,100.19,0,0.69

21,05:00-05:15,0,0,22.5,0,19.33,13.41,0,0,19.34,0,0,0,6.67,0,0,7.5,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,109.63,0,1.62,0,0,7.5,84.63,0,0.69

22,05:15-05:30,0,0,22.01,0,19.33,13.81,0,0,19.34,0,0,0,6.67,0,0,7.33,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,109.63,0,1.62,0,0,7.33,69.24,0,0.69

23,05:30-05:45,0,0,22.01,0,19.67,20.01,0,0,19.66,0,0,0,6.67,0,0,7.33,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,128.87,0,1.62,0,0,7.33,69.24,0,0.69

24,05:45-06:00,0,0,22.01,0,19.33,21.01,0,0,19.34,0,0,0,6.67,0,0,7.33,0,57.41,0,1.14,0,0,70.13,95.13,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,31.71,8.66,148.1,0,1.62,0,0,7.33,59.63,0,0.69

25,06:00-06:15,0,0,22.01,0,14,18.01,0,0,14,0.7,0,0,6.67,0,0,7.33,0,57.41,0,1.14,0,0,70.13,0,25.97,25.97,0,0,25.97,96.17,1.84,75,8.66,0,8.66,176.14,0,1.62,0,0,7.33,55.78,0,0.69

26,06:15-06:30,0,0,22.01,0,14,18.01,0,0,14,1.31,0,0,6.67,0,0,7.33,0,57.41,0,1.14,0,0,70.13,0,25.97,25.97,0,0,25.97,115.4,1.84,75,8.66,0,8.66,176.14,0,1.62,0,0,7.33,65.4,0,0.69

27,06:30-06:45,0,0,22.01,0.19,14,17.81,0,0,14,3.02,1,0,6.67,0,0,7.33,0,57.41,0.14,1.14,0.14,0.14,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,176.14,0,1.62,0,0,7.33,65.4,0,0.69

28,06:45-07:00,0,0,22.01,3.78,14,17.61,0,0,14,6.1,6,0,6.67,0,0,7.33,0,76.25,0.33,1.14,0.34,0.33,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,176.14,0,1.62,0,0,7.33,65.4,0,0.69

29,07:00-07:15,0,1,22.01,13.91,14,23.61,2,0,14,14.7,11,0,6.67,0.56,0.11,7.33,1,76.25,0.63,1.14,0.65,0.63,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,176.14,0,1.62,0,3.05,7.33,75.01,0,0.69

30,07:15-07:30,1,4,22.01,22.73,14,23.21,3,1,14,22.73,18,1,6.67,2.61,0.52,7.33,2,76.25,1.06,1.14,1.08,1.06,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,176.14,0,1.62,0,12.04,7.33,100.19,0,0.69

31,07:30-07:45,3,7,22.01,21.74,14,22.61,6,3,14,21.73,21.73,2,6.67,5.72,1.14,7.33,5,86.75,1.62,1.14,1.66,1.62,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.62,0,21.63,7.33,100.19,0,0.69

32,07:45-08:00,4,11,22.01,23.56,14,20.61,8,4,14,23.57,23.57,4,6.67,16.21,3.24,7.33,8,86.75,2.32,1.14,2.38,2.32,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.62,0,30.73,7.33,100.19,0,0.69

33,08:00-08:15,8,28,22.01,24.56,14,17.21,14,12,14,24.57,24.57,6,6.67,31.73,6.35,7.33,17,86.75,3.08,1.14,3.15,3.08,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.62,0,41.53,7.33,100.19,0,0.69

34,08:15-08:30,12,42,22.01,24.74,14,15.81,22,18,14,24.73,24.73,11,6.67,52.48,10.5,7.33,23,86.75,3.83,1.14,3.93,3.83,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.62,0,53.9,7.33,100.19,0,0.69

35,08:30-08:45,18,56,22.01,26.16,14,14.41,28,24,14,26.17,26.17,17,6.67,74.48,14.89,7.33,35,86.75,4.56,1.14,4.68,4.56,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.62,0,66.64,7.33,100.19,0,0.69

36,08:45-09:00,22,70,22.01,26.16,14,13.01,40,30,14,26.17,26.17,22,6.67,95.87,19.17,7.33,43,86.75,5.53,1.14,5.67,5.53,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.62,0,78.73,7.33,100.19,0,0.69

37,09:00-09:15,27,102,22.01,26.5,14,25.01,47,43,14,26.5,26.5,26,6.67,117.5,23.5,7.33,53,86.75,7.03,1.14,7.21,7.03,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.66,0,89.61,7.33,100.19,0,0.69

38,09:15-09:30,30,116,22.01,26.84,14,24.81,55,49,14,26.83,26.83,29,6.67,137.88,27.58,7.33,60,86.75,7.88,1.14,8.07,7.88,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.66,0,99.13,7.33,100.19,0,0.69

39,09:30-09:45,33,130,22.01,27.16,14,24.41,65,55,14,27.17,27.17,32,6.67,157.71,31.54,7.33,67,86.75,8.87,1.14,9.09,8.87,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.66,0,107.76,7.33,100.19,0,0.69

40,09:45-10:00,37,144,22.01,27.16,14,23.61,74,61,14,27.17,27.17,34,6.67,175.69,35.14,7.33,73,86.75,11.02,1.14,11.3,11.02,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.66,0,115.35,7.33,100.19,0,0.69

41,10:00-10:15,40,161,22.01,27.16,14,23.01,81,69,14,27.17,27.17,37,6.67,205.05,41.01,7.33,80,74.56,11.99,1.14,12.29,11.99,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,188.21,0,1.66,0,121.93,7.33,100.19,0,0.77

42,10:15-10:30,42,168,22.01,27.16,14,22.01,85,72,14,27.17,27.17,39,6.67,219.32,43.87,7.33,85,74.56,12.79,1.14,13.1,12.79,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.66,0,127.4,7.33,100.19,0,0.77

43,10:30-10:45,45,175,22.01,27.16,14,26.81,91,75,14,27.17,27.17,41,6.67,231.56,46.31,7.33,90,86.75,13.49,1.14,13.83,13.49,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.66,0,131.85,7.33,100.19,0,0.77

44,10:45-11:00,47,179,22.01,27.16,14,27.21,95,76,14,27.17,27.17,42,6.67,241.67,48.33,7.33,93,86.75,14.11,1.14,14.46,14.11,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.66,0,135.49,7.33,100.19,0,0.77

45,11:00-11:15,48,186,22.01,27.16,14,27.41,97,79,14,27.17,27.17,44,6.67,241.67,48.33,7.33,97,86.75,14.51,1.14,14.87,14.51,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.71,0,138.26,7.33,100.19,0,0.77

46,11:15-11:30,49,193,22.01,28.5,14,27.81,97,82,14,28.5,28.5,45,6.67,243.33,48.67,7.33,98,86.75,15.2,1.14,15.58,15.2,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,201.96,0,1.71,0,140.51,7.33,100.19,0,0.77

47,11:30-11:45,49,200,22.01,29.24,14,27.81,97,85,14,29.23,29.23,45,6.67,243.33,48.67,7.33,99,0,15.2,1.14,15.58,15.2,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,130.55,0,1.71,0,142.05,7.33,100.19,0,0.77

48,11:45-12:00,49,200,22.01,29.4,14,27.81,97,85,14,29.4,29.4,46,6.67,243.33,48.67,7.33,99,0,15.2,1.14,15.58,15.2,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,130.55,0,1.71,0,142.97,7.33,100.19,0,0.77

49,12:00-12:15,49,200,22.01,29.4,14,29.81,97,85,14,29.4,29.4,46,6.67,243.33,48.67,7.33,99,0,15.2,1.22,15.58,15.2,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,111.35,0,1.71,0,143.22,7.33,100.19,0,0.77

50,12:15-12:30,49,200,22.01,29.4,14,29.81,97,85,14,29.4,29.4,47,6.67,241.67,48.33,7.33,99,0,15.2,1.22,15.58,15.2,65.98,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,111.35,0,1.71,0,142.44,7.33,100.19,0,0.77

51,12:30-12:45,49,200,22.01,29.4,14,29.81,97,85,14,29.4,29.4,46,6.67,241.67,48.33,7.33,99,0,15.2,1.22,15.58,15.2,70.13,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,111.35,0,1.71,0,141.01,7.33,100.19,0,0.77

52,12:45-13:00,49,200,22.01,29.4,14,29.61,97,85,14,29.4,29.4,46,6.67,241.67,48.33,7.33,99,0,15.35,1.22,15.73,15.35,70.13,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,111.35,0,1.71,0,138.79,7.33,100.19,0,0.77

53,13:00-13:15,48,200,22.01,29.4,14,25.21,0,85,14,29.4,29.4,46,6.67,241.67,48.33,7.33,97,0,15.35,1.22,15.73,15.35,70.13,0,25.97,25.97,0,0,25.97,115.4,1.84,75,8.66,0,8.66,111.35,0,1.76,0,135.91,7.33,100.19,0,0.85

