Block,Time,RAPPC,DADRI_CRF,DADRI_LF,BSIUL,AURY_CRF,SINGRAULI_HYDRO,TANDA2,AURY_GF,CHAMERA1,DADRT2,URI,RIHAND3,CHAMERA3,ANTA_CRF,KOTESHWR,RIHAND1,DHAULIGNGA,SALAL,RAPPB,UNCHAHAR3,PARBATI3,BRBCL,UNCHAHAR4,AURY_RF,UNCHAHAR2,NJPC,CHAMERA2,ANTA_LF,NAPP,DADRI_GF,AURY_LF,TEHRI,ANTA_GF,FSTPP I & II,SASAN,TANAKPUR,RIHAND2,KHSTPP-I,DULHASTI,DADRI_RF,JHAJJAR,RAMPUR,KISHANGANGA,TALA,KOLDAM,SEWA2,URI2,KHSTPP-II,SINGRAULI,UNCHAHAR1,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,128.015032,40.387190,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,29.085092,0.000000,13.988031,0.000000,19.254035,0.000000,0.000000,24.713778,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,15.022548,403.149879,5.919450,112.756238,33.000297,0.000000,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,105.599333,120.903086,6.257550,0.000000,0,0,0,0,0

2,00:15-00:30,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,128.015032,40.387190,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,29.085092,0.000000,13.988031,0.000000,18.579166,0.000000,0.000000,22.450164,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,15.022548,403.149879,5.919450,112.756238,33.000297,0.000000,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,105.599333,120.903086,6.257550,0.000000,0,0,0,0,0

3,00:30-00:45,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,140.238022,34.010266,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,29.085092,0.000000,14.652294,0.000000,19.254035,0.000000,0.000000,22.623450,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,15.022548,403.149879,5.302840,112.756238,33.000297,0.000000,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,105.599333,120.903086,6.257550,0.000000,0,0,0,0,0

4,00:45-01:00,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,164.479651,34.010266,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,29.085092,0.000000,14.652294,0.000000,18.853873,0.000000,0.000000,22.623450,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,15.022548,403.149879,5.302840,112.756238,33.000297,0.000000,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,105.599333,120.903086,6.257550,0.000000,0,0,0,0,0

5,01:00-01:15,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,188.242149,34.010266,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,24.051134,0.000000,14.652294,0.000000,16.845906,0.000000,0.000000,22.623450,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,11.292471,403.149879,0.000000,112.756238,24.568104,0.000000,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,78.171240,120.903086,6.257550,0.000000,0,0,0,0,0

6,01:15-01:30,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,208.654635,34.010266,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,24.051134,0.000000,14.652294,0.000000,15.787617,0.000000,0.000000,22.623450,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,11.292471,403.149879,0.000000,112.756238,24.568104,15.864191,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,78.171240,120.903086,6.257550,0.000000,0,0,0,0,0

7,01:30-01:45,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,225.900636,34.010266,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,24.051134,0.000000,14.652294,0.000000,13.792760,0.000000,0.000000,22.623450,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,11.292471,403.149879,0.000000,112.756238,24.568104,15.864191,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,78.171240,120.903086,6.257550,0.000000,0,0,0,0,0

8,01:45-02:00,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,242.217438,34.010266,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,24.051134,0.000000,14.652294,0.000000,16.066257,0.000000,0.000000,22.623450,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,11.292471,403.149879,0.000000,112.756238,24.568104,15.864191,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,78.171240,120.903086,6.257550,0.000000,0,0,0,0,0

9,02:00-02:15,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,267.415072,40.387190,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,24.051134,0.000000,19.629934,0.000000,17.156515,0.000000,0.000000,30.919710,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,15.022548,403.149879,0.000000,112.756238,33.000297,15.864191,0.000000,350.735678,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,105.599333,120.903086,8.319365,0.000000,0,0,0,0,0

10,02:15-02:30,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,292.612704,40.387190,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,24.051134,0.000000,19.629934,0.000000,15.113151,0.000000,0.000000,30.919710,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,15.022548,403.149879,0.000000,112.756238,33.000297,15.864191,0.000000,350.735678,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,105.599333,120.903086,8.319365,0.000000,0,0,0,0,0

11,02:30-02:45,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,317.810338,34.010266,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,24.051134,0.000000,14.652294,0.000000,15.722570,0.000000,0.000000,22.921887,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,15.022548,403.149879,0.000000,112.756238,33.000297,15.864191,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,105.599333,120.903086,6.257550,0.000000,0,0,0,0,0

12,02:45-03:00,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,0.000000,344.863994,34.010266,99.052010,0.000000,0.000000,8.068389,88.568400,0.000000,24.051134,0.000000,14.652294,0.000000,17.747984,0.000000,0.000000,22.921887,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,15.022548,403.149879,0.000000,112.756238,33.000297,15.864191,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,31.339582,105.599333,120.903086,6.257550,0.000000,0,0,0,0,0

13,03:00-03:15,51.554318,0.000000,0.000000,0.000000,0.000000,0.644576,0.000000,0.000000,13.525319,359.231505,34.010266,72.845006,0.000000,0.000000,8.068389,61.156095,0.000000,12.305231,0.000000,14.652294,0.000000,19.254035,0.000000,0.000000,22.921887,0.000000,0.000000,0.000000,41.846259,0.000000,0.000000,0.000000,0.000000,15.022548,403.149879,0.000000,90.467133,33.962997,15.864191,0.000000,346.687524,0.000000,0.000000,0.000000,0.000000,15.656005,30.707610,106.562033,120.903086,6.257550,0.000000,0,0,0,0,0

