Block,Time,DADRT2,JHAJJAR,KGSU3AND4,KISHANGANGA,KOLDAM,KOTESHWR,NLCEXP,NLCTS2EXP,NTPL,PARBATI2,RIHAND3,TANDA2,TEHRI,TelanganaSTPP,UNCHAHAR1,AURY_GF,AURY_RF,DULHASTI,KGSU1AND2,PARBATI3,SEWA2,URI2,DADRI_GF,DADRI_RF,BRBCL,DHAULIGNGA,FSTPP I & II,KHSTPP-I,KUDGI,RAPPD,RIHAND1,RIHAND2,SASAN,SIMHST2,ANTA_LF,ANTA_RF,CHAMERA3,KHSTPP-II,MAPS,NJPC,NLCIIST1,RAPPB,RSTPSU7,BSIUL,CHAMERA1,KKNPPU2,NNTPP,TEHRIPSP,UNCHAHAR3,URI,DADRI_CRF,RAPPC,TALA,TANAKPUR,ANTA_CRF,ANTA_GF,CHAMERA2,RAMPUR,SALAL,SINGRAULI,UNCHAHAR2,VALLURNTECL,AURY_CRF,AURY_LF,KKNP,NAPP,NLCIIST2,RSTPSU1TO6,SIMHST1,SINGRAULI_HYDRO,TALST2,UNCHAHAR4,DADRI_LF
1,00:00-00:15,550.85,670.85,0,8.76,10.65,20.88,0,0,0,58.05,92.37,7.07,29.68,0,21.83,0,80.92,58.79,0,79,0,38.16,0,76.68,24.99,43.85,20.8,32.78,0,25.74,99.81,126.8,410.62,0,0,49.95,35.09,148.3,0,153.11,0,0,0,13.04,42.15,0,0,51.99,27.99,50.23,0,68.56,17.35,12.04,0,0,48.9,5.87,85.41,155.58,45.62,0,0,0,0,25.03,0,0,0,1.17,0,3.98,0

2,00:15-00:30,550.85,670.85,0,8.76,10.65,20.88,0,0,0,58.05,92.37,7.07,29.68,0,21.83,0,80.92,58.79,0,79,0,38.16,0,76.68,24.99,43.85,20.8,32.78,0,25.74,99.81,126.8,410.62,0,0,49.95,35.09,148.3,0,153.11,0,0,0,13.04,42.15,0,0,51.99,27.99,50.23,0,68.56,17.35,12.04,0,0,48.9,5.87,85.41,155.58,45.62,0,0,0,0,25.03,0,0,0,1.17,0,3.98,0

3,00:30-00:45,550.85,670.85,0,8.76,10.65,20.88,0,0,0,58.05,92.37,7.07,29.68,0,21.83,0,80.92,58.79,0,79,0,38.16,0,76.68,24.99,43.85,20.8,32.78,0,25.74,99.81,126.8,410.62,0,0,49.95,35.09,148.3,0,153.11,0,0,0,13.04,42.15,0,0,51.99,27.99,36.98,0,68.56,17.35,12.04,0,0,48.9,5.87,85.41,155.58,33.12,0,0,0,0,25.03,0,0,0,1.17,0,3.98,0

4,00:45-01:00,550.85,670.85,0,8.76,10.65,20.88,0,0,0,58.05,92.37,7.07,29.68,0,21.83,0,80.92,58.79,0,79,0,38.16,0,76.68,24.99,43.85,20.8,32.78,0,25.74,99.81,126.8,410.62,0,0,49.95,35.09,148.3,0,153.11,0,0,0,13.04,42.15,0,0,51.99,27.99,36.98,0,68.56,17.35,12.04,0,0,48.9,5.87,85.41,155.58,33.12,0,0,0,0,25.03,0,0,0,1.17,0,3.98,0

5,01:00-01:15,550.85,670.85,0,8.76,10.65,20.88,0,0,0,58.05,92.37,7.07,29.68,0,21.83,0,80.92,58.79,0,79,0,38.16,0,76.68,24.99,43.85,20.8,32.78,0,25.74,99.81,126.8,410.62,0,0,51.27,35.09,148.3,0,153.11,0,0,0,13.04,42.15,0,0,51.99,27.99,36.98,0,68.56,17.35,12.04,0,0,48.9,5.87,85.41,155.58,33.12,0,0,0,0,25.03,0,0,0,1.17,0,3.98,0

