Column1,Block,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/9046,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8058,NER/2024/2820/A/50924,NR/2024/24435/A/50650,NR/2025/25002/C,NR/2025/25003/C,WR/2024/25501/A/50927,NR/2025/25004/C,NR/2024/24566/A/50642,NR/2024/24507/A/50948,NR/2024/24418/A/50632,NR/2024/24508/A/50947,NR/2024/24434/A/50651,NR/2025/25009/C,NR/2025/24838/A/50878,NR/2025/25008/C,NR/2025/24837/A/50876,NR/2025/24839/A/50880,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3945,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/9333,Total
,,HPXL,IEXL,HPXL,PUNJAB,HPXL,HPXL,NDMC,BAWANA_GAS,IEXL,NDMC,PXIL,IEXL,APPCPL,IEXL,TPDDL,NVVNL,APPCPL,NVVNL,IEXL,NVVNL,ITCLH,NVVNL,IEXL,SJVNL,OIDLWM2_AEROCITY,SJVNL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,DELHI,NDMC,IEXL,APPCPL,NDMC,MANIKARAN,TPTCL,HPXL,HPXL,HPXL,PXIL,
,,MSEB_State,NA,NA,DELHI_UT,NA,NA,NA,DELHI_UT,MP_State,NA,NA,NA,DELHI_UT,KARNATAKA_STATE,NA,NA,DELHI_UT,NA,TELANGANA_State,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,ODISHA_STATE,DELHI_UT,NA,DELHI_UT,DELHI_UT,TELANGANA_State,TAMILNADU_State,Meghalaya_State,NA,
,,GRETAENERGY,SKS_Raigarh,SIMHAPURI,BAWANA_GAS,JPNIGRIE_JNSTPP,SKS_Raigarh,SKS_Raigarh,BAWANA_GAS,JP_BINA,RKM_POWER,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,BYPL,NSLSUGARALAND,JHAJJAR,TRN_ENERGY,BRPL,JIPL,NSLKSLWPRTY,JIPL,ITCWIND,TRN_ENERGY,TESPL_BKN2,RSRPL_BKN,TCSPL_BKN2,TPSL_BKN2,TCSPL_BKN2,TCSPL_BKN2,CHANJUII,RKM_POWER,NBVLIPP,BYPL,JPL2,BRPL,BYPL,ZUARICEMCPP,GAYATRIGREENTN,Meghalaya_Ben,SINGOLI,
,,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,NDMC,HARYANA,BRPL,NDMC,BRPL,BRPL,Manipur_Ben,MES_Delhi,TPDDL,NDMC,GOA_Beneficiary,NDMC,MES_Delhi,NDMC,ITCLH,NDMC,MES_Delhi,NDMC,OIDLWM2_AEROCITY,NDMC,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,TPDDL,NDMC,BRPL,AEML,NDMC,AEML,TPC_MSEB,BRPL,BRPL,BRPL,BRPL,
,,West-North,West-North,South-East-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-East-North East,South-West-North,North-North,West-North,North-West,East-North,South-West-North,East-North,South-West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,East-North,North-West,West-North,North-West,North-West,South-East-North,South-East-North,North East-East-North,North-North,
1,00:00-00:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

2,00:15-00:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

