Time,Block,NR/2023/17520/C,NR/2023/13148/A,NR/2023/16191/A,NR/2023/13383/A,NR/2023/17516/C,NR/2023/16185/A,NR/2023/17514/C,NR/2023/17518/C,NR/2023/17511/C,NR/2023/13387/A,NR/2023/17506/D,NR/2023/13385/A,NR/2023/13168/A,NR/2023/17515/C,NR/2023/16073/A,NR/2023/16077/A,ER/2023/11204/C,NR/2023/17503/D,NR/2023/16291/F,NR/2023/13254/A,NR/2023/13165/A,ER/2023/11201/C,NR/2023/13150/A,NR/2023/13253/A,NR/2023/17519/C,NR/2023/17508/C,NR/2023/15770/A,Total
,,IEXL,KEIPL,MANIKARAN,APPCPL,TPDDL,MANIKARAN,GBHHPL,HPXL,SJVNL,NVVNL,NVVNL,NVVNL,GMRETL,SJVNL,APPCPL,APPCPL,IEXL,NVVNL,ITCLH,APPCPL,GMRETL,HPXL,KEIPL,APPCPL,IEXL,SJVNL,NVVNL,Total

,,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,NA,NA,MP,MEGHALAYA,NA,GOA,HIMACHAL PRADESH,DELHI,NA,ANDHRA PRADESH,MEGHALAYA,MEGHALAYA,DELHI,MEGHALAYA,UTTARAKHAND,NA,ARUNACHAL PRADESH,NA,
,,RKM_POWER,Meghalaya_Ben,HP,HP,CHANJUII,HP,GBHHPL,HP-GOVT,BCMLB001,JPNIGRIE_JNSTPP,KAMENG,JP BINA,Meghalaya_Ben,RSRPL_BKN,GOA_Beneficiary,HP,BYPL,SOLAPUR_SOLAR,ITCWIND,Meghalaya_Ben,Meghalaya_Ben,BYPL,Meghalaya_Ben,UTTARAKHAND,Teesta_III,Arunachal_Ben,SKS Raigarh,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,BRPL,BYPL,TPDDL,BRPL,DIAPL,BRPL,NDMC,BRPL,TPDDL,BRPL,BYPL,NDMC,BRPL,BRPL,IPCL_WB,MES (Delhi),ITCLH,BYPL,BYPL,VLSEZ,BYPL,BYPL,BRPL,NDMC,NDMC,
,,West-East-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,North East-East-North,North-North,West-North,North-North,North-East,West-North,South-West-North,North East-East-North,North East-East-North,North-East,North East-East-North,North-North,East-North,North East-East-North,West-North,
1,00:00-00:15,125.660000,36.470000,42.050000,36.830000,7.100000,38.660000,6.050000,58.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,0.000000,0,0.870000,19.610000,22.230000,0.000000,63.020000,48.330000,298.680000,0.000000,62.830000,1273.95

2,00:15-00:30,125.660000,36.470000,42.050000,36.830000,7.100000,38.660000,6.050000,33.830000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,0.000000,0,0.870000,19.610000,22.230000,0.000000,63.020000,48.330000,276.450000,0.000000,62.830000,1227.55
