Time,Block,NR/2024/18806/A/11321,NR/2024/18759/A/11291,NR/2024/18874/A/11364,NR/2024/18807/A/11361,SR/2024/12665/C,NR/2024/18932/C,Total
,,IEXL,ITCLH,DIAPL,DIAPL,IEXL,NVVNL,Total

,,KARNATAKA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,NA,
,,NSLSUGARALAND,ITCWIND,GBHHPL,GBHHPL,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,
,,MES (Delhi),ITCLH,DIAPL,DIAPL,TANGEDCO,MES (Delhi),
,,South-East-North,South-West-North,North-North,North-North,North-East-South,West-North,
1,00:00-00:15,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

2,00:15-00:30,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

3,00:30-00:45,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

4,00:45-01:00,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

5,01:00-01:15,9.650000,0.480000,1.930000,0.000000,50.00,0,62.06

6,01:15-01:30,9.650000,0.480000,1.930000,0.000000,65.00,0,77.06

7,01:30-01:45,9.650000,0.480000,1.930000,0.000000,70.00,0,82.06

8,01:45-02:00,9.650000,0.480000,1.930000,0.000000,85.00,0,97.06

9,02:00-02:15,9.650000,0.480000,1.930000,0.000000,95.00,0,107.06

10,02:15-02:30,9.650000,0.480000,1.930000,0.000000,105.00,0,117.06

11,02:30-02:45,9.650000,0.480000,1.930000,0.000000,78.00,0,90.06

12,02:45-03:00,9.650000,0.480000,1.930000,0.000000,50.00,0,62.06

13,03:00-03:15,9.650000,0.430000,1.930000,0.000000,155.00,0,167.01

14,03:15-03:30,9.650000,0.430000,1.930000,0.000000,165.00,0,177.01

15,03:30-03:45,9.650000,0.430000,1.930000,0.000000,170.00,0,182.01

16,03:45-04:00,9.650000,0.430000,1.930000,0.000000,153.00,0,165.01

17,04:00-04:15,9.650000,0.430000,1.930000,0.000000,63.00,0,75.01

18,04:15-04:30,9.650000,0.430000,1.930000,0.000000,63.00,0,75.01

19,04:30-04:45,9.650000,0.430000,1.930000,0.000000,50.00,0,62.01

20,04:45-05:00,9.650000,0.430000,1.930000,0.000000,50.00,0,62.01

21,05:00-05:15,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

22,05:15-05:30,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

23,05:30-05:45,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

24,05:45-06:00,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

25,06:00-06:15,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

26,06:15-06:30,9.650000,0.480000,1.930000,0.000000,0.00,0,12.06

27,06:30-06:45,9.650000,0.480000,1.930000,0.000000,0.00,0.14,12.2

28,06:45-07:00,9.650000,0.480000,1.930000,0.000000,0.00,0.54,12.6

29,07:00-07:15,9.650000,0.530000,1.930000,0.000000,0.00,0.9,13.01

30,07:15-07:30,9.650000,0.530000,1.930000,0.000000,0.00,1.35,13.46

31,07:30-07:45,9.650000,0.530000,1.930000,0.000000,0.00,1.89,14

32,07:45:08:00,9.650000,0.530000,1.930000,0.000000,0.00,2.49,14.6

33,08:00-08:15,9.650000,0.960000,1.930000,0.000000,0.00,3.05,15.59

34,08:15-08:30,9.650000,0.960000,1.930000,0.000000,0.00,3.66,16.2

35,08:30-08:45,9.650000,0.960000,1.930000,0.000000,0.00,4.25,16.79

36,08:45:09:00,9.650000,0.960000,1.930000,0.000000,0.00,4.79,17.33

37,09:00:09:15,9.650000,0.920000,1.930000,0.000000,0.00,5.43,17.93

38,09:15-09:30,9.650000,0.920000,1.930000,0.000000,0.00,5.99,18.49

39,09:30-09:45,9.650000,0.920000,1.930000,0.000000,0.00,6.46,18.96

40,09:45-10:00,9.650000,0.920000,1.930000,0.000000,0.00,6.66,19.16

41,10:00-10:15,9.650000,0.920000,1.930000,0.000000,0.00,6.75,19.25

42,10:15-10:30,9.650000,0.920000,1.930000,0.000000,0.00,6.95,19.45

43,10:30-10:45,9.650000,0.920000,1.930000,0.000000,0.00,7.24,19.74

44,10:45-11:00,9.650000,0.920000,1.930000,0.000000,0.00,7.33,19.83

45,11:00-11:15,9.650000,0.920000,1.930000,0.000000,0.00,7.62,20.12

46,11:15-11:30,9.650000,0.920000,1.930000,0.000000,0.00,7.91,20.41

47,11:30-11:45,9.650000,0.920000,1.930000,0.000000,0.00,8.3,20.8

48,11:45-12:00,9.650000,0.920000,1.930000,0.000000,0.00,8.55,21.05

49,12:00-12:15,9.650000,0.920000,1.930000,0.000000,0.00,8.73,21.23

50,12:15-12:30,9.650000,0.920000,1.930000,0.000000,0.00,8.83,21.33

51,12:30-12:45,9.650000,0.920000,1.930000,0.000000,0.00,8.97,21.47

52,12:45-13:00,9.650000,0.920000,1.930000,0.000000,0.00,9.12,21.62

53,13:00-13:15,9.650000,0.820000,1.930000,0.000000,0.00,9.22,21.62

54,13:15-13:30,9.650000,0.820000,1.930000,0.000000,0.00,9.31,21.71
