Block,Time,LT-31,L_NR_2019_19,L_NR_2012_01,SH-07,L_NR_2012_07,SH-06,LT-35,L_NR_2012_02,LT-59,LT-36,LT-05,LT_MEJA_Delhi,L_NR_2019_11,L_NR_2020_02,L_NR_2012_04,L_NR_2020_07,L_NR_2021_17,L_NR_2022_09,L_NR_2019_05,L_NR_2022_08,L_NR_2020_06,L_NR_2021_13,L_NR_2021_16,L_NR_2018_61,L_NR_2019_07,L_NR_2019_06,L_NR_2021_14,L_NR_2020_05,L_NR_2021_15,L_NR_2022_10,L_NR_2021_12
1,00:00-00:15,0.000000,0.000000,53.170000,29.970000,49.950000,29.970000,0.000000,161.160000,0.000000,0.000000,107.930000,3.820000,0.000000,6.690000,271.910000,40.57,0,72.35,0,12.19,40.58,0,0,23.8,0,0,0,121.73,0,72.35,0

2,00:15-00:30,0.000000,0.000000,53.170000,29.970000,49.950000,29.970000,0.000000,161.160000,0.000000,0.000000,107.930000,3.670000,0.000000,6.690000,271.910000,40.57,0,72.36,0,12.2,40.56,0,0,23.35,0,0,0,121.69,0,72.36,0

3,00:30-00:45,0.000000,0.000000,53.170000,29.970000,49.950000,29.970000,0.000000,161.160000,7.000000,0.000000,107.930000,3.640000,7.690000,6.690000,271.910000,40.56,0,72.5,0,10.11,40.56,0,0,22.92,0,0,0,121.68,0,72.5,0

4,00:45-01:00,0.000000,0.000000,53.170000,29.970000,49.950000,29.970000,0.000000,161.160000,7.000000,0.000000,107.930000,3.640000,7.690000,6.690000,271.910000,40.54,0,72.39,0,10.54,40.54,0,0,22.7,0,0,0,121.62,0,72.39,0

5,01:00-01:15,0.000000,0.000000,53.170000,29.970000,49.950000,29.970000,0.000000,161.160000,7.310000,0.000000,107.930000,3.640000,7.390000,6.510000,271.910000,40.64,0,72.64,0,10.78,40.63,0,0,22.48,0,0,0,121.9,0,72.64,0

6,01:15-01:30,0.000000,0.000000,53.170000,29.970000,49.950000,29.970000,0.000000,161.160000,7.310000,0.000000,107.930000,3.640000,7.390000,6.510000,271.910000,40.59,0,72.64,0,10.84,40.59,0,0,22.09,0,0,0,121.77,0,72.64,0

7,01:30-01:45,0.000000,0.000000,53.170000,29.970000,49.950000,29.970000,0.000000,161.160000,7.310000,0.000000,107.930000,3.640000,7.390000,6.510000,271.910000,40.53,0,72.41,0,11.08,40.54,0,0,25.69,0,0,0,121.61,0,72.41,0

