Column1,Time,GNA/NR/2025/08/01/3698,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6209,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/2414,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/08/01/6187,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/5784,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/1044,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/07/01/2952,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8128,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/07/5932,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/08/21/8605,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19
1,00:00-00:15,14.62,130.61,14.13,48.26,0,100.56,48.26,0,29.03,26.25,96.53,107.31,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,0,12.69,8.43,-0,87.07,271.49,0,0,0,0,13,15.49,5.17,6.67,5.17,0,13,0,14.61,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,14.62,130.61,14.13,48.26,0,100.56,48.26,0,29.03,27.25,96.53,104.79,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,0,12.69,8.43,-0,87.07,271.49,0,0,0,0,13,15.49,5.17,6.67,5.17,0,13,0,15.01,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,14.62,130.61,14.13,48.26,0,100.56,48.26,0,29.03,27.25,96.53,104.79,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,0,12.69,8.43,-0,87.07,271.49,0,0,0,0,14,15.49,5.17,6.67,5.17,0,14,0,14.41,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,14.62,130.61,14.13,48.26,0,100.56,48.26,0,29.03,27.25,96.53,96.28,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,0,12.69,8.43,-0,87.07,271.49,0,0,0,0,14,15.49,5.17,6.67,5.17,0,14,0,14.41,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,14.62,130.61,14.13,48.26,0,100.56,48.26,0,29.03,27.25,96.53,87.76,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,0,12.69,8.43,-0,87.07,271.49,0,0,0,0,14,15.49,5.17,6.67,5.17,0,14,0,18.41,0,0,0,0,0,0,0,0,0,0

