Block,Time Block,JHAJJAR,FSTPP I & II,DULHASTI,RSTPSU7,SASAN,SINGRAULI_HYDRO,SIMHST1,SALAL,SEWA2,SIMHST2,SINGRAULI,RSTPSU1TO6,DHAULIGNGA,KGSU1AND2,KGSU3AND4,MAPS,KUDGI,NLCTS2EXP,NAPP,NNTPP,PARBATI2,NTPL,NLCEXP,NLCIIST1,NJPC,NLCIIST2,CHAMERA3,CHAMERA2,DADRT2,KOTESHWR,KKNPPU2,KOLDAM,KKNP,AURY_GF,DADRI_CRF,AURY_LF,DADRI_GF,DADRI_RF,AURY_RF,DADRI_LF,ANTA_GF,AURY_CRF,ANTA_RF,ANTA_LF,ANTA_CRF,KISHANGANGA,KHSTPP-II,KHSTPP-I,UNCHAHAR2,URI,TelanganaSTPP,UNCHAHAR4,VALLURNTECL,UNCHAHAR1,URI2,UNCHAHAR3,TEHRIPSP,BSIUL,BRBCL,CHAMERA1,RAMPUR,RAPPC,RAPPB,RAPPD,RIHAND3,RIHAND2,RIHAND1,TALA,TANAKPUR,TANDA2,TALST2,TEHRI,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,568.74,15.28,36.99,0,401.81,0,0,78.52,17.7,0,107.92,0,40.99,0,0,0,0,0,23.39,0,24.8,0,0,0,169.7,0,21.83,45.48,658.05,43.52,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,94.16,43.95,41.65,50.54,0,1.47,0,20.49,36.11,25.77,185.89,18.88,17.02,40.69,5.48,63.32,0,37.69,126.3,120.92,45.65,23.09,12.66,2.94,0,79.5,40.19,0,0,0,0,0

2,00:15-00:30,465.04,16.1,36.99,0,401.81,0,0,78.52,17.7,0,107.92,0,40.99,0,0,0,0,0,23.39,0,24.8,0,0,0,169.7,0,21.83,45.48,628.55,43.52,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,94.16,43.95,41.65,50.54,0,1.47,0,20.49,36.11,25.77,185.89,18.88,13.3,40.69,5.48,63.32,0,37.69,126.3,120.92,45.65,23.09,12.66,2.94,0,79.5,40.19,0,0,0,0,0

3,00:30-00:45,310.58,16.1,36.99,0,401.81,0,0,78.52,17.7,0,107.92,0,40.99,0,0,0,0,0,23.39,0,24.8,0,0,0,169.7,0,21.83,45.48,568.7,43.52,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,94.16,43.95,41.65,17.06,0,1.47,0,20.11,36.11,25.77,185.89,18.88,14.56,40.69,5.48,63.32,0,37.69,126.3,120.92,45.65,23.09,12.66,2.94,0,79.5,40.19,0,0,0,0,0

4,00:45-01:00,310.58,16.1,36.99,0,401.81,0,0,78.52,17.7,0,107.92,0,40.99,0,0,0,0,0,23.39,0,24.8,0,0,0,169.7,0,21.83,45.48,480.72,43.52,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,94.16,43.95,41.65,17.06,0,1.47,0,20.49,36.11,25.77,185.89,18.88,13.95,40.69,5.48,63.32,0,37.69,126.3,120.92,45.65,23.09,12.66,2.94,0,79.5,40.19,0,0,0,0,0

5,01:00-01:15,359.69,16.1,36.99,0,401.81,0,0,78.52,17.7,0,107.92,0,40.99,0,0,0,0,0,23.39,0,24.8,0,0,0,169.7,0,21.83,45.48,381.29,43.52,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,94.16,43.95,41.65,29.84,0,1.47,0,20.49,32.36,25.77,185.89,18.88,11.8,40.69,5.48,63.32,0,37.69,126.3,120.92,45.65,23.44,12.66,2.94,0,79.5,48.8,0,0,0,0,0

