Block,Time,URI,TEHRI,AURY_RF,DADRT2,BSIUL,ANTA_CRF,PARBATI3,DADRI_GF,UNCHAHAR1,AURY_LF,DHAULIGNGA,NJPC,SINGRAULI,RIHAND2,CHAMERA1,ANTA_GF,JHAJJAR,SEWA2,ANTA_RF,RIHAND1,UNCHAHAR2,CHAMERA3,URI2,SINGRAULI_HYDRO,KOTESHWR,AURY_CRF,TANAKPUR,TANDA2,KISHANGANGA,KOLDAM,DULHASTI,DADRI_RF,RIHAND3,AURY_GF,RAMPUR,RAPPC,UNCHAHAR4,NAPP,RAPPB,DADRI_CRF,DADRI_LF,SALAL,ANTA_LF,UNCHAHAR3,KHSTPP-II,BRBCL,SASAN,FSTPP I & II,KHSTPP-I,CHAMERA2,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,37.260552,24.126719,0.000000,636.667696,12.576015,0.000000,0.000000,0.000000,21.822109,0.000000,0.000000,0.000000,144.634344,57.267908,0.000000,0.000000,511.164341,9.174815,0.000000,93.591046,43.303458,11.184643,36.537827,0.730951,10.004919,0.000000,0.247054,5.166805,5.297584,0.000000,19.020948,0.000000,125.918390,0.000000,0.000000,67.991888,2.979687,50.271504,0.000000,0.000000,0.000000,2.241033,0.000000,26.652269,142.458160,19.211679,403.819911,19.926874,44.742633,15.589461,0.000000,0,0,0,0,0

2,00:15-00:30,37.260552,24.126719,0.000000,636.667696,12.576015,0.000000,0.000000,0.000000,21.822109,0.000000,0.000000,0.000000,144.634344,57.267908,0.000000,0.000000,511.164341,9.174815,0.000000,93.591046,43.303458,11.184643,36.537827,0.730951,10.004919,0.000000,0.247054,5.166805,5.297584,0.000000,19.020948,0.000000,125.918390,0.000000,0.000000,67.991888,2.979687,50.271504,0.000000,0.000000,0.000000,2.241033,0.000000,26.652269,142.458160,19.286003,403.819911,19.926874,44.742633,15.589461,0.000000,0,0,0,0,0

3,00:30-00:45,31.937616,24.126719,0.000000,636.667696,12.576015,0.000000,0.000000,0.000000,21.822109,0.000000,0.000000,0.000000,144.634344,57.267908,0.000000,0.000000,511.164341,9.174815,0.000000,93.591046,43.303458,11.184643,36.537827,0.730951,10.004919,0.000000,0.247054,5.166805,5.297584,0.000000,19.020948,0.000000,125.918390,0.000000,0.000000,67.991888,2.979687,50.271504,0.000000,0.000000,0.000000,2.241033,0.000000,26.652269,142.458160,18.510186,403.819911,19.926874,44.742633,15.589461,0.000000,0,0,0,0,0

4,00:45-01:00,31.937616,24.126719,0.000000,567.260932,12.576015,0.000000,0.000000,0.000000,21.822109,0.000000,0.000000,0.000000,144.634344,57.267908,0.000000,0.000000,480.699693,9.174815,0.000000,93.591046,43.303458,11.184643,36.537827,0.730951,10.004919,0.000000,0.247054,5.166805,5.297584,0.000000,19.020948,0.000000,125.918390,0.000000,0.000000,67.991888,2.979687,50.271504,0.000000,0.000000,0.000000,12.325683,0.000000,26.652269,142.458160,17.516640,403.819911,19.926874,44.742633,15.589461,0.000000,0,0,0,0,0

5,01:00-01:15,31.937616,24.126719,0.000000,557.551124,12.576015,0.000000,0.000000,0.000000,16.462240,0.000000,0.000000,0.000000,144.634344,57.267908,0.000000,0.000000,480.699693,9.174815,0.000000,93.591046,37.708084,11.184643,36.537827,0.730951,10.004919,0.000000,0.000000,5.166805,5.297584,0.000000,19.020948,0.000000,125.918390,0.000000,0.000000,67.991888,2.979687,50.271504,0.000000,0.000000,0.000000,24.651365,0.000000,23.185918,142.458160,16.596209,403.819911,17.148340,44.742633,15.589461,0.000000,0,0,0,0,0

