Time,Block,NR/2024/19791/A/22753,NR/2024/20838/C,NR/2024/20524/A/22696,NR/2024/20516/A/22463,NR/2024/19757/A/22764,NR/2024/19640/A/22801,NR/2024/19760/A/22412,NR/2024/19988/A/22413,NR/2024/19919/A/22747,NR/2024/20557/A/22760,NR/2024/19642/A/22798,NR/2024/19683/A/22343,NR/2024/20212/A/22459,NR/2024/20553/A/22306,NR/2024/20597/A/22690,NR/2024/20515/A/22464,NR/2024/20142/A/22461,NR/2024/20837/C,NR/2024/20211/A/22458,NR/2024/20109/A/22859,NR/2024/20090/A/22310,NR/2024/20537/A/22858,NR/2024/19637/A/22437,NR/2024/20144/A/22460,NR/2024/20560/A/22758,NR/2024/20540/A/22192,NR/2024/20041/A/22687,NR/2024/20786/C,NR/2024/19779/A/22397,NR/2024/19918/A/22749,NR/2024/20598/A/22417,NR/2024/20599/A/22416,NR/2024/19355/A/22860,NR/2024/19432/A/22766,NR/2024/20513/A/22465,NR/2024/20050/A/22691,NR/2024/20141/A/22462,NR/2024/20572/A/22757,NR/2024/20554/A/22334,NR/2024/20048/A/22692,NR/2024/20037/A/22414,NR/2024/19978/A/22751,NR/2024/20836/C,NR/2024/19588/A/22475,NR/2024/20552/A/22307,NR/2024/20851/C,NR/2024/19475/A/22665,NR/2024/19966/A/22433,NR/2024/19699/A/22767,NR/2024/20558/A/22759,NR/2024/20130/A/22646,NR/2024/20854/C,Total
,,APPCPL,NVVNL,HPXL,BMDRC,NVVNL,MANIKARAN,TPTCL,TPTCL,APPCPL,NVVNL,MANIKARAN,IEXL,UHL,IEXL,PTC,MHIL,BAL224,NVVNL,JHPL-DL,TPDDL,IEXL,TPDDL,INSTINCT,BAL234,NVVNL,DIAPL,PTC,TPTCL,ITCLH,APPCPL,TPTCL,TPTCL,TPDDL,NVVNL,MSSH,PTC,BAL184,NVVNL,PXIL,PTC,TPTCL,APPCPL,NVVNL,GMRETL,IEXL,HPXL,AEL,BRPL,NVVNL,NVVNL,DTCP,IEXL,Total

,,TAMIL NADU,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,MAHARASHTRA,NA,HIMACHAL PRADESH,KERALA,NA,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,ANDHRA PRADESH,NAGALAND,UTTAR PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,UTTARAKHAND,NA,RAJASTHAN,KARNATAKA,NA,NA,MAHARASHTRA,MP,NA,HIMACHAL PRADESH,NA,
,,TANGEDCO,SORANG_HEP,GBHHPL,SHPPBPL,TANGEDCO,AEML,SIMHAPURI,HP-GOVT,KSEB,SKS Raigarh,GOA_Beneficiary,NHCPL_HP,SHPPBPL,JSWEL MSEB,SEILP2,SHPPBPL,SHPPBPL,KAMENG,SHPPBPL,JHAJJAR,A_A_Energy_MH_Bio,JHAJJAR,JPL-2,SHPPBPL,RKM_POWER,GBHHPL,JPL_DHULE,HP-GOVT,ITCWIND,Nagaland_Ben,PPGCL,ACBIL,JPL-2,SEIL,SHPPBPL,HP,SHPPBPL,JPL-2,IND_BHARAT,HP,JPL_DHULE,UTTARAKHAND,SOLAPUR_SOLAR,RUVNL,JSWEL,BALCO,APL_Raipur TPP,IEPLBELA2022,JP BINA,RKM_POWER,SHPPBPL,KWHEP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,TPDDL,BRPL,BMDRC,BRPL,BYPL,BRPL,BRPL,BYPL,NDMC,BRPL,MES (Delhi),UHL,BRPL,BRPL,MHIL,BAL224,TPDDL,JHPL-DL,TPDDL,MES (Delhi),TPDDL,BRPL,BAL234,NDMC,DIAPL,BRPL,BRPL,ITCLH,BYPL,BRPL,BRPL,TPDDL,TPDDL,MSSH,BRPL,BAL184,NDMC,BRPL,BYPL,TPDDL,BYPL,MES (Delhi),BYPL,BRPL,BRPL,BRPL,BRPL,TPDDL,NDMC,DTCP,TPDDL,
,,South-West-North,North-North,North-North,North-North,South-West-North,West-North,South-West-North,North-North,South-West-North,West-North,West-North,North-North,North-North,West-North,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,South-West-North,North East-East-North,North-North,West-North,West-North,South-West-North,North-North,North-North,North-North,West-North,East-West-North,North-North,West-North,North-North,West-North,North-North,South-East-West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,58.640000,24.150000,19.320000,0.980000,44.040000,82.170000,0.000000,96.600000,279.710000,9.930000,10.620000,1.930000,0.610000,43.700000,0.000000,0.880000,0.520000,168.760000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,29.800000,7.730000,0.000000,0.000000,0.630000,13.520000,0.000000,0.000000,87.410000,21.850000,0.680000,144.900000,0.350000,29.800000,0.000000,48.300000,65.550000,84.220000,0,66.840000,26.230000,0.000000,174.820000,0.000000,43.700000,29.800000,0.480000,130.410000,2095.48

2,00:15-00:30,59.610000,24.150000,19.320000,0.980000,44.760000,83.530000,0.000000,96.600000,284.360000,10.090000,10.800000,1.930000,0.610000,44.440000,0.000000,0.880000,0.520000,127.670000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,30.290000,7.730000,0.000000,0.000000,0.630000,13.520000,0.000000,0.000000,88.860000,22.220000,0.680000,144.900000,0.350000,30.290000,0.000000,48.300000,66.640000,84.220000,0,66.840000,26.660000,0.000000,177.720000,0.000000,44.440000,30.290000,0.480000,130.410000,2071.62
