Time,Block,NR/2023/10959/A,NR/2023/12872/F,NR/2023/11266/A,NR/2023/12923/F,NR/2023/12814/F,NR/2023/11712/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/11496/A,NR/2023/10956/A,NR/2023/13292/C,NR/2023/10460/A,NR/2023/12916/F,NR/2023/10947/A,NR/2023/10786/A,NR/2023/10436/A,NR/2023/10561/A,NR/2023/13145/F,NR/2023/12920/F,NR/2023/11447/A,NR/2023/13300/C,NR/2023/12706/A,NR/2023/11953/A,NR/2023/10720/A,NR/2023/13294/C,NR/2023/12956/F,NR/2023/12921/F,NR/2023/10432/A,NR/2023/11709/A,NR/2023/10435/A,NR/2023/13299/C,NR/2023/13278/D,NR/2023/12915/F,NR/2023/13151/F,NR/2023/12924/F,NR/2023/10651/A,NR/2023/12922/F,NR/2023/12917/F,NR/2023/12661/A,NR/2023/13310/C,NR/2023/12919/F,NR/2023/10488/A,NR/2023/11507/A,SR/2023/6019/C,NR/2023/13277/D,NR/2023/13282/D,NR/2023/13280/D,ER/2023/8174/C,NR/2023/13312/C,NR/2023/13311/C,Total
,,NVVNL,ITCLH,TPTCL,SHPPBPL,MANIKARAN,MANIKARAN,MANIKARAN,APPCPL,APPCPL,NVVNL,GBHHPL,GMRETL,SHPPBPL,APPCPL,STATKRAFT,APPCPL,PTC,SJVNL,SHPPBPL,TPTCL,HPXL,HPXL,KEIPL,KEIPL,TPDDL,IEXL,SHPPBPL,TPTCL,MANIKARAN,NVVNL,PXIL,NVVNL,SHPPBPL,TPTCL,SHPPBPL,KEIPL,SHPPBPL,SHPPBPL,NVVNL,HPXL,SHPPBPL,TPTCL,TPTCL,HPXL,NVVNL,TS1PL_BKN,TS1PL_BKN,HPXL,TS1PL_BKN,TS1PL_BKN,Total

,,NA,ANDHRA PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,MEGHALAYA,NA,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,MAHARASHTRA,MEGHALAYA,TAMIL NADU,HIMACHAL PRADESH,JAMMU AND KASHMIR,HIMACHAL PRADESH,ODISHA,TAMIL NADU,NA,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,DELHI,NA,NA,NA,DELHI,NA,NA,
,,KAMENG,ITCWIND,KWHEP,SHPPBPL,HP,TANGEDCO,HP,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,GBHHPL,Meghalaya_Ben,SHPPBPL,HP,TANGEDCO,Meghalaya_Ben,JPNIGRIE_JNSTPP,IPCL_WB,SHPPBPL,HP-GOVT,BYPL,B_S_ISPAT_MH,Meghalaya_Ben,TANGEDCO,CHANJUII,SAPU1234,SHPPBPL,NBVLIPP,TANGEDCO,SEIL,BYPL,KAMENG,SHPPBPL,HP-GOVT,SHPPBPL,Meghalaya_Ben,SHPPBPL,SHPPBPL,SKS Raigarh,SINGOLI,SHPPBPL,APNRL,JPL,BYPL,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,BYPL,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,
,,BRPL,ITCLH,BRPL,MHIL,BRPL,BRPL,BRPL,BRPL,BYPL,BRPL,DIAPL,BYPL,BAL224,BYPL,BYPL,BYPL,TPDDL,NDMC,BMDRC,BRPL,NPCL(UP),NDMC,BYPL,BYPL,TPDDL,MES (Delhi),MAX-HPTL,TPDDL,BRPL,TPDDL,ASIL_UP,TPDDL,BAL184,BRPL,UHL,BYPL,JHPL-DL,BAL234,NDMC,BRPL,AISHER,TPDDL,BRPL,TANGEDCO,MES (Delhi),BYPL,BRPL,VLSEZ,BYPL,BRPL,
,,North East-East-North,South-West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,North East-East-North,West-North,North-North,North East-East-North,North-North,North-North,South-West-North,North East-East-North,West-North,East-North,North-North,North-North,North-North,West-North,North East-East-North,South-West-North,North-North,North-North,North-North,East-North,South-West-North,South-West-North,North-North,North East-East-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,East-North,West-North,North-East-South,West-North,North-North,North-North,North-East,North-North,North-North,
1,00:00-00:15,21.270000,0.480000,17.200000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,33.650000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1306.03

2,00:15-00:30,21.270000,0.480000,17.200000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,33.650000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1306.03

3,00:30-00:45,21.270000,0.480000,17.200000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,33.650000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1306.03

4,00:45-01:00,21.270000,0.480000,17.200000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,33.650000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1306.03

5,01:00-01:15,21.270000,0.530000,27.520000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,60.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,23.330000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1366.08

6,01:15-01:30,21.270000,0.530000,27.520000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,60.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,23.330000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1366.08

7,01:30-01:45,21.270000,0.530000,27.520000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,60.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,23.330000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1366.08

8,01:45-02:00,21.270000,0.530000,27.520000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,60.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,23.330000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1366.08

9,02:00-02:15,21.270000,0.480000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1306.03

10,02:15-02:30,21.270000,0.480000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,0.000000,0,0,1306.03

