Block,Time Block,DADRT2,CHAMERA3,KHSTPP-I,KHSTPP-II,NLCIIST1,NLCEXP,DADRI_GF,AURY_GF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_CRF,JHAJJAR,KGSU3AND4,KGSU1AND2,CHAMERA1,BSIUL,CHAMERA2,BRBCL,NAPP,KUDGI,NJPC,MAPS,KOLDAM,KKNP,KOTESHWR,KKNPPU2,KISHANGANGA,ANTA_LF,ANTA_GF,DHAULIGNGA,FSTPP I & II,DULHASTI,URI2,URI,ANTA_CRF,VALLURNTECL,TALST2,TANAKPUR,TEHRI,TALA,SINGRAULI_HYDRO,SASAN,SIMHST1,SIMHST2,TANDA2,SINGRAULI,SEWA2,TEHRIPSP,UNCHAHAR3,UNCHAHAR4,TelanganaSTPP,UNCHAHAR2,UNCHAHAR1,SALAL,RSTPSU1TO6,RIHAND3,RSTPSU7,NLCIIST2,NTPL,PARBATI3,RIHAND2,PARBATI2,RIHAND1,NLCTS2EXP,RAPPB,NNTPP,RAPPD,RAMPUR,RAPPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,521.6,0,32.11,95.12,0,0,0,0,0,0,0,0,0,0,0,404.68,0,0,27.04,0,0,18.04,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,20.01,36.87,36.3,4.24,0,0,0,12.61,79.24,22.9,0,378.83,0,0,1.9,107.56,14.88,200.08,25.69,1.86,0,41.51,20.83,0,0,125.88,0,0,0,37.19,120.52,13.55,45.25,0,0,0,37.46,5.46,63.27,0,0,0,0,0

2,00:15-00:30,433.09,0,32.11,95.12,0,0,0,0,0,0,0,0,0,0,0,382.55,0,0,27.04,0,0,11.74,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,20.01,36.87,36.3,4.24,0,0,0,12.61,79.24,22.9,0,378.83,0,0,1.37,107.56,14.88,200.08,25.69,0.84,0,41.51,20.83,0,0,125.88,0,0,0,37.19,120.52,13.55,45.25,0,0,0,37.46,5.46,63.27,0,0,0,0,0

3,00:30-00:45,383.06,0,32.11,95.12,0,0,0,0,0,0,0,0,0,0,0,359.46,0,0,27.04,0,0,12.23,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,20.01,36.87,36.3,6.38,0,0,0,12.61,79.24,22.9,0,378.83,0,0,1.37,107.56,0,200.08,25.69,0.69,0,41.51,20.83,0,0,125.88,0,0,0,37.19,120.52,13.55,45.25,0,0,0,37.46,5.46,63.27,0,0,0,0,0

4,00:45-01:00,334.96,0,32.11,95.12,0,0,0,0,0,0,0,0,0,0,0,324.82,0,0,27.04,0,0,11.25,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,20.01,36.87,36.3,6.38,0,0,0,12.61,79.24,22.9,0,378.83,0,0,2.51,107.56,0,200.08,25.69,2.15,0,41.51,20.83,0,0,125.88,0,0,0,37.19,120.52,13.55,45.25,0,0,0,37.46,5.46,63.27,0,0,0,0,0

5,01:00-01:15,286.85,0,32.11,95.12,0,0,0,0,0,0,0,0,0,0,0,282.49,0,0,27.04,0,0,11.74,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,18.16,0,36.3,25.49,0,0,0,12.61,79.24,22.9,0,378.83,0,0,2.51,107.56,0,200.08,22.2,1.68,0,36.08,17.79,0,0,125.88,0,0,0,37.19,120.52,13.55,45.25,0,0,0,37.46,5.46,63.27,0,0,0,0,0

6,01:15-01:30,238.75,0,32.11,95.12,0,0,0,0,0,0,0,0,0,0,0,248.82,0,0,27.04,0,0,11.09,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,16.86,0,36.3,25.49,0,0,0,12.61,79.24,22.9,0,378.83,0,0,2.51,107.56,0,200.08,22.2,1.46,0,36.08,17.79,0,0,125.88,0,0,0,37.19,120.52,13.55,45.25,0,0,0,37.46,5.46,63.27,0,0,0,0,0

7,01:30-01:45,190.64,0,32.11,95.12,0,0,0,0,0,0,0,0,0,0,0,242.08,0,0,27.04,0,0,11.76,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,16.86,0,36.3,3.18,0,0,0,12.61,79.24,22.62,0,378.83,0,0,2.51,107.56,0,200.08,18.77,1.46,0,30.59,14.81,0,0,125.88,0,0,0,36.48,120.52,13.55,45.25,0,0,0,37.46,5.46,63.27,0,0,0,0,0

8,01:45-02:00,142.54,0,32.11,95.12,0,0,0,0,0,0,0,0,0,0,0,242.08,0,0,27.04,0,0,13.8,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,14.09,0,36.3,3.18,0,0,0,12.61,79.24,22.62,0,378.83,0,0,2.51,107.56,0,200.08,18.77,1.46,0,30.59,14.81,0,0,125.88,0,0,0,36.48,120.52,13.55,45.25,0,0,0,37.46,5.46,63.27,0,0,0,0,0

9,02:00-02:15,101.16,0,32.7,95.12,0,0,0,0,0,0,0,0,0,0,0,242.08,0,0,27.04,0,0,14.18,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,14.09,0,36.3,3.18,0,0,0,12.61,79.24,17.64,0,378.83,0,0,2.51,107.56,17.64,200.08,18.77,1.46,0,30.59,14.48,0,0,125.88,0,0,0,36.48,120.52,13.55,44.77,0,0,0,37.46,5.46,63.27,0,0,0,0,0

10,02:15-02:30,101.16,0,32.7,95.12,0,0,0,0,0,0,0,0,0,0,0,242.08,0,0,27.04,0,0,13.46,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,14.09,0,36.3,3.18,0,0,0,12.61,79.24,17.64,0,378.83,0,0,2.51,107.56,17.64,200.08,18.77,1.46,0,30.59,14.48,0,0,125.88,0,0,0,36.48,120.52,13.55,44.77,0,0,0,37.46,5.46,63.27,0,0,0,0,0

11,02:30-02:45,101.16,0,32.56,95.12,0,0,0,0,0,0,0,0,0,0,0,242.08,0,0,27.04,0,0,15.08,23.44,0,169.14,0,8.3,0,43.37,0,4.47,0,0,40.85,14.09,0,36.3,3.18,0,0,0,12.61,79.24,18.48,0,378.83,0,0,2.51,107.56,17.64,200.08,18.77,1.46,0,30.59,14.48,0,0,125.88,0,0,0,36.48,120.52,13.55,44.77,0,0,0,37.46,5.46,63.27,0,0,0,0,0

