Column1,Time,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/02/01/4863,NR/01102023/06022042/L_NR_2012_02,GNA/SR/2025/02/01/7432,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/2594,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/5886,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/9969,GNA/WR/2024/11/01/4200,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,35.51,0,0,0,0,10.67,11.83,26,0,0,11.83,0,0,0,0,0,0,26,13.21,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,23.08,0,70.16,0.7,25.72,100.2,26.99,0,0

2,00:15-00:30,36,0,0,0,0,11,12,25,0,0,12,0,0,0,0,0,0,25,11.81,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,23.08,0,70.16,0.7,25.72,100.2,26.99,0,0

3,00:30-00:45,36.49,0,0,0,0,11.33,12.17,20.34,0,0,12.17,0,0,0,0,0,0,20.33,10.4,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,23.08,0,70.16,0.7,25.72,100.2,26.99,0,0

4,00:45-01:00,37.01,0,0,0,0,11.67,12.33,19.34,0,0,12.33,0,0,0,0,0,0,19.33,9.2,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,23.08,0,70.16,0.7,25.72,100.2,26.99,0,0

5,01:00-01:15,37.5,0,0,0,0,11.33,12.5,19,0,0,12.5,0,0,0,0,0,0,19,8,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,23.08,0,70.16,0.7,0,100.2,26.99,0,0

6,01:15-01:30,37.99,0,0,0,0,11.33,12.67,18.66,0,0,12.67,0,0,0,0,0,0,18.67,7,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,23.08,0,70.16,0.7,0,100.2,26.99,0,0

