Column1,Block,NR/2024/23769/A/43297,NR/2024/23809/A/43296,NR/30092023/31122025/SH-07,NR/2024/23979/C,NR/2024/23918/A/43294,GNA/NR/2024/11/01/5428,WR/2024/24788/A/43444,NR/2024/23963/A/43429,NR/2024/23980/C,NR/2024/23420/A/43295,GNA/NR/2024/11/01/9061,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/WR/2024/10/15/7089,Total
,,IEXL,IEXL,BAWANA_GAS,SJVNL,IEXL,NDMC,APPCPL,DIAPL,SJVNL,ITCLH,NDMC,PUNJAB,NDMC,NDMC,PTC,DELHI,NDMC,MANIKARAN,PTC,NDMC,APPCPL,
,,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,
,,NSLSUGAR,NSLSTUNGBHDRA,BAWANA_GAS,TPSL_BKN2,TESPL_BKN2,RKM_POWER,BRPL,GBHHPL,RSRPL_BKN,ITCWIND,JPL2,BAWANA_GAS,JITPL,TRN_ENERGY,BYPL,CHANJUII,SKS_Raigarh,BRPL,BRPL,RKM_POWER,BYPL,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,MSEB_State,
,,MES_Delhi,MES_Delhi,HARYANA,NDMC,MES_Delhi,NDMC,GOA_Beneficiary,DIAPL,NDMC,ITCLH,NDMC,PUNJAB,NDMC,NDMC,HP,TPDDL,NDMC,AEML,HP,NDMC,AEML,
,,South-West-North,South-West-North,North-North,North-North,North-North,West-North,North-West,North-North,North-North,South-West-North,West-North,North-North,East-North,West-North,North-North,North-North,West-North,North-West,North-North,West-North,North-West,
1,00:00-00:15,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

2,00:15-00:30,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

3,00:30-00:45,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

4,00:45-01:00,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

5,01:00-01:15,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

6,01:15-01:30,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

7,01:30-01:45,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

8,01:45-02:00,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

9,02:00-02:15,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

10,02:15-02:30,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

11,02:30-02:45,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

