Time,Block,NR/2023/16354/C,NR/2023/16314/D,NR/2023/15402/F,NR/2023/13635/A,NR/2023/14745/A,NR/2023/12168/A,NR/2023/12052/A,NR/2023/12422/A,NR/2023/14898/A,NR/2023/16357/C,NR/2023/13862/A,NR/2023/12431/A,NR/2023/12148/A,ER/2023/10185/C,NR/2023/15937/F,NR/2023/14746/A,NR/2023/12053/A,NR/2023/15309/F,NR/2023/14737/A,NR/2023/12592/A,NR/2023/16339/C,NR/2023/16315/D,NR/2023/16350/C,NR/2023/16336/C,NR/2023/12591/A,NR/2023/12167/A,NR/2023/15057/F,NR/2023/12347/A,NR/2023/14895/A,Total
,,IEXL,KEIPL,SJVNL,NVVNL,APPCPL,APPCPL,KEIPL,APPCPL,MANIKARAN,PXIL,MANIKARAN,TPTCL,GMRETL,HPXL,NVVNL,APPCPL,KEIPL,IEXL,NVVNL,NVVNL,TPDDL,NVVNL,HPXL,GBHHPL,NVVNL,APPCPL,ITCLH,STATKRAFT,MANIKARAN,Total

,,NA,UTTAR PRADESH,UTTAR PRADESH,NA,GOA,UTTARAKHAND,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,TAMIL NADU,NA,MEGHALAYA,DELHI,NA,HIMACHAL PRADESH,MEGHALAYA,JAMMU AND KASHMIR,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,MEGHALAYA,ANDHRA PRADESH,TAMIL NADU,HIMACHAL PRADESH,
,,SCLTPS,LAPL-UP,BCMLB001,KAMENG,GOA_Beneficiary,UTTARAKHAND,Meghalaya_Ben,HP,HP,BYPL,TANGEDCO,JPL-2,Meghalaya_Ben,BYPL,KAMENG,HP,Meghalaya_Ben,SAPU1234,SKS Raigarh,JPNIGRIE_JNSTPP,CHANJUII,SOLAPUR_SOLAR,Teesta_III,GBHHPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,ITCWIND,TANGEDCO,HP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,NDMC,BRPL,BRPL,BYPL,BYPL,BYPL,BRPL,NPCL(UP),BRPL,BRPL,BYPL,CESC,TPDDL,BRPL,BYPL,MES (Delhi),NDMC,BRPL,TPDDL,MES (Delhi),BRPL,DIAPL,BRPL,BYPL,ITCLH,BYPL,BRPL,
,,North-North,North-North,North-North,North East-East-North,West-North,North-North,North East-East-North,North-North,North-North,North-North,South-East-North,West-North,North East-East-North,North-East,North East-East-North,North-North,North East-East-North,North-North,West-North,West-North,North-North,West-North,East-North,North-North,West-North,North East-East-North,South-West-North,South-West-North,North-North,
1,00:00-00:15,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.600000,0,48.360000,8.070000,50.060000,24.180000,0.870000,98.660000,95.760000,1225.16

2,00:15-00:30,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.600000,0,48.360000,8.070000,50.060000,24.180000,0.870000,98.660000,95.760000,1225.16

3,00:30-00:45,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.600000,0,48.360000,8.070000,50.060000,24.180000,0.870000,98.660000,95.760000,1225.16

4,00:45-01:00,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.600000,0,48.360000,8.070000,50.060000,24.180000,0.870000,98.660000,95.760000,1225.16

5,01:00-01:15,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.500000,0,48.360000,8.070000,50.060000,24.180000,0.680000,98.660000,95.760000,1224.87

6,01:15-01:30,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.500000,0,48.360000,8.070000,50.060000,24.180000,0.680000,98.660000,95.760000,1224.87

7,01:30-01:45,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.500000,0,48.360000,8.070000,50.060000,24.180000,0.680000,98.660000,95.760000,1224.87

8,01:45-02:00,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.500000,0,48.360000,8.070000,50.060000,24.180000,0.680000,98.660000,95.760000,1224.87

9,02:00-02:15,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.410000,0,48.360000,8.070000,50.060000,24.180000,0.580000,98.660000,95.760000,1224.68

10,02:15-02:30,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.410000,0,48.360000,8.070000,50.060000,24.180000,0.580000,98.660000,95.760000,1224.68

11,02:30-02:45,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.410000,0,48.360000,8.070000,50.060000,24.180000,0.580000,98.660000,95.760000,1224.68

12,02:45-03:00,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,23.150000,75.370000,22.250000,0.000000,193.460000,88.700000,36.500000,4.840000,62.870000,100.120000,17.410000,0,48.360000,8.070000,50.060000,24.180000,0.580000,98.660000,95.760000,1224.68

13,03:00-03:15,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,76.870000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.310000,0,48.360000,8.070000,50.060000,24.180000,0.530000,98.660000,95.760000,1166.38

14,03:15-03:30,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,76.870000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.310000,0,48.360000,8.070000,50.060000,24.180000,0.530000,98.660000,95.760000,1166.38

15,03:30-03:45,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,79.600000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.310000,0,48.360000,8.070000,50.060000,24.180000,0.530000,98.660000,95.760000,1169.11

16,03:45-04:00,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,84.090000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.310000,0,48.360000,8.070000,50.060000,24.180000,0.530000,98.660000,95.760000,1173.6

17,04:00-04:15,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,102.340000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.220000,0,48.360000,8.070000,50.060000,24.180000,0.530000,98.660000,95.760000,1191.76

18,04:15-04:30,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,109.150000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.220000,0,48.360000,8.070000,50.060000,24.180000,0.530000,98.660000,95.760000,1198.57

19,04:30-04:45,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,115.960000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.220000,0,48.360000,8.070000,50.060000,24.180000,0.530000,98.660000,95.760000,1205.38

20,04:45-05:00,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,124.470000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.220000,0,48.360000,8.070000,50.060000,24.180000,0.530000,98.660000,95.760000,1213.89

21,05:00-05:15,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.130000,0,48.360000,8.070000,50.060000,24.180000,0.530000,0.000000,95.760000,1115.78

22,05:15-05:30,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.130000,0,48.360000,8.070000,50.060000,24.180000,0.530000,0.000000,95.760000,1115.78

23,05:30-05:45,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.130000,0,48.360000,8.070000,50.060000,24.180000,0.530000,0.000000,95.760000,1115.78

24,05:45-06:00,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,38.010000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,88.700000,0.000000,4.840000,62.870000,100.120000,17.130000,0,48.360000,8.070000,50.060000,24.180000,0.530000,0.000000,95.760000,1115.78

25,06:00-06:15,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,16.950000,0,48.360000,8.070000,50.060000,24.180000,0.680000,0.000000,95.760000,989.04

26,06:15-06:30,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,16.950000,0,48.360000,8.070000,50.060000,24.180000,0.680000,0.000000,95.760000,989.04

27,06:30-06:45,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,16.950000,0.1,48.360000,8.070000,50.060000,24.180000,0.680000,0.000000,95.760000,989.14

28,06:45-07:00,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,16.950000,0.48,48.360000,8.070000,50.060000,24.180000,0.680000,0.000000,95.760000,989.52

29,07:00-07:15,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,0.87,48.360000,8.070000,50.060000,24.180000,0.680000,0.000000,95.760000,989.81

30,07:15-07:30,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,1.45,48.360000,8.070000,50.060000,24.180000,0.680000,0.000000,95.760000,990.39

31,07:30-07:45,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,2.03,48.360000,8.070000,50.060000,24.180000,0.680000,0.000000,95.760000,990.97

32,07:45:08:00,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,2.42,48.360000,8.070000,50.060000,24.180000,0.680000,0.000000,95.760000,991.36

33,08:00-08:15,0.000000,0.000000,0.000000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.670000,2.42,48.360000,8.070000,50.060000,24.180000,0.970000,0.000000,95.760000,935.72

34,08:15-08:30,0.000000,0.000000,0.000000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.670000,3.1,48.360000,8.070000,50.060000,24.180000,0.970000,0.000000,95.760000,936.4

35,08:30-08:45,0.000000,0.000000,0.000000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.670000,3.87,48.360000,8.070000,50.060000,24.180000,0.970000,0.000000,95.760000,937.17

36,08:45:09:00,0.000000,0.000000,0.000000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.670000,4.06,48.360000,8.070000,50.060000,24.180000,0.970000,0.000000,95.760000,937.36

37,09:00:09:15,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.670000,4.55,48.360000,11.600000,50.060000,24.180000,0.970000,0.000000,95.760000,986.84

38,09:15-09:30,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.670000,5.03,48.360000,11.600000,50.060000,24.180000,0.970000,0.000000,95.760000,987.32

