Block,Time,KKNP,KOLDAM,KUDGI,NLCTS2EXP,PARBATI3,SALAL,SIMHST2,DADRI_CRF,CHAMERA1,DULHASTI,KHSTPP-I,NNTPP,SIMHST1,SINGRAULI_HYDRO,URI2,VALLURNTECL,ANTA_GF,BSIUL,KHSTPP-II,KKNPPU2,NJPC,NLCEXP,PARBATI2,RAPPC,RIHAND2,TEHRI,TelanganaSTPP,UNCHAHAR2,ANTA_RF,AURY_CRF,DADRI_GF,DADRI_LF,DADRT2,DHAULIGNGA,KISHANGANGA,NLCIIST1,RAPPB,RSTPSU1TO6,TEHRIPSP,UNCHAHAR1,UNCHAHAR4,BRBCL,KOTESHWR,NLCIIST2,TALST2,UNCHAHAR3,URI,DADRI_RF,CHAMERA2,NAPP,RIHAND3,SASAN,SINGRAULI,TANAKPUR,TANDA2,AURY_GF,AURY_LF,FSTPP I & II,JHAJJAR,KGSU3AND4,MAPS,RIHAND1,ANTA_CRF,ANTA_LF,CHAMERA3,KGSU1AND2,NTPL,RAMPUR,RAPPD,RSTPSU7,SEWA2,TALA,AURY_RF
1,00:00-00:15,0,8.63,0,0,37.92,76.69,0,0,42.15,38.32,45.53,0,0,0,37.41,0,0,19.56,98.87,0,0,0,49.27,65.43,125.27,76.19,0,44.52,52.09,0,0,0,689.39,42.46,6.97,0,0,0,0,21.65,2.76,24.99,40.58,0,0,27.38,52.36,106.06,47.12,24.49,130.84,418.77,113.75,11.06,5.73,0,0,20.15,667.27,0,0,48.09,0,0,33.95,0,0,0,32.29,0,18.34,18.57,81.82

2,00:15-00:30,0,8.63,0,0,37.92,76.69,0,0,42.15,38.32,45.53,0,0,0,37.41,0,0,19.56,98.87,0,0,0,49.27,65.43,125.27,76.19,0,44.52,52.09,0,0,0,689.39,42.46,6.97,0,0,0,0,21.65,2.76,24.99,40.58,0,0,27.38,52.36,106.06,47.12,24.49,130.84,418.77,113.75,11.06,5.73,0,0,20.15,667.27,0,0,48.09,0,0,33.95,0,0,0,32.29,0,18.34,18.57,81.82

3,00:30-00:45,0,8.63,0,0,37.92,76.69,0,0,42.15,38.32,45.53,0,0,0,37.41,0,0,19.56,98.87,0,0,0,49.27,65.43,125.27,76.19,0,44.52,52.09,0,0,0,689.39,42.46,4.65,0,0,0,0,21.65,2.76,24.99,40.58,0,0,27.38,52.36,106.06,23.85,24.49,130.84,418.77,113.75,11.06,5.73,0,0,20.15,667.27,0,0,48.09,0,0,33.95,0,0,0,32.29,0,18.34,18.57,81.82

4,00:45-01:00,0,8.63,0,0,37.92,76.69,0,0,42.15,38.32,45.53,0,0,0,37.41,0,0,19.56,98.87,0,0,0,49.27,65.43,125.27,76.19,0,44.52,52.09,0,0,0,689.39,42.46,4.65,0,0,0,0,21.65,2.76,24.99,40.58,0,0,27.38,28.71,106.06,23.85,24.49,130.84,418.77,113.75,11.06,5.73,0,0,20.15,667.27,0,0,48.09,0,0,33.95,0,0,0,32.29,0,18.34,18.57,81.82

5,01:00-01:15,0,8.63,0,0,37.92,76.69,0,0,42.15,38.32,45.53,0,0,0,37.41,0,0,19.56,98.87,0,0,0,49.27,65.43,125.27,76.19,0,44.52,52.34,0,0,0,689.39,42.46,4.65,0,0,0,0,21.65,2.76,24.99,40.58,0,0,27.38,28.71,106.06,23.85,24.49,130.84,418.77,113.75,11.06,5.73,0,0,20.15,667.27,0,0,48.09,0,0,33.95,0,0,0,32.29,0,18.34,18.57,81.82

6,01:15-01:30,0,8.63,0,0,37.92,76.69,0,0,42.15,38.32,45.53,0,0,0,37.41,0,0,19.56,98.87,0,0,0,49.27,65.43,125.27,76.19,0,44.52,52.34,0,0,0,689.39,42.46,4.65,0,0,0,0,21.65,2.76,24.99,40.58,0,0,27.38,28.71,106.06,23.85,24.49,130.84,418.77,113.75,11.06,5.73,0,0,20.15,667.27,0,0,48.09,0,0,33.95,0,0,0,32.29,0,18.34,18.57,81.82

7,01:30-01:45,0,8.63,0,0,37.92,76.69,0,0,42.15,38.32,45.53,0,0,0,37.41,0,0,19.56,98.87,0,0,0,49.27,65.43,125.27,76.19,0,44.52,52.34,0,0,0,689.39,42.46,4.65,0,0,0,0,21.65,2.76,24.99,40.58,0,0,27.38,28.71,106.06,33.39,24.49,130.84,418.77,113.75,11.06,5.73,0,0,20.15,667.27,0,0,48.09,0,0,33.95,0,0,0,32.29,0,18.34,18.69,81.82

8,01:45-02:00,0,8.63,0,0,37.92,76.69,0,0,42.15,38.32,45.53,0,0,0,37.41,0,0,19.56,98.87,0,0,0,49.27,65.43,125.27,76.19,0,44.52,52.34,0,0,0,689.39,42.46,4.65,0,0,0,0,21.65,2.76,24.99,40.58,0,0,27.38,28.71,106.06,33.39,24.49,130.84,418.77,113.75,11.06,5.73,0,0,20.15,667.27,0,0,48.09,0,0,33.95,0,0,0,32.29,0,18.34,18.69,81.82

9,02:00-02:15,0,8.63,0,0,37.92,76.69,0,0,42.15,38.32,45.53,0,0,0,28.06,0,0,19.56,98.87,0,0,0,49.27,65.43,125.27,76.19,0,44.52,52.6,0,0,0,689.39,42.46,4.65,0,0,0,0,21.65,2.76,24.99,40.58,0,0,27.38,30.91,106.06,47.12,24.49,130.84,418.77,113.75,11.06,5.73,0,0,20.15,667.27,0,0,48.09,0,0,33.95,0,0,0,32.29,0,18.34,18.69,81.82

