Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/25122043/GNA_MEJA_DELHI,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,SR/01102023/07102043/L_NR_2018_61,NR/23032024/30032024/HP-64,NR/01012024/31032024/ ChanjuII,NR/01102023/06022042/L_NR_2012_07,SR/01032024/31032024/SJVN010324NR1590,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,NR/01102023/19072037/LT-05,NR/23032024/30032024/HP-60,NR/23032024/30032024/HP-57,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01032024/31032024/NVVN/OA/16997,NR/30092023/31122025/SH-07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,NR/01032024/31032024/SJVN010324NR1589,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/01032024/31032024/SJVN010324NR1588
1,00:00-00:15,205.880000,1.670000,2.100000,100.200000,0.000000,48.35,9.01,29.590000,0.000000,68.200000,0,193.400000,35.260000,74.210000,173.290000,48.35,0.000000,26.100000,0.000000,0.000000,27.080000,2.470000,48.350000,26.100000,154.160000,0,0,0,0,18.34,0,0,18.33,0,48.33,0,12.34,48.33,0,0,0,0,0,0,55,0,0

2,00:15-00:30,205.880000,1.670000,2.100000,100.200000,0.000000,48.35,8.81,29.590000,0.000000,68.200000,0,193.400000,35.260000,74.210000,173.290000,48.35,0.000000,26.100000,0.000000,0.000000,27.080000,2.470000,48.350000,26.100000,154.160000,0,0,0,0,18.5,0,0,18.5,0,48.67,0,12.66,48.67,0,0,0,0,0,0,55.5,0,0

3,00:30-00:45,205.880000,1.670000,2.100000,100.200000,0.000000,48.35,8.61,29.590000,0.000000,68.200000,0,193.400000,35.260000,74.210000,173.290000,48.35,0.000000,26.100000,0.000000,0.000000,27.080000,1.920000,48.350000,26.100000,154.160000,0,0,0,0,18.84,0,0,18.83,0,49.33,0,13,49.33,0,0,0,0,0,0,56.5,0,0

4,00:45-01:00,205.880000,1.670000,2.100000,100.200000,0.000000,48.35,7.01,29.590000,0.000000,68.200000,0,193.400000,35.260000,74.210000,173.290000,48.35,0.000000,26.100000,0.000000,0.000000,27.080000,1.920000,48.350000,26.100000,154.160000,0,0,0,0,19,0,0,19,0,50.67,0,13.34,50.67,0,0,0,0,0,0,57,0,0

5,01:00-01:15,205.880000,1.670000,2.100000,77.360000,0.000000,48.35,7.01,29.590000,0.000000,33.840000,0,193.400000,35.260000,74.210000,173.290000,48.35,0.000000,26.100000,0.000000,0.000000,27.080000,1.920000,48.350000,26.100000,154.160000,0,0,0,0,19.16,0,0,19.17,0,51,0,13.66,51,0,0,0,0,0,0,57.5,0,0

6,01:15-01:30,205.880000,1.670000,2.100000,77.360000,0.000000,48.35,7.01,29.590000,0.000000,33.840000,0,193.400000,35.260000,74.210000,173.290000,48.35,0.000000,26.100000,0.000000,0.000000,27.080000,1.920000,48.350000,26.100000,154.160000,0,0,0,0,19.66,0,0,19.67,0,51.33,0,14,51.33,0,0,0,0,0,0,59,0,0

