Block,Time,CHAMERA2,DADRT2,KHSTPP-I,NLCIIST1,NLCIIST2,NTPL,PARBATI3,SALAL,SEWA2,UNCHAHAR2,ANTA_GF,AURY_GF,AURY_RF,BSIUL,DULHASTI,KGSU3AND4,KISHANGANGA,KOTESHWR,NAPP,NLCTS2EXP,RAPPB,RIHAND3,TALA,TelanganaSTPP,UNCHAHAR3,UNCHAHAR4,URI,ANTA_CRF,AURY_CRF,DADRI_LF,DADRI_RF,BRBCL,FSTPP I & II,MAPS,VALLURNTECL,CHAMERA3,KGSU1AND2,KKNPPU2,KOLDAM,KUDGI,SIMHST2,TANDA2,ANTA_RF,AURY_LF,DADRI_CRF,NLCEXP,NNTPP,RAPPC,RSTPSU1TO6,SASAN,SIMHST1,UNCHAHAR1,URI2,DADRI_GF,DHAULIGNGA,RAPPD,RIHAND2,SINGRAULI_HYDRO,TALST2,TEHRI,JHAJJAR,KKNP,NJPC,RAMPUR,TEHRIPSP,CHAMERA1,KHSTPP-II,PARBATI2,RIHAND1,RSTPSU7,SINGRAULI,TANAKPUR,ANTA_LF
1,00:00-00:15,0,689.39,45.53,0,0,0,55.01,69.72,19.02,44.52,0,0,81.18,0,38.32,0,6.97,45.08,24.23,0,0,130.84,13.08,0,27.38,3.23,17.67,0,0,0,105.4,18.75,20.15,0,0,0,0,0,8.63,0,0,5.73,51.53,0,0,0,0,65.76,0,337.5,0,21.65,37.41,0,42.46,39.04,125.27,0,0,82.36,667.27,0,175.8,5.68,103.98,42.15,148.3,25.69,48.09,0,113.75,13.11,0

2,00:15-00:30,0,689.39,45.53,0,0,0,55.01,69.72,19.02,44.52,0,0,81.18,0,38.32,0,6.97,45.08,24.23,0,0,130.84,13.08,0,27.38,3.23,17.67,0,0,0,105.4,18.75,20.15,0,0,0,0,0,8.63,0,0,5.73,51.53,0,0,0,0,65.76,0,337.5,0,21.65,37.41,0,42.46,39.04,125.27,0,0,82.36,667.27,0,175.8,5.68,103.98,42.15,148.3,25.69,48.09,0,113.75,13.11,0

3,00:30-00:45,0,689.39,45.53,0,0,0,55.01,69.72,19.02,44.52,0,0,81.18,0,38.32,0,6.97,45.08,24.23,0,0,130.84,13.08,0,27.38,3.23,17.67,0,0,0,105.4,18.75,20.15,0,0,0,0,0,8.63,0,0,5.73,51.53,0,0,0,0,65.76,0,337.5,0,21.65,37.41,0,42.46,39.04,125.27,0,0,82.36,667.27,0,175.8,5.68,103.98,42.15,148.3,25.69,48.09,0,113.75,13.11,0

4,00:45-01:00,0,689.39,45.53,0,0,0,55.01,69.72,19.02,44.52,0,0,81.18,0,38.32,0,6.97,45.08,24.23,0,0,130.84,13.08,0,27.38,3.23,17.67,0,0,0,105.4,18.75,20.15,0,0,0,0,0,8.63,0,0,5.73,51.53,0,0,0,0,65.76,0,337.5,0,21.65,37.41,0,42.46,39.04,125.27,0,0,82.36,667.27,0,175.8,5.68,103.98,42.15,148.3,25.69,48.09,0,113.75,13.11,0

5,01:00-01:15,0,689.39,45.53,0,0,0,55.01,69.72,19.02,44.52,0,0,81.18,0,38.32,0,6.97,45.08,24.23,0,0,130.84,13.08,0,27.38,3.23,17.67,0,0,0,105.4,18.75,20.15,0,0,0,0,0,8.63,0,0,5.73,51.53,0,0,0,0,65.76,0,337.5,0,21.65,37.41,0,42.46,39.04,125.27,0,0,82.36,667.27,0,175.8,5.68,103.98,42.15,148.3,25.69,48.09,0,113.75,13.11,0

6,01:15-01:30,0,689.39,45.53,0,0,0,55.01,69.72,19.02,44.52,0,0,81.18,0,38.32,0,6.97,45.08,24.23,0,0,130.84,13.08,0,27.38,3.23,17.67,0,0,0,105.4,18.75,20.15,0,0,0,0,0,8.63,0,0,5.73,52.34,0,0,0,0,65.76,0,337.5,0,21.65,37.41,0,42.46,39.04,125.27,0,0,82.36,667.27,0,175.8,5.68,103.98,42.15,148.3,25.69,48.09,0,113.75,13.11,0

7,01:30-01:45,0,689.39,45.53,0,0,0,55.01,69.72,19.02,44.52,0,0,81.18,0,38.32,0,6.97,45.08,24.23,0,0,130.84,13.78,0,27.38,3.23,17.67,0,0,0,105.4,18.75,20.15,0,0,0,0,0,8.63,0,0,5.73,52.34,0,0,0,0,65.76,0,337.5,0,21.65,31.18,0,42.46,39.04,125.27,0,0,82.36,667.27,0,175.8,5.68,103.98,42.15,148.3,25.69,48.09,0,113.75,13.11,0

8,01:45-02:00,0,689.39,45.53,0,0,0,55.01,69.72,19.02,44.52,0,0,81.18,0,38.32,0,6.97,45.08,24.23,0,0,130.84,13.78,0,27.38,3.23,17.67,0,0,0,105.4,18.75,20.15,0,0,0,0,0,8.63,0,0,5.73,52.34,0,0,0,0,65.76,0,337.5,0,21.65,31.18,0,42.46,39.04,125.27,0,0,82.36,667.27,0,175.8,5.68,103.98,42.15,148.3,25.69,48.09,0,113.75,13.11,0

