Block,Time,RIHAND3,DADRI_CRF,DHAULIGNGA,KOLDAM,ANTA_LF,SALAL,DADRT2,BSIUL,RAPPB,CHAMERA3,DADRI_RF,ANTA_GF,SINGRAULI_HYDRO,TANAKPUR,SEWA2,KOTESHWR,CHAMERA1,TEHRI,URI,AURY_CRF,TANDA2,URI2,NAPP,KISHANGANGA,RAPPC,RAMPUR,PARBATI3,ANTA_RF,CHAMERA2,AURY_RF,UNCHAHAR3,NJPC,DADRI_GF,AURY_GF,UNCHAHAR1,UNCHAHAR2,RIHAND1,JHAJJAR,UNCHAHAR4,RIHAND2,DULHASTI,SINGRAULI,AURY_LF,ANTA_CRF,DADRI_LF,KHSTPP-II,SASAN,FSTPP I & II,BRBCL,TALA,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,125.409721,0.000000,41.812106,9.807271,0.000000,80.350906,661.154676,6.262576,0.000000,33.451935,0.000000,0.000000,1.164790,0.000000,0.000000,37.643498,27.313776,61.220744,38.170138,0.000000,5.145920,32.228034,47.041395,8.010361,64.975981,6.478393,0.000000,0.000000,46.579236,0.000000,14.600157,172.835941,0.000000,0.000000,19.618729,23.216970,93.212528,405.705422,0.000000,119.459350,56.832057,135.348418,0.000000,0.000000,0.000000,142.427320,335.155590,13.733720,14.406000,9.176622,30.896164,0,0,0,0,0

2,00:15-00:30,125.409721,0.000000,41.812106,9.807271,0.000000,80.350906,661.154676,6.262576,0.000000,33.451935,0.000000,0.000000,1.164790,0.000000,0.000000,37.643498,27.313776,61.220744,38.170138,0.000000,5.145920,32.228034,47.041395,8.010361,64.975981,6.478393,0.000000,0.000000,46.579236,0.000000,14.600157,172.835941,0.000000,0.000000,19.618729,23.216970,93.212528,405.705422,0.000000,119.459350,56.832057,135.348418,0.000000,0.000000,0.000000,142.427320,335.155590,13.733720,14.406000,9.176622,30.896164,0,0,0,0,0

3,00:30-00:45,125.409721,0.000000,41.812106,9.807271,0.000000,80.350906,661.154676,6.262576,0.000000,33.451935,0.000000,0.000000,1.164790,3.936872,0.000000,37.643498,26.934418,61.220744,38.170138,0.000000,5.145920,32.228034,47.041395,8.010361,64.975981,6.478393,4.102917,0.000000,46.579236,0.000000,14.612640,172.835941,0.000000,0.000000,19.618729,23.216970,93.212528,405.711376,0.000000,119.459350,56.832057,135.348418,0.000000,0.000000,0.000000,142.427320,335.155590,13.733720,13.195896,9.176622,30.896164,0,0,0,0,0

4,00:45-01:00,125.409721,0.000000,41.812106,9.807271,0.000000,80.350906,661.154676,6.262576,0.000000,33.451935,0.000000,0.000000,1.164790,3.936872,0.000000,37.643498,26.934418,61.220744,38.170138,0.000000,5.145920,32.228034,47.041395,8.010361,64.975981,6.478393,16.118602,0.000000,46.579236,0.000000,14.612658,172.835941,0.000000,0.000000,19.618729,23.216970,93.212528,405.711376,0.000000,119.459350,56.832057,135.348418,0.000000,0.000000,0.000000,142.427320,335.155590,13.733720,12.840548,9.176622,30.896164,0,0,0,0,0

5,01:00-01:15,125.409721,0.000000,41.812106,9.807271,0.000000,80.350906,661.154676,6.262576,0.000000,33.451935,0.000000,0.000000,1.164790,3.936872,0.000000,37.643498,26.934418,61.220744,38.170138,0.000000,5.145920,32.228034,47.041395,8.010361,64.975981,5.539174,16.118602,0.000000,46.579236,0.000000,14.612658,172.835941,0.000000,0.000000,19.618729,23.216970,93.212528,405.711376,0.000000,119.459350,56.832057,135.348418,0.000000,0.000000,0.000000,142.427320,335.155590,13.733720,11.159848,9.176622,30.896164,0,0,0,0,0

