Column1,Block,GNA/NR/2025/08/01/6209,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33985/C,NR/2025/33954/C,NR/2025/33946/C,GNARE/SR/2025/08/20/5464,NR/2025/32535/A/98635,NR/2025/32599/A/98633,NR/2025/33469/A/98274,NR/2025/33947/C,NR/2025/33944/C,NR/2025/32534/A/98630,NR/2025/33633/A/98667,NR/2025/32532/A/98629,NR/2025/32532/A/98628,NR/2025/33632/A/98669,NR/2025/32534/A/98631,NR/2025/33637/A/98665,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/98634,NR/2025/33980/C,NR/2025/31421/A/98733,NR/2025/33670/A/98533,NR/2025/31045/A/98660,NR/2025/33993/C,NR/2025/32556/A/98703,NR/2025/33982/C,NR/2025/33995/C,NR/2025/32397/A/98181,NR/2025/29440/A/98248,NR/2025/33983/C,NR/2025/33997/C,NR/2025/33984/C,NR/2025/32262/A/98258,NR/2025/31049/A/98663,NR/2025/31048/A/98661,NR/2025/32559/A/98702,NR/2025/32004/A/98706,NR/2025/32455/A/98747,NR/2025/33656/A/98651,NR/2025/32375/A/98730,NR/2025/31043/A/98658,NR/2025/32610/A/98701,GNA/NR/2025/08/01/5784,NR/2025/29992/A/98346,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,Total
64,15:45-16:00,96.53,0,19.22,10.8,14.48,96.53,0,0.19,130,13.51,96.53,193.06,0.29,1.45,0.97,0.48,1.16,0.77,1.64,53.57,0.19,76.86,0,82.05,0,48.26,0,43.87,48.26,0,0.97,43.87,193.06,37.3,0,0,0,0,0,0,0,0,0,0,96.53,44.4,0,14.62,48.26,20.83,19.31,24.13,14.62,24.13,15.3,29.03,1657.0299999999997

65,16:00-16:15,96.53,0,19.22,10.8,14.48,0,0,0.14,116,13.51,0,28.96,0.29,0,0.97,0.48,0,0.77,0,49.23,0.19,0,48.26,82.05,96.53,0,43.87,0,0,0,0.87,0,193.06,0,0,96.53,0,43.87,76.86,0,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,19.31,24.13,14.62,24.13,15.3,29.03,1634.2899999999997

66,16:15-16:30,96.53,0,19.22,10.8,14.48,0,0,0.07,105,13.51,0,28.96,0.29,0,0.97,0.48,0,0.77,0,44.93,0.19,0,48.26,82.05,96.53,0,43.87,0,0,0,0.87,0,193.06,0,0,96.53,0,43.87,76.86,0,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,19.31,24.13,14.62,24.13,15.3,29.03,1618.9199999999998

67,16:30-16:45,96.53,0,19.22,10.8,14.48,0,0,0,95,13.51,0,28.96,0.29,0,0.97,0.48,0,0.77,0,41.1,0.19,0,48.26,82.05,96.53,0,43.87,0,0,0,0.87,0,193.06,0,0,96.53,0,43.87,76.86,0,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,19.31,24.13,14.62,24.13,15.3,29.03,1605.0199999999998

68,16:45-17:00,96.53,0,19.22,8.84,14.48,0,0,0,84,13.51,0,28.96,0.29,0,0.97,0.48,0,0.77,0,37.03,0.19,0,48.26,82.05,96.53,0,43.87,0,0,0,0.87,0,193.06,0,0,96.53,0,43.87,76.86,0,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,19.31,24.13,14.62,24.13,15.3,29.03,1587.9899999999998

69,17:00-17:15,96.53,0,19.22,8.19,14.48,0,0,0.05,70,13.51,0,28.96,0.29,0,0.97,0.48,0,0.77,0,32.27,0.19,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,0,96.53,0,43.87,76.86,0,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,19.31,24.13,14.62,24.13,15.3,29.03,1577.3199999999997

70,17:15-17:30,96.53,0,19.22,7.91,14.48,0,0,0,60,13.51,0,28.96,0.29,0,0.97,0.48,0,0.77,0,27.67,0.19,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,0,96.53,0,43.87,76.86,0,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,19.31,24.13,14.62,24.13,15.3,29.03,1562.3899999999996

71,17:30-17:45,96.53,0,19.22,7.72,14.48,0,0,0,49,13.51,0,28.96,0.29,0,0,0.48,0,0.77,0,22.93,0.19,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,0,96.53,0,43.87,76.86,0,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,19.31,24.13,14.62,24.13,15.3,29.03,1545.4899999999998

72,17:45-18:00,96.53,0,19.22,7.79,14.48,0,0,0,39,13.51,0,28.96,0.29,0,0,0.48,0,0.77,0,17.97,0.19,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,0,96.53,0,43.87,76.86,0,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,19.31,24.13,14.62,24.13,15.3,29.03,1530.5999999999997

73,18:00-18:15,48.26,0,19.22,8.61,14.48,0,0,0,25,13.51,0,28.96,0.21,0,0,0.36,0,0.77,0,14,0.19,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,0,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1478.6299999999999

74,18:15-18:30,48.26,0,19.22,6.26,14.48,0,0,0,14,13.51,0,28.96,0.13,0,0,0.21,0,0,0,10.13,0.19,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,0,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1460.4099999999999

75,18:30-18:45,48.26,0,19.22,4.08,14.48,0,0,0,7,13.51,0,28.96,0.07,0,0,0.11,0,0,0,4.53,0.19,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,0,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1445.4699999999998

76,18:45-19:00,48.26,0,19.22,2.62,14.48,0,0,0,5,13.51,0,28.96,0.03,0,0,0.05,0,0,0,1.83,0.19,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,0,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1439.2099999999998

77,19:00-19:15,48.26,0,19.22,0,14.48,0,174,0,1,13.51,0,28.96,0,0,0,0,0,0,0,1.07,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,0,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1605.6099999999997

78,19:15-19:30,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0.43,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,0,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1603.9699999999998

79,19:30-19:45,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0.1,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,0,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1603.6399999999999

80,19:45-20:00,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,0,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1603.5399999999997

81,20:00-20:15,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1657.8399999999997

82,20:15-20:30,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1657.8399999999997

83,20:30-20:45,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1657.8399999999997

84,20:45-21:00,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,76.86,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1657.8399999999997

85,21:00-21:15,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1687.1599999999996

86,21:15-21:30,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1687.1599999999996

87,21:30-21:45,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1687.1599999999996

88,21:45-22:00,48.26,0,19.22,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1687.1599999999996

89,22:00-22:15,48.26,0,15.54,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1683.4799999999998

90,22:15-22:30,48.26,0,15.54,0,14.48,0,174,0,0,13.51,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1683.4799999999998

91,22:30-22:45,48.26,0,15.54,0,14.48,0,174,0,0,12.55,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1682.5199999999998

92,22:45-23:00,48.26,0,15.54,0,14.48,0,174,0,0,12.55,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.92,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1682.5199999999998

93,23:00-23:15,48.26,0,15.54,0,14.48,0,174,0,0,12.55,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1682.4699999999998

94,23:15-23:30,48.26,0,15.54,0,14.48,0,174,0,0,12.55,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1682.4699999999998

95,23:30-23:45,48.26,0,15.54,0,14.48,0,174,0,0,12.55,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1682.4699999999998

96,23:45-24:00,48.26,0,15.54,0,14.48,0,174,0,0,12.55,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,96.53,0,43.87,0,0,8.69,0.87,0,193.06,0,54.3,96.53,0,43.87,106.18,48.26,164.1,48.26,0,37.3,96.53,44.4,0,14.62,48.26,20.83,0,24.13,14.62,24.13,0,29.03,1682.4699999999998

