Block,Time,NLCTS2EXP,RSTPSU7,SIMHST1,URI,VALLURNTECL,ANTA_GF,BRBCL,BSIUL,CHAMERA2,JHAJJAR,KHSTPP-I,RIHAND1,SINGRAULI,UNCHAHAR1,UNCHAHAR4,CHAMERA1,DULHASTI,KGSU1AND2,KISHANGANGA,NLCEXP,NLCIIST1,NNTPP,RSTPSU1TO6,TALA,URI2,ANTA_LF,AURY_RF,DADRI_GF,KHSTPP-II,PARBATI3,RIHAND2,UNCHAHAR2,AURY_GF,DADRI_RF,KGSU3AND4,KKNPPU2,KOLDAM,KUDGI,SALAL,SASAN,SINGRAULI_HYDRO,CHAMERA3,DADRT2,DHAULIGNGA,KKNP,NAPP,NTPL,RAMPUR,RAPPC,TALST2,TANAKPUR,DADRI_CRF,NJPC,RIHAND3,SEWA2,SIMHST2,TANDA2,TEHRI,TelanganaSTPP,UNCHAHAR3,ANTA_CRF,FSTPP I & II,KOTESHWR,MAPS,NLCIIST2,RAPPB,ANTA_RF,AURY_CRF,AURY_LF,DADRI_LF
1,00:00-00:15,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,12.78,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,0,0,0,62.16,0,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.05,0,0,0

2,00:15-00:30,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,12.78,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,0,0,0,62.16,0,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.05,0,0,0

3,00:30-00:45,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,12.78,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,5.76,0,0,62.16,0,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.05,0,0,0

4,00:45-01:00,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,12.78,345.38,0.77,0,682.79,0,0,20.4,0,0,26.01,0,5.76,0,0,62.16,9.33,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.05,0,0,0

5,01:00-01:15,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,15.11,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,5.76,0,0,62.16,10.53,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.05,0,0,0

6,01:15-01:30,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,69.72,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,5.76,0,0,62.16,10.53,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.26,0,0,0

7,01:30-01:45,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,69.72,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,5.76,0,0,62.16,10.53,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.26,0,0,0

8,01:45-02:00,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,69.72,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,5.76,0,0,62.16,10.53,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.26,0,0,0

9,02:00-02:15,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,69.72,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,0,0,0,62.16,10.53,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.26,0,0,0

10,02:15-02:30,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,31.9,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,69.72,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,0,0,0,62.16,10.53,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.26,0,0,0

11,02:30-02:45,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,20.18,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,27.89,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,0,0,0,62.16,10.53,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.26,0,0,0

12,02:45-03:00,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,20.18,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,26.73,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,0,0,0,62.16,10.53,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.26,0,0,0

13,03:00-03:15,0,0,0,36.43,0,0,20,6.52,0,434.65,45.53,92,139.69,20.85,0,0,16.48,0,0,0,0,0,0,0,20.18,0,69.51,0,148.3,0,118.76,42.39,0,59.73,0,0,0,0,26.73,345.38,0.77,0,683.14,0,0,20.4,0,0,26.01,0,0,0,0,62.16,10.53,0,0,0,0,26.4,0,18.2,8.87,0,0,0,43.57,0,0,0

