Column1,Block,GNA/NR/2024/12/01/3428,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1599,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/7739,NR/2024/24071/A/45780,NR/2024/24227/A/45914,NR/2024/24330/C,NR/2024/24225/A/45912,NR/2024/24329/C,NR/2024/24224/A/45892,NR/2024/23952/A/45769,NR/2024/24052/A/45781,NR/2024/24051/A/45782,NR/2024/24060/A/46018,NR/2024/24146/A/45791,NR/2024/24337/C,NR/2024/24336/C,NR/2024/24097/A/45774,NR/2024/24088/A/45777,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,WR/2024/25054/A/45989,GNA/NR/2024/12/01/1475,NER/2024/2770/A/45990,Total
,,NDMC,DELHI,NDMC,NDMC,NDMC,PTC,PUNJAB,KSEB,PTC,IEXL,OIDLWM3_AEROCITY,SJVNL,OIDLWM2_AEROCITY,SJVNL,ABLWM1_AEROCITY,ITCLH,IEXL,IEXL,NVVNL,IEXL,PXIL,SJVNL,IEXL,IEXL,BAWANA_GAS,APPCPL,MANIKARAN,APPCPL,NDMC,APPCPL,
,,NA,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,TELANGANA_State,TELANGANA_State,NA,MP_State,ODISHA_STATE,KARNATAKA_STATE,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,
,,SKS_Raigarh,CHANJUII,TRN_ENERGY,RKM_POWER,RKM_POWER,BRPL,BAWANA_GAS,BYPL,BYPL,TESPL_BKN2,TESPL_BKN2,TPSL_BKN2,TESPL_BKN2,RSRPL_BKN,TESPL_BKN2,ITCWIND,NSLKSLWPRTY,NSLKSLWPRTY,JITPL,NSPLN_MP,VL_CPP_1215,RENUKASUGARSATHANI,NSLSUGARALAND,NSLSTUNGBHDRA,BAWANA_GAS,BYPL,BRPL,BRPL,JPL2,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,PUNJAB_STATE,KERALA_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,MSEB_State,MSEB_State,GOA_State,DELHI_UT,Manipur_State,
,,NDMC,TPDDL,NDMC,NDMC,NDMC,HP,PUNJAB,KSEB,HP,MES_Delhi,OIDLWM3_AEROCITY,NDMC,OIDLWM2_AEROCITY,NDMC,ABLWM1_AEROCITY,ITCLH,MES_Delhi,MES_Delhi,NDMC,MES_Delhi,BYPL,NDMC,MES_Delhi,MES_Delhi,HARYANA,AEML,AEML,GOA_Beneficiary,NDMC,Manipur_Ben,
,,West-North,North-North,West-North,West-North,West-North,North-North,North-North,North-West-South,North-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,South-West-North,South-West-North,East-North,West-North,East-North,South-West-North,South-West-North,South-West-North,North-North,North-West,North-West,North-West,West-North,North-East-North East,
1,00:00-00:15,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.8599999999999

2,00:15-00:30,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.8599999999999

