Time,Block,NR/2024/18935/A/12936,NR/2024/18936/A/12935,NR/2024/19209/C,NR/2024/19121/A/13221,NR/2024/18855/A/13227,NR/2024/18976/A/12926,NR/2024/18986/A/13152,NR/2024/18977/A/12925,NR/2024/19075/A/12971,NR/2024/19210/C,NR/2024/18978/A/12924,NR/2024/19024/A/13019,NR/2024/18934/A/12937,NR/2024/19043/A/12984,NR/2024/18919/A/13453,NR/2024/19172/A/13572,NR/2024/19081/A/12968,NR/2024/18996/A/13461,NR/2024/19030/A/12972,NR/2024/19115/A/12963,Total
,,PXIL,PXIL,NVVNL,GMRETL,GMRETL,PXIL,ITCLH,PXIL,IEXL,NVVNL,PXIL,DIAPL,PXIL,IEXL,APPCPL,TPDDL,IEXL,PTC,IEXL,IEXL,Total

,,TAMIL NADU,TAMIL NADU,NA,RAJASTHAN,RAJASTHAN,ODISHA,ANDHRA PRADESH,NA,ODISHA,NA,TAMIL NADU,HIMACHAL PRADESH,TAMIL NADU,NA,NAGALAND,NA,DELHI,MAHARASHTRA,NA,MAHARASHTRA,
,,SAKTHISUGARS_ELMTN,SAKTHISUGARSLTD,SOLAPUR_SOLAR,RUVNL,RUVNL,FACORPOWER,ITCWIND,MEENAKSHI,VSL,KAMENG,BIRLACARBONTN,GBHHPL,SAKTHISUGRAR_TN,MBMP,Nagaland_Ben,JHAJJAR,EDWPCL12,JPL_DHULE,JHABUA_IPP,SWPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,
,,BRPL,BRPL,MES (Delhi),BYPL,BYPL,BRPL,ITCLH,BRPL,BRPL,TPDDL,BRPL,DIAPL,BRPL,BRPL,BYPL,TPDDL,UPPCL,BRPL,BRPL,BRPL,
,,South-West-North,South-West-North,West-North,North-North,North-North,East-West-North,South-West-North,South-West-North,East-North,North East-East-North,South-West-North,North-North,South-West-North,West-East-North,North East-East-North,North-North,North-North,West-North,West-East-North,West-East-North,
1,00:00-00:15,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

2,00:15-00:30,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

3,00:30-00:45,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

4,00:45-01:00,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

5,01:00-01:15,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

6,01:15-01:30,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

7,01:30-01:45,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

8,01:45-02:00,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

9,02:00-02:15,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

10,02:15-02:30,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

11,02:30-02:45,0.000000,0.000000,0,0.000000,66.930000,0.000000,0.630000,0.000000,0.000000,45.080000,0.000000,4.840000,0.000000,0.000000,9.670000,116.090000,2.000000,0.000000,0.000000,0.000000,245.24

