Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01012024/15012024/IEX_231227_05965,NR/01102023/30042040/GNA_LT_36,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/15012024/HPX-TAMDLY-271223-05546,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01012024/31012024/52,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/06012024/31012024/NVVN/OA/16855,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/09012024/09012024/DD20240109NR22146,NR/30092023/31122025/SH-07,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01012024/31012024/HP-27,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01102023/05012040/L_NR_2020_02,NR/01012024/31012024/HP-28,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/15082037/GNA_NR_2012_01,NR/01012024/31032024/ ChanjuII,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/09012024/09012024/DD20240109NR22145,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/01012024/15012024/IEX_231227_05966,NR/01012024/31012024/HP-26,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/14082046/L_NR_2021_16,NR/05012024/31012024/SJVN050124NR1342,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/05012024/31012024/SJVN050124NR1341,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,1.100000,95.950000,0.000000,8.160000,47.980000,112.260000,22.070000,0.000000,0.000000,0.770000,47.980000,6.720000,0.000000,24.960000,5.760000,57.140000,18.230000,1.480000,24.460000,11.510000,47.980000,1.550000,47.980000,0.000000,148.420000,32.620000,0.000000,30.700000,47.980000,152.060000,0.000000,65.810000,68.33,0,0,0,68.33,28.82,0,0,17.12,0,0,0,0,0,0,0,28.83,0,0,22.68,86.48,0,0

2,00:15-00:30,1.100000,95.950000,0.000000,8.160000,47.980000,112.260000,22.070000,0.000000,0.000000,0.770000,47.980000,6.720000,0.000000,24.960000,5.760000,57.140000,18.230000,1.480000,24.460000,11.510000,47.980000,1.550000,47.980000,0.000000,148.420000,32.620000,0.000000,30.700000,47.980000,152.060000,0.000000,65.810000,68.09,0,0,0,68.09,28.19,0,0,17.07,0,0,0,0,0,0,0,28.2,0,0,22.01,84.59,0,0

3,00:30-00:45,1.100000,95.950000,0.000000,8.160000,47.980000,112.260000,22.070000,0.000000,0.000000,0.770000,47.980000,6.720000,0.000000,24.960000,5.760000,57.140000,18.230000,1.480000,24.460000,11.510000,47.980000,1.550000,47.980000,0.000000,148.420000,32.620000,0.000000,25.810000,47.980000,152.060000,0.000000,69.950000,65.69,0,0,0,65.69,27.51,0,0,16.92,0,0,0,0,0,0,0,27.52,0,0,21.51,82.55,0,0

4,00:45-01:00,1.100000,95.950000,0.000000,8.160000,47.980000,112.260000,22.070000,0.000000,0.000000,0.770000,47.980000,6.720000,0.000000,24.960000,5.760000,57.140000,18.230000,1.480000,24.460000,11.510000,47.980000,1.550000,47.980000,0.000000,148.420000,32.620000,0.000000,25.810000,47.980000,152.060000,0.000000,69.950000,62.73,0,0,0,62.73,32.88,0,0,18.12,0,0,0,0,0,0,0,32.88,0,0,21,98.65,0,0

5,01:00-01:15,1.100000,95.950000,0.000000,8.160000,47.980000,112.260000,22.070000,0.000000,0.000000,0.770000,47.980000,6.720000,0.000000,24.960000,5.760000,57.140000,18.230000,1.480000,24.460000,11.510000,47.980000,1.550000,47.980000,0.000000,148.420000,32.620000,0.000000,25.810000,47.980000,152.060000,0.000000,69.950000,62.52,0,0,0,62.52,33.34,0,0,17.7,0,0,0,0,0,0,0,33.33,0,0,20.57,100,0,0

6,01:15-01:30,1.100000,95.950000,0.000000,8.160000,47.980000,112.260000,22.070000,0.000000,0.000000,0.770000,47.980000,6.720000,0.000000,24.960000,5.760000,57.140000,18.230000,1.480000,24.460000,11.510000,47.980000,1.550000,47.980000,0.000000,148.420000,32.620000,0.000000,25.810000,47.980000,152.060000,0.000000,69.950000,63.99,0,0,0,63.99,33.34,0,0,17.32,0,0,0,0,0,0,0,33.33,0,0,19.83,100,0,0

7,01:30-01:45,1.100000,95.950000,0.000000,8.160000,47.980000,112.260000,22.070000,0.000000,0.000000,0.770000,47.980000,6.720000,0.000000,24.960000,5.760000,57.140000,18.230000,1.480000,24.460000,11.510000,47.980000,1.550000,47.980000,0.000000,148.420000,32.620000,0.000000,25.810000,47.980000,152.060000,0.000000,69.950000,74.11,0,0,0,74.11,32.83,0,0,14.14,0,0,0,0,0,0,0,32.83,0,0,24.79,98.49,0,0

