Block,Time,L_NR_2020_02,SH-07,LT-36,SH-06,L_NR_2023_04,LT-35,LT-05,L_NR_2012_04,LT-59,L_NR_2012_02,L_NR_2019_11,L_NR_2012_07,LT-31,L_NR_2012_01,L_NR_2020_06,L_NR_2020_05,L_NR_2021_16,L_NR_2021_13,L_NR_2022_08,L_NR_2022_09,L_NR_2018_61,L_NR_2021_14,L_NR_2022_10,L_NR_2021_15,L_NR_2019_06,L_NR_2019_19,L_NR_2019_05,L_NR_2021_17,L_NR_2021_12,L_NR_2019_07,L_NR_2020_07
1,00:00-00:15,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,115.890000,271.520000,10.330000,235.170000,10.760000,74.030000,0.000000,101.130000,7.29,21.88,0,0,8.78,16.78,42.64,0,16.78,0,0,0,0,0,0,0,7.3

2,00:15-00:30,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,115.890000,271.520000,10.330000,235.170000,10.760000,74.030000,0.000000,101.130000,7.27,21.82,0,0,8.85,16.77,42.56,0,16.77,0,0,0,0,0,0,0,7.27

3,00:30-00:45,11.880000,0.000000,0.000000,0.000000,30.890000,0.000000,115.890000,271.520000,10.330000,235.170000,10.760000,74.030000,0.000000,101.130000,7.22,21.67,0,0,10.67,27.56,42.23,0,27.56,0,0,0,0,0,0,0,7.22

4,00:45-01:00,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,115.890000,271.520000,10.330000,235.170000,10.760000,74.030000,0.000000,101.130000,7.21,21.63,0,0,10.05,26.45,42.95,0,26.45,0,0,0,0,0,0,0,7.21

5,01:00-01:15,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,94.680000,271.520000,10.330000,235.170000,10.760000,74.030000,0.000000,101.130000,7.28,21.83,0,0,9.47,25.8,41.96,0,25.8,0,0,0,0,0,0,0,7.27

6,01:15-01:30,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,94.680000,271.520000,10.330000,235.170000,10.760000,74.030000,0.000000,101.130000,12.6,37.81,0,0,8.86,24.13,42.3,0,24.13,0,0,0,0,0,0,0,12.62

7,01:30-01:45,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,94.680000,271.520000,10.330000,153.440000,10.760000,55.990000,0.000000,101.130000,11.77,35.31,0,0,8.02,23.33,42.19,0,23.33,0,0,0,0,0,0,0,11.78

8,01:45-02:00,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,70.440000,271.520000,10.330000,153.440000,10.760000,55.990000,0.000000,101.130000,10.94,32.83,0,0,7.21,28.42,42.56,0,28.42,0,0,0,0,0,0,0,10.95

9,02:00-02:15,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,94.680000,271.520000,10.330000,153.440000,10.760000,55.990000,0.000000,101.130000,10.39,31.17,0,0,6.7,28.04,43.1,0,28.04,0,0,0,0,0,0,0,10.38

10,02:15-02:30,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,94.680000,271.520000,10.330000,153.440000,10.760000,55.990000,0.000000,101.130000,9.44,28.33,0,0,6.79,27.72,42.89,0,27.72,0,0,0,0,0,0,0,9.46

11,02:30-02:45,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,94.680000,271.520000,10.330000,153.440000,10.760000,55.990000,0.000000,101.130000,9.24,27.71,0,0,6.98,27.29,42.21,0,27.29,0,0,0,0,0,0,0,9.23

12,02:45-03:00,11.880000,0.000000,0.000000,0.000000,29.930000,0.000000,94.680000,271.520000,10.330000,153.440000,10.760000,55.990000,0.000000,101.130000,8.91,26.73,0,0,6.93,26.61,42.86,0,26.61,0,0,0,0,0,0,0,8.9

