Block,Time Block,DHAULIGNGA,DADRT2,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,SINGRAULI_HYDRO,VALLURNTECL,UNCHAHAR1,TALST2,UNCHAHAR4,TANAKPUR,TEHRIPSP,TALA,URI2,UNCHAHAR3,TEHRI,TelanganaSTPP,TANDA2,UNCHAHAR2,URI,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,PARBATI2,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPC,RIHAND2,RIHAND1,RAPPB,RAPPD,SALAL,SEWA2,SINGRAULI,RIHAND3,SASAN,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,NLCIIST2,NAPP,NLCTS2EXP,MAPS,NLCEXP,NLCIIST1,NJPC,KHSTPP-II,KKNPPU2,KOTESHWR,KKNP,KUDGI,KISHANGANGA,KOLDAM,JHAJJAR,KHSTPP-I,FSTPP I & II,DULHASTI,KGSU1AND2,KGSU3AND4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.81,528.01,12.53,32.62,45.29,15.48,40.51,0.67,0,20.5,0,3.09,12.55,79.94,21.9,37.45,26.61,59.58,0,2.53,43.25,50.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29,5.48,63.04,120.4,94.5,0,22.48,69.25,11.74,107.07,125.75,324.37,0,0,0,0,0,23.53,0,0,0,0,168.95,93.75,0,19.5,0,0,6.78,8.28,510.48,42.88,18.03,53.23,0,0,0,0,0,0,0

2,00:15-00:30,40.81,528.01,12.53,32.62,45.29,12.36,40.51,0.67,0,20.81,0,3.09,12.55,79.94,21.9,37.45,26.61,59.58,0,2.53,43.25,50.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29,5.48,63.04,120.4,94.5,0,22.48,69.25,11.74,107.07,125.75,324.37,0,0,0,0,0,23.53,0,0,0,0,168.95,93.75,0,19.5,0,0,6.78,8.28,433.52,42.88,18.03,53.23,0,0,0,0,0,0,0

3,00:30-00:45,40.81,528.01,12.53,32.62,45.29,12.5,40.51,0.67,0,20.81,0,3.09,12.55,79.94,22.04,37.45,26.61,59.58,0,2.53,43.25,50.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.72,5.48,63.04,120.4,94.5,0,22.48,69.25,11.74,107.07,125.75,324.37,0,0,0,0,0,23.53,0,0,0,0,168.95,93.75,0,19.5,0,0,6.78,8.28,433.52,42.88,18.03,53.23,0,0,0,0,0,0,0

4,00:45-01:00,40.81,524.02,12.53,32.62,45.29,12.49,40.51,0.67,0,20.81,0,3.09,12.55,79.94,22.04,37.45,26.61,59.58,0,2.53,43.25,45.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.72,5.48,63.04,120.4,94.5,0,22.48,69.25,11.74,107.07,125.75,324.37,0,0,0,0,0,23.53,0,0,0,0,168.95,93.75,0,19.5,0,0,6.78,8.28,388.46,42.88,18.03,53.23,0,0,0,0,0,0,0

5,01:00-01:15,40.81,524.02,12.53,32.62,45.29,11.02,40.51,0.67,0,20.81,0,3.09,12.55,79.94,22.04,37.45,26.61,59.58,0,2.53,43.25,45.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.72,5.48,63.04,120.4,94.5,0,22.48,69.25,11.74,107.07,125.75,324.37,0,0,0,0,0,23.53,0,0,0,0,168.95,93.75,0,19.5,0,0,6.78,8.28,330.79,42.88,18.03,53.23,0,0,0,0,0,0,0

