Column1,Block,NR/2024/21954/A/31683,NR/2024/21983/A/31399,NR/2024/22398/A/31617,NR/2024/21814/A/31672,NR/2024/21970/A/31668,NR/2024/21961/A/31644,NR/2024/21938/A/31645,NR/2024/22010/A/31712,NR/2024/21909/A/31621,NR/2024/21940/A/31684,NR/2024/21968/A/31666,NR/2024/22470/C,NR/2024/22052/A/31662,NR/2024/22481/C,NR/2024/22058/A/31663,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/22468/C,NR/2024/22469/C,NR/2024/21658/A/31386,NR/2024/22014/A/31379,NR/2024/21860/A/31618,NR/2024/21966/A/31409,NR/2024/22042/A/31378,NR/2024/21974/A/31671,NR/30092023/31122025/SH-07,NR/2024/21971/A/31669,NR/2024/21956/A/31686,NR/2024/21943/A/31681,NR/2024/21918/A/31710,NR/2024/22279/A/31373,NR/2024/22080/A/31468,NR/01082024/31082024/SKS-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,Total
,,APPCPL,TPTCL,TPDDL,NVVNL,NVVNL,PTC,PTC,MANIKARAN,AEL,APPCPL,NVVNL,NVVNL,SJVNL,SJVNL,SJVNL,SECI_Trader,SECI_Trader,NVVNL,NVVNL,ITCLH,IEXL,TPDDL,INSTINCT,IEXL,NVVNL,BAWANA_GAS,NVVNL,APPCPL,APPCPL,MANIKARAN,IEXL,DIAPL,DELHI,DELHI,DELHI,AEL,INSTINCT,TPTCL,APPCPL,PUNJAB,JITPL,
,,Manipur_State,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,GOA_State,NA,UTTARAKHAND_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,NA,MSEB_State,NA,DELHI_UT,NA,KERALA_State,MSEB_State,MSEB_State,KARNATAKA_STATE,HIMACHAL_STATE,NA,HIMACHAL_STATE,MSEB_State,NA,NA,NA,Arunachal_State,DELHI_UT,NA,
,,Manipur_Ben,SIMHAPURI,JHAJJAR,JPNIGRIE_JNSTPP,TRN_ENERGY,HP,HP,GOA_Beneficiary,APL_Raigarh_TPP,UTTARAKHAND,JPL2,SOLAPUR_SOLAR,RSRPL_BKN,TPSL_BKN2,TPSL_BKN2,SBSRPC11PL_BKN,SBSRPC11PL_BKN,SORANG_HEP,Kameng,ITCWIND,NHCPL_HP,JPL2,JPL2,A_A_Energy_MH_Bio,RKM_POWER,BAWANA_GAS,RKM_POWER,KSEB,AEML,AEML,NSLSUGAR,GBHHPL,SKS_Raigarh,CHANJUII,MSEB_Beneficiary,APL_Raigarh_TPP,JPL2,SIMHAPURI,Arunachal_Ben,BAWANA_GAS,JITPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,
,,BRPL,BRPL,TPDDL,TPDDL,NDMC,BRPL,BYPL,BRPL,BRPL,BYPL,NDMC,MES_Delhi,NDMC,NDMC,NDMC,BYPL,TPDDL,TPDDL,TPDDL,ITCLH,MES_Delhi,TPDDL,BRPL,MES_Delhi,NDMC,HARYANA,NDMC,BYPL,BRPL,BYPL,MES_Delhi,DIAPL,NDMC,TPDDL,TPDDL,BRPL,BRPL,BRPL,BRPL,PUNJAB,NDMC,
,,North East-East-North,South-East-North,North-North,West-North,West-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,South-West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,South-East-West-North,North-North,West-North,North-North,West-North,West-North,West-North,South-West-North,North East-East-North,North-North,East-North,
1,00:00-00:15,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.63,1.93,0,0,3.85,26.26,24.0835,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17.28,72.22,192.58,48.14,48.14,38.52,24.0835,8.43,1538.097

2,00:15-00:30,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.63,1.93,0,0,3.85,26.26,24.0835,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17.28,72.22,192.58,48.14,48.14,38.52,24.0835,8.43,1538.097

