Column1,Block,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/7432,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/2143,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/5886,GNA/SR/2025/02/01/6460,NR/2024/24418/A/53372,NER/2025/2918/A/53657,GNA/WR/2025/01/01/8625,ER/2025/15683/A/53655,NR/2025/25070/A/53654,NR/2025/24882/A/53409,WR/2025/26047/A/53662,NR/2025/24992/A/53407,NR/2025/25290/C,NR/2025/25289/C,Total
,,BAWANA_GAS,APPCPL,DELHI,MANIKARAN,APPCPL,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,APPCPL,ITCLH,APPCPL,TPTCL,APPCPL,NVVNL,IEXL,APPCPL,IEXL,SJVNL,SJVNL,
,,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,TELANGANA_State,DELHI_UT,KARNATAKA_STATE,NA,NA,
,,BAWANA_GAS,BYPL,CHANJUII,BRPL,BYPL,RKM_POWER,BAWANA_GAS,JPL2,RKM_POWER,SKS_Raigarh,TRN_ENERGY,BYPL,ITCWIND,BYPL,BYPL,BYPL,JIPL,NSLKSLWPRTY,BRPL,NSLSUGARALAND,RSRPL_BKN,TPSL_BKN2,
,,HARYANA_STATE,KERALA_State,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,Manipur_State,MSEB_State,SIKKIM_STATE,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,KSEB,TPDDL,AEML,AEML,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,KSEB,ITCLH,Manipur_Ben,TPC_MSEB,SIKKIM,NDMC,MES_Delhi,GOA_Beneficiary,MES_Delhi,NDMC,NDMC,
,,North-North,North-West-South,North-North,North-West,North-West,West-North,North-North,West-North,West-North,West-North,West-North,North-West-South,South-West-North,North-East-North East,North-West,North-East,East-North,South-West-North,North-West,South-West-North,North-North,North-North,
1,00:00-00:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

2,00:15-00:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

3,00:30-00:45,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

4,00:45-01:00,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

5,01:00-01:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

6,01:15-01:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

7,01:30-01:45,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

8,01:45-02:00,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

9,02:00-02:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

10,02:15-02:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

11,02:30-02:45,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

12,02:45-03:00,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

13,03:00-03:15,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.34

14,03:15-03:30,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.34

15,03:30-03:45,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.34

16,03:45-04:00,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.34

17,04:00-04:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

18,04:15-04:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

19,04:30-04:45,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

20,04:45-05:00,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

21,05:00-05:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

22,05:15-05:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

23,05:30-05:45,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

24,05:45-06:00,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.38,9.16,0,7.35,17.28,2.88,0,6.72,0,0,260.43999999999994

25,06:00-06:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.43,9.16,0,7.35,17.28,4.8,0,9.6,0,0,265.28999999999996

26,06:15-06:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.43,9.16,0,7.35,17.28,4.8,0,9.6,0,0,265.28999999999996

27,06:30-06:45,32,0,1.29,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.43,9.16,0,7.35,17.28,4.8,0,9.6,0,0,331.9500000000001

28,06:45-07:00,32,0,1.29,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.43,9.16,0,7.35,17.28,4.8,0,9.6,0,0,331.9500000000001

29,07:00-07:15,32,0,1.19,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.48,9.16,0,7.35,17.28,4.8,0,9.6,0,0,331.90000000000015

30,07:15-07:30,32,0,1.19,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.48,9.16,0,7.35,17.28,4.8,0,9.6,0,0,331.90000000000015

31,07:30-07:45,32,0,1.19,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.48,9.16,0,7.35,17.28,4.8,0,9.6,0,0,331.90000000000015

32,07:45-08:00,32,0,1.19,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.48,9.16,0,7.35,17.28,4.8,0,9.6,0,0,331.90000000000015

33,08:00-08:15,32,0,1.29,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.86,9.16,0,7.35,17.28,4.8,0,9.6,0,0,332.38000000000005

34,08:15-08:30,32,0,1.29,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.86,9.16,0,7.35,17.28,4.8,0,9.6,0,0,332.38000000000005

35,08:30-08:45,32,0,1.29,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.86,9.16,0,7.35,17.28,4.8,0,9.6,0,0,332.38000000000005

36,08:45-09:00,32,0,1.29,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.86,9.16,0,7.35,17.28,4.8,0,9.6,0,0,332.38000000000005

37,09:00-09:15,26.42,0,1.29,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.86,9.16,0,7.35,17.28,4.8,0,9.6,0,0,326.8000000000001

38,09:15-09:30,26.42,0,1.29,0,0,36.48,32,43.2,36.48,13.44,13.44,75,0.86,9.16,0,7.35,17.28,4.8,0,9.6,0,0,326.8000000000001

39,09:30-09:45,26.99,0,1.29,0,0,36.48,26.99,43.2,36.48,13.44,13.44,75,0.86,9.16,0,7.35,17.28,4.8,0,9.6,38.4,14.4,375.16

40,09:45-10:00,26.99,0,1.29,0,0,36.48,26.99,43.2,36.48,13.44,13.44,75,0.86,9.16,0,7.35,17.28,4.8,0,9.6,38.4,14.4,375.16

41,10:00-10:15,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.61999999999995

42,10:15-10:30,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.61999999999995

43,10:30-10:45,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.61999999999995

