Block,Time,CHAMERA1,DHAULIGNGA,KHSTPP-I,NTPL,PARBATI2,RAPPD,RIHAND1,SIMHST1,URI2,JHAJJAR,KUDGI,NJPC,RAPPC,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,ANTA_RF,RIHAND2,SALAL,SEWA2,SIMHST2,SINGRAULI,AURY_RF,DADRI_GF,DADRI_RF,CHAMERA2,CHAMERA3,KGSU1AND2,KISHANGANGA,KOLDAM,NLCTS2EXP,TALST2,TANAKPUR,UNCHAHAR1,AURY_CRF,DADRI_CRF,BSIUL,DADRT2,DULHASTI,NAPP,NLCEXP,NLCIIST1,RSTPSU7,TALA,ANTA_GF,ANTA_LF,BRBCL,KKNPPU2,MAPS,NLCIIST2,NNTPP,RIHAND3,RSTPSU1TO6,TANDA2,TelanganaSTPP,VALLURNTECL,DADRI_LF,FSTPP I & II,KGSU3AND4,KOTESHWR,PARBATI3,RAMPUR,RAPPB,SASAN,TEHRI,URI,ANTA_CRF,AURY_GF,KHSTPP-II,KKNP,AURY_LF
1,00:00-00:15,42.15,32.83,45.53,0,41.33,19.86,97.23,0,0,605.67,0,180.89,68.56,1.15,45,27.68,2.3,49.86,124.58,0,12.61,0,135.57,80.77,0,101.83,48.81,35.03,0,0,9.59,0,0,5.76,21.64,0,0,6.52,573.92,58.69,25.11,0,0,0,19.73,0,0,20,0,0,0,0,95.79,0,5.7,0,0,0,20.8,0,10.43,42.96,6.98,0,414,29.61,0,0,0,148.3,0,0

2,00:15-00:30,42.15,32.83,45.53,0,41.33,19.86,97.23,0,0,605.67,0,180.89,68.56,1.15,45,27.68,2.3,49.86,124.58,0,6.3,0,135.57,80.77,0,101.83,48.81,35.03,0,0,9.59,0,0,5.76,21.64,0,0,6.52,573.92,58.69,25.11,0,0,0,19.73,0,0,20,0,0,0,0,95.79,0,5.7,0,0,0,20.8,0,10.43,42.96,6.98,0,414,29.61,0,0,0,148.3,0,0

3,00:30-00:45,42.15,32.83,45.53,0,41.33,19.86,97.23,0,0,605.67,0,180.89,68.56,1.15,45,27.68,3.2,49.86,124.58,13.95,6.3,0,135.57,80.77,0,101.83,48.81,35.03,0,0,9.59,0,0,5.76,21.64,0,0,6.52,573.92,58.69,25.11,0,0,0,19.73,0,0,20,0,0,0,0,95.79,0,5.7,0,0,0,20.8,0,10.43,42.96,6.98,0,414,29.61,0,0,0,148.3,0,0

4,00:45-01:00,42.15,32.83,45.53,0,41.33,19.86,97.23,0,0,605.67,0,180.89,68.56,1.15,45,27.68,3.2,49.86,124.58,26.73,6.3,0,135.57,80.77,0,101.83,48.81,35.03,0,0,9.59,0,0,5.76,21.64,0,0,6.52,573.92,58.69,25.11,0,0,0,19.73,0,0,20,0,0,0,0,95.79,0,5.7,0,0,0,20.8,0,10.43,42.96,6.98,0,414,29.61,0,0,0,148.3,0,0

5,01:00-01:15,42.15,32.83,45.53,0,41.33,19.86,97.23,0,0,605.67,0,180.89,68.56,1.15,45,27.68,3.2,51.17,124.58,53.45,6.3,0,135.57,80.77,0,101.83,48.81,35.03,0,0,9.59,0,0,5.76,21.64,0,0,6.52,573.92,58.69,25.11,0,0,0,19.73,0,0,20,0,0,0,0,95.79,0,5.7,0,0,0,20.8,0,10.43,42.96,6.98,0,414,29.61,0,0,0,148.3,0,0

