Block,Time,KOTESHWR,ANTA_CRF,DADRI_RF,URI,CHAMERA1,RIHAND1,KISHANGANGA,AURY_CRF,UNCHAHAR4,AURY_LF,TEHRI,CHAMERA2,DULHASTI,RAMPUR,CHAMERA3,ANTA_GF,KOLDAM,SEWA2,URI2,TANDA2,PARBATI3,SALAL,DADRI_GF,ANTA_LF,RIHAND3,DADRT2,JHAJJAR,ANTA_RF,UNCHAHAR3,AURY_RF,BSIUL,DADRI_CRF,UNCHAHAR1,SINGRAULI_HYDRO,TANAKPUR,NAPP,NJPC,AURY_GF,DHAULIGNGA,SINGRAULI,RAPPB,DADRI_LF,RIHAND2,UNCHAHAR2,RAPPC,FSTPP I & II,TALA,KHSTPP-II,SASAN,BRBCL,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,26.707451,0.000000,9.585429,32.503582,39.349489,88.693019,5.367487,0.000000,2.987204,0.000000,39.996511,46.816884,57.122017,6.511447,33.622609,0.000000,8.952967,18.148236,37.019958,5.172163,18.410045,70.665752,0.000000,0.000000,119.873657,664.527914,456.546937,0.457003,25.485658,1.201681,12.589056,0.000000,21.057344,1.108016,1.731169,47.154641,173.717757,0.000000,42.025433,134.641106,0.000000,0.000000,114.485449,20.473820,65.793651,11.043032,0.000000,143.153316,404.238681,19.307738,42.772443,0,0,0,0,0

2,00:15-00:30,26.707451,0.000000,9.585429,32.503582,40.685542,88.693019,5.367487,0.000000,2.987204,0.000000,39.996511,46.816884,57.122017,6.511447,33.622609,0.000000,8.952967,18.148236,37.019958,5.172163,18.410045,70.665752,0.000000,0.000000,119.873657,664.527914,456.546937,0.000000,25.485658,0.000000,12.589056,0.000000,21.057344,1.108016,1.731169,47.154641,173.717757,0.000000,42.025433,134.641106,0.000000,0.000000,114.485449,20.473820,65.793651,11.043032,0.000000,143.153990,404.238681,19.307738,42.772443,0,0,0,0,0

3,00:30-00:45,26.707451,0.000000,9.585429,32.503582,40.685542,88.693019,5.367487,0.000000,2.987204,0.000000,39.996511,46.816884,57.122017,6.511447,33.622609,0.000000,8.952967,18.148236,37.019958,5.172163,18.410045,70.665752,0.000000,0.000000,119.873657,664.527914,456.546937,0.000000,25.485658,0.000000,12.589056,0.000000,21.057344,1.108016,1.731169,47.154641,173.717757,0.000000,42.025433,134.641106,0.000000,0.000000,114.485449,20.473820,65.793651,11.043032,0.000000,143.153990,404.238681,19.307738,42.772443,0,0,0,0,0

4,00:45-01:00,26.707451,0.000000,9.585429,32.503582,40.685542,88.693019,5.367487,0.000000,2.987204,0.000000,39.996511,46.816884,57.122017,6.511447,33.622609,0.000000,8.952967,18.148236,37.019958,5.172163,18.410045,70.665752,0.000000,0.000000,119.873657,664.527914,456.546937,0.000000,25.485658,0.000000,12.589056,0.000000,21.057344,1.108016,1.731169,47.154641,173.717757,0.000000,42.025433,134.641106,0.000000,0.000000,114.485449,20.473820,65.793651,11.043032,0.000000,143.153990,404.238681,19.307738,42.772443,0,0,0,0,0

5,01:00-01:15,26.707451,0.000000,1.133135,32.503582,40.685542,88.693019,5.367487,0.000000,2.987204,0.000000,39.996511,46.816884,57.122017,6.511447,33.622609,0.000000,8.952967,18.148236,33.934961,5.172163,18.410045,70.665752,0.000000,0.000000,119.873657,664.241367,456.546937,0.000000,25.485658,0.000000,12.589056,0.000000,21.057344,1.108016,2.967718,47.154641,173.717757,0.000000,42.025433,134.641106,0.000000,0.000000,114.485449,20.473820,65.793651,11.043032,0.000000,143.153990,404.238681,19.307738,42.772443,0,0,0,0,0

