Block,Time,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01102023/19072037/LT-05,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01062024/30062024/IEPL01,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/R2,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,21.780000,30.910000,100.640000,24.150000,10.610000,48.300000,48.300000,30.910000,0.000000,38.640000,115.490000,67.620000,38.640000,24.150000,31.290000,24.150000,273.140000,0.000000,262.270000,0.000000,0.000000,9.010000,14.570000,24.150000,0.000000,24.150000,10.410000,0.000000,87.130000,0,41,0,0,14.4,0,0,0,0,49.5,16,41,0,16.5,0,16.5,0,0,0,0,0

2,00:15-00:30,21.780000,30.910000,100.640000,24.150000,10.610000,48.300000,48.300000,30.910000,0.000000,38.640000,115.490000,67.620000,38.640000,24.150000,31.290000,24.150000,273.140000,0.000000,262.270000,0.000000,0.000000,9.010000,14.570000,24.150000,0.000000,24.150000,10.410000,0.000000,87.130000,0,40.67,0,0,13.8,0,0,0,0,49.5,16,40.67,0,16.5,0,16.5,0,0,0,0,0

3,00:30-00:45,21.780000,30.910000,100.640000,24.150000,10.610000,48.300000,48.300000,30.910000,0.000000,38.640000,115.490000,67.620000,38.640000,24.150000,31.290000,24.150000,273.140000,0.000000,262.270000,0.000000,0.000000,9.010000,14.570000,24.150000,16.110000,24.150000,10.410000,0.000000,87.130000,0,40,0,0,13.4,0,0,0,0,50.5,16,40,0,16.83,0,16.84,0,0,0,0,0

4,00:45-01:00,21.780000,30.910000,100.640000,24.150000,10.610000,48.300000,48.300000,30.910000,0.000000,38.640000,115.490000,67.620000,38.640000,24.150000,31.290000,24.150000,273.140000,0.000000,262.270000,0.000000,0.000000,9.010000,14.570000,24.150000,16.110000,24.150000,10.410000,0.000000,87.130000,0,39.33,0,0,11.01,0,0,0,0,52,16,39.33,0,17.33,0,17.34,0,0,0,0,0

5,01:00-01:15,21.780000,30.910000,100.640000,24.150000,10.610000,48.300000,48.300000,30.910000,0.000000,38.640000,115.490000,67.620000,38.640000,24.150000,31.290000,24.150000,273.140000,0.000000,262.270000,0.000000,0.000000,8.830000,14.380000,24.150000,16.110000,24.150000,10.410000,0.000000,87.130000,0,33.33,0,0,10.61,0,0,0,0,53,16,33.33,0,17.67,0,17.66,0,0,0,0,0

