Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,GNA/NR/2024/08/07/2729,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01082024/30092024/LT_MEJA_DELHI,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/30042040/GNA_LT_35,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,GNA/NR/2024/08/07/8214,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/15082024/APL-Raigarh,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,NR/30092023/31122025/SH-07,NR/01082024/31082024/SKS-Raigarh,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,0,0,0,0,0,0,0,0,0,96.32,0,0,66.74,66.74,32.11,26.3,32.1,100.31,38.52,0,6.39,115.07,0,0,19.12,48.14,0,0,48.14,125.18,272.26,192.58,0,29.27,0,86.85,261.43,0,32,4.14,0,12.4,7.01,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,96.56,0,0,65.3,65.3,32.19,26.12,32.18,100.31,38.52,0,6.39,115.07,0,0,19.12,48.14,0,0,48.14,125.18,272.26,192.58,0,29.27,0,86.85,261.43,0,32,4.14,0,12.4,7.01,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,96.61,0,0,65.03,65.03,32.21,26.07,32.2,100.31,38.52,0,6.39,115.07,0,0,19.12,48.14,0,0,48.14,125.18,272.26,192.58,0,29.27,0,86.85,261.43,0,32,4.14,0,12.4,7.01,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,96.17,0,0,64.16,64.16,32.06,26.06,32.05,100.31,38.52,0,6.39,115.07,0,0,19.12,48.14,0,0,48.14,125.18,272.26,192.58,0,29.27,0,86.85,261.43,0,32,4.14,0,12.4,7.01,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,96.24,0,0,63.54,63.54,32.08,25.86,32.07,100.31,38.52,0,5.74,115.07,0,0,19.12,48.14,0,0,48.14,125.18,272.26,192.58,0,29.27,0,86.85,261.43,0,32,4.14,0,12.4,7.01,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,96.36,0,0,66.05,66.05,32.12,25.58,32.11,100.31,38.52,0,5.74,115.07,0,0,19.12,48.14,0,0,48.14,125.18,272.26,192.58,0,29.27,0,86.85,261.43,0,32,4.14,0,12.4,7.01,0

