Time,Block,NR/2023/14277/C,NR/2023/11697/A,NR/2023/14115/F,NR/2023/13858/A,NR/2023/13284/A,NR/2023/13983/F,NR/2023/14196/D,NR/2023/11204/A,NR/2023/11954/A,NR/2023/14256/D,NR/2023/14113/F,NR/2023/11325/A,NR/2023/11315/A,NR/2023/13283/A,NR/2023/11203/A,NR/2023/13573/A,NR/2023/14121/F,NR/2023/13283/A/II,NR/2023/11739/A,NR/2023/14114/F,NR/2023/13859/A,NR/2023/12646/A,NR/2023/11458/A,NR/2023/14119/F,NR/2023/14120/F,NR/2023/14263/C,NR/2023/13983/F/II,NR/2023/13573/A/II,NR/2023/14257/D,NR/2023/13704/A,NR/2023/13704/A/II,NR/2023/11205/A,NR/2023/11892/A,NR/2023/14136/F,NR/2023/14117/F,NR/2023/14258/D,NR/2023/14270/C,NR/2023/11328/A,NR/2023/14255/D,NR/2023/11654/A,NR/2023/11470/A,NR/2023/14116/F,NR/2023/11264/A,NR/2023/11469/A,NR/2023/14118/F,NR/2023/14260/D,NR/2023/14261/D,NR/2023/14259/D,Total
,,PXIL,APPCPL,SHPPBPL,MANIKARAN,APPCPL,ITCLH,IEXL,KEIPL,KEIPL,NVVNL,SHPPBPL,APPCPL,GMRETL,APPCPL,KEIPL,NVVNL,SHPPBPL,APPCPL,NVVNL,SHPPBPL,MANIKARAN,MANIKARAN,STATKRAFT,SHPPBPL,SHPPBPL,GBHHPL,ITCLH,NVVNL,KEIPL,HPXL,HPXL,KEIPL,TPTCL,SJVNL,SHPPBPL,NVVNL,TPDDL,APPCPL,KEIPL,TPTCL,NVVNL,SHPPBPL,TPTCL,NVVNL,SHPPBPL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,KARNATAKA,KERALA,MEGHALAYA,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,GOA,MEGHALAYA,NA,HIMACHAL PRADESH,GOA,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,NA,MAHARASHTRA,MAHARASHTRA,MAHARASHTRA,KERALA,MAHARASHTRA,WEST BENGAL,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,UTTARAKHAND,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,NA,
,,BYPL,HP,SHPPBPL,HP,HP,ITCWIND,NSLSUGAR,KSEB,Meghalaya_Ben,SORANG_HEP,SHPPBPL,Meghalaya_Ben,Meghalaya_Ben,GOA_Beneficiary,Meghalaya_Ben,SKS Raigarh,SHPPBPL,GOA_Beneficiary,JP BINA,SHPPBPL,HP,TANGEDCO,TANGEDCO,SHPPBPL,SHPPBPL,GBHHPL,ITCWIND,SKS Raigarh,LMEL MSEB,B_S_ISPAT_MH,B_S_ISPAT_MH,KSEB,TPC MSEB,IPCL_WB,SHPPBPL,KAMENG,CHANJUII,UTTARAKHAND,LAPL-UP,JPL-2,KAMENG,SHPPBPL,KWHEP,JPNIGRIE_JNSTPP,SHPPBPL,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,ASIL_UP,BYPL,BAL234,BRPL,BRPL,ITCLH,MES (Delhi),BYPL,BYPL,TPDDL,BAL184,BYPL,BYPL,BRPL,BYPL,NDMC,UHL,BRPL,BRPL,BAL224,BRPL,BRPL,BYPL,JHPL-DL,MHIL,DIAPL,ITCLH,NDMC,BYPL,NDMC,NDMC,BRPL,BYPL,NDMC,BMDRC,TPDDL,TPDDL,BYPL,BYPL,BRPL,BRPL,AISHER,BRPL,BRPL,MAX-HPTL,MES (Delhi),BYPL,BRPL,
,,North-North,North-North,North-North,North-North,North-North,South-West-North,South-West-North,South-East-North,North East-East-North,North-North,North-North,North East-East-North,North East-East-North,West-East-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,North-North,South-West-North,South-West-North,North-North,North-North,North-North,South-East-North,West-East-North,West-North,West-North,West-East-North,South-East-North,West-North,East-North,North-North,North East-East-North,North-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,0.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.870000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1835.17

2,00:15-00:30,0.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.870000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1835.17
