Block,Time,CHAMERA1,DADRT2,NLCIIST1,RIHAND3,TALST2,TANDA2,ANTA_LF,FSTPP I & II,KHSTPP-II,KOTESHWR,KUDGI,NLCEXP,NNTPP,RAPPC,RAPPD,TANAKPUR,UNCHAHAR4,AURY_CRF,DADRI_CRF,DADRI_GF,DHAULIGNGA,PARBATI3,RIHAND1,URI2,VALLURNTECL,ANTA_CRF,DADRI_LF,CHAMERA3,KGSU3AND4,KKNP,RAMPUR,SALAL,TEHRI,UNCHAHAR2,UNCHAHAR3,ANTA_GF,AURY_LF,AURY_RF,BRBCL,CHAMERA2,JHAJJAR,KISHANGANGA,KOLDAM,NAPP,NLCIIST2,NTPL,RAPPB,RSTPSU1TO6,RSTPSU7,SIMHST1,SINGRAULI,TALA,UNCHAHAR1,AURY_GF,DULHASTI,PARBATI2,SASAN,TelanganaSTPP,ANTA_RF,BSIUL,KGSU1AND2,KKNPPU2,NJPC,NLCTS2EXP,SIMHST2,SINGRAULI_HYDRO,URI,KHSTPP-I,MAPS,RIHAND2,SEWA2,DADRI_RF
1,00:00-00:15,42.15,229.46,0,95.79,0,5.7,0,20.8,148.3,10.43,0,0,0,67.71,0,6.27,2.3,0,0,0,32.83,67.51,97.23,38.1,0,0,0,35.03,0,0,6.98,84.24,30.33,44.5,27.68,0,0,80.77,20,48.81,458.67,8.63,9.59,25.38,0,0,0,0,0,0,135.57,0,21.94,0,58.69,48.84,408.38,0,49.86,13.04,0,0,180.89,0,0,1.06,50.79,45.53,0,124.58,12.61,98.41

2,00:15-00:30,42.15,229.46,0,95.79,0,5.7,0,20.8,148.3,10.43,0,0,0,67.71,0,6.27,2.3,0,0,0,32.83,67.51,97.23,38.1,0,0,0,35.03,0,0,6.98,84.24,30.33,44.5,27.68,0,0,80.77,20,48.81,458.67,8.63,9.59,25.38,0,0,0,0,0,0,135.57,0,21.94,0,58.69,48.84,408.38,0,49.86,13.04,0,0,180.89,0,0,1.06,50.79,45.53,0,124.58,12.61,98.41

3,00:30-00:45,42.15,229.46,0,95.79,0,5.7,0,20.8,148.3,10.43,0,0,0,67.71,0,6.27,2.3,0,0,0,32.83,67.51,97.23,38.1,0,0,0,35.03,0,0,6.98,84.24,10.43,44.5,27.68,0,0,80.77,20,48.81,458.67,8.63,7.19,25.38,0,0,0,0,0,0,135.57,0,21.94,0,58.69,48.84,408.38,0,49.86,13.04,0,0,180.89,0,0,1.06,50.79,45.53,0,124.58,12.61,98.41

4,00:45-01:00,42.15,229.46,0,95.79,0,5.7,0,20.8,148.3,10.43,0,0,0,67.71,0,6.27,2.3,0,0,0,32.83,67.51,97.23,38.1,0,0,0,35.03,0,0,6.98,84.24,9.63,44.5,27.68,0,0,80.77,20,48.81,488.67,8.63,7.19,25.38,0,0,0,0,0,0,135.57,0,21.94,0,58.69,48.84,408.38,0,49.86,13.04,0,0,180.89,0,0,1.06,50.79,45.53,0,124.58,12.61,98.41

5,01:00-01:15,42.15,229.46,0,95.79,0,5.7,0,20.8,148.3,10.43,0,0,0,67.71,0,6.27,2.3,0,0,0,32.83,50.64,97.23,38.1,0,0,0,35.03,0,0,6.98,84.24,9.63,44.5,27.68,0,0,80.77,20,48.81,488.67,8.63,7.19,25.38,0,0,0,0,0,0,135.57,0,21.94,0,58.69,48.84,408.38,0,51.17,13.04,0,0,180.89,0,0,1.06,50.79,45.53,0,124.58,12.61,98.41

