Column1,Time,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/06/07/5932,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/1192,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,GNA/NR/2025/07/26/3975,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/3109,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/8154,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/1044,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/2997,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/8139,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/8128,NR/01102023/31052040/LT-31,GNA/NR/2025/07/16/7255,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/2786
1,00:00-00:15,0,38.02,0,0,0,0,0,0,13.33,39,13.33,39,0,40.01,0,12.33,0,0,0,0,-0,270.31,8.51,49.02,0,10.48,0,81.69,19.22,6.15,20.73,0,3.24,18.21,32,115.29,86.69,134.79,15.23,130.04,0,100.13,12.64,0,163.39,0,10.73,29.28,43.68

2,00:15-00:30,0,38.02,0,0,0,0,0,0,13.33,39,13.33,39,0,40.01,0,12.33,0,0,0,0,-0,270.31,8.51,49.02,0,10.48,0,81.69,19.22,6.15,20.73,0,3.24,18.21,32,115.29,86.69,134.79,15.23,130.04,0,100.13,12.64,0,163.39,0,10.73,29.28,43.68

3,00:30-00:45,0,35.61,0,0,0,0,0,0,13.33,38.33,13.33,38.34,0,40.01,0,12.33,0,0,0,0,-0,270.31,8.51,49.02,0,10.48,0,81.69,19.22,6.15,20.73,9.39,3.24,18.21,30,115.29,86.69,134.79,15.23,130.04,0,100.13,12.64,0,163.39,0,10.73,29.77,43.68

4,00:45-01:00,0,35.21,0,0,0,0,0,0,13.33,37.33,13.33,37.34,0,40.01,0,12.33,0,0,0,0,-0,270.31,8.51,49.02,0,10.48,0,81.69,19.22,6.15,20.73,23.64,3.24,18.21,30,115.29,86.69,134.79,15.23,130.04,0,100.13,12.64,0,163.39,0,10.73,29.77,43.68

5,01:00-01:15,0,35.01,0,0,0,0,0,0,13.33,36.33,13.33,36.34,0,40.01,0,12.33,0,0,0,0,-0,270.31,8.51,49.02,0,10.48,0,81.69,19.22,6.01,20.73,23.64,3.24,18.12,30,115.29,86.69,134.79,15.23,130.04,0,100.13,12.64,0,163.39,0,10.73,29.77,43.68

