Time,Block,NR/2024/20037/A/21516,NR/2024/20560/A/21778,NR/2024/19760/A/21706,NR/2024/20050/A/21886,NR/2024/20090/A/21462,NR/2024/19355/A/21928,NR/2024/20557/A/21780,NR/2024/19791/A/21851,NR/2024/19779/A/21421,NR/2024/20513/A/21522,NR/2024/20142/A/21518,NR/2024/20552/A/21513,NR/2024/20109/A/21926,NR/2024/19757/A/21802,NR/2024/19588/A/21546,NR/2024/20130/A/21487,NR/2024/20558/A/21779,NR/2024/20553/A/21515,NR/2024/20554/A/21503,NR/2024/19699/A/21804,NR/2024/20661/C,NR/2024/20211/A/21524,NR/2024/20598/A/21757,NR/2024/19637/A/21497,NR/2024/20524/A/21785,NR/2024/20631/C,NR/2024/20144/A/21519,NR/2024/19919/A/21848,NR/2024/20572/A/21812,NR/2024/20597/A/21911,NR/2024/19966/A/21493,NR/2024/19432/A/21809,NR/2024/20141/A/21517,NR/2024/20048/A/21896,NR/2024/20515/A/21521,NR/2024/20212/A/21523,NR/2024/20516/A/21520,NR/2024/19988/A/21704,NR/2024/20632/C,NR/2024/20644/C,NR/2024/19918/A/21850,NR/2024/20540/A/21526,NR/2024/20662/C,NR/2024/19475/A/21760,NR/2024/19683/A/21458,NR/2024/20599/A/21755,NR/2024/20041/A/21860,NR/2024/20537/A/21923,NR/2024/20630/C,Total
,,TPTCL,NVVNL,TPTCL,PTC,IEXL,TPDDL,NVVNL,APPCPL,ITCLH,MSSH,BAL224,IEXL,TPDDL,NVVNL,GMRETL,DTCP,NVVNL,IEXL,PXIL,NVVNL,IEXL,JHPL-DL,TPTCL,INSTINCT,HPXL,NVVNL,BAL234,APPCPL,NVVNL,PTC,BRPL,NVVNL,BAL184,PTC,MHIL,UHL,BMDRC,TPTCL,NVVNL,HPXL,APPCPL,DIAPL,PXIL,AEL,IEXL,TPTCL,PTC,TPDDL,NVVNL,Total

,,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,TAMIL NADU,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,TAMIL NADU,RAJASTHAN,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KERALA,NA,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KARNATAKA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,NA,
,,JPL_DHULE,RKM_POWER,SIMHAPURI,HP,A_A_Energy_MH_Bio,JPL-2,SKS Raigarh,TANGEDCO,ITCWIND,SHPPBPL,SHPPBPL,JSWEL,JHAJJAR,TANGEDCO,RUVNL,SHPPBPL,RKM_POWER,JSWEL MSEB,IND_BHARAT,JP BINA,HP-GOVT,SHPPBPL,PPGCL,JPL-2,GBHHPL,KAMENG,SHPPBPL,KSEB,JPL-2,SEILP2,IEPLBELA2022,SEIL,SHPPBPL,HP,SHPPBPL,SHPPBPL,SHPPBPL,HP-GOVT,SORANG_HEP,PCKL,Nagaland_Ben,GBHHPL,HP-GOVT,APL_Raipur TPP,NHCPL_HP,ACBIL,JPL_DHULE,JHAJJAR,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,NDMC,BRPL,BRPL,MES (Delhi),TPDDL,NDMC,BYPL,ITCLH,MSSH,BAL224,BRPL,TPDDL,BRPL,BYPL,DTCP,NDMC,BRPL,BRPL,TPDDL,BRPL,JHPL-DL,BRPL,BRPL,BRPL,TPDDL,BAL234,BYPL,NDMC,BRPL,BRPL,TPDDL,BAL184,BYPL,MHIL,UHL,BMDRC,BRPL,TPDDL,BRPL,BYPL,DIAPL,BRPL,BRPL,MES (Delhi),BRPL,BRPL,TPDDL,MES (Delhi),
,,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,South-West-North,South-West-North,North-North,North-North,South-East-West-North,North-North,South-West-North,North-North,North-North,West-North,West-North,East-West-North,West-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,North-North,South-West-North,West-North,South-West-North,West-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,South-East-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,West-North,North-North,West-North,
1,00:00-00:15,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.630000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,32.930000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2354.28

2,00:15-00:30,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.630000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,32.930000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2354.28
