Column1,Block,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2786,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/27962/A/85051,NR/2025/30086/A/85080,NR/2025/30084/A/85081,NR/2025/29910/A/85086,NR/2025/29628/A/85090,NR/2025/29353/A/84777,NR/2025/30217/A/85077,NR/2025/28725/A/85063,NR/2025/30067/A/85188,NR/2025/27970/A/85055,NR/2025/29352/A/84778,NR/2025/27968/A/85054,NR/2025/30101/A/85118,NR/2025/30121/A/84644,NR/2025/30082/A/85072,NR/2025/26975/A/85100,NR/2025/29167/A/85066,NR/2025/30083/A/85082,NR/2025/29439/A/84773,NR/2025/29440/A/84634,NR/2025/30191/A/84642,NR/2025/29986/A/84834,NR/2025/29915/A/85064,NR/2025/27978/A/85122,NR/2025/27964/A/85053,NR/2025/27963/A/85052,NR/2025/30459/C,NR/2025/30398/C,NR/2025/30423/C,NR/2025/30402/C,NR/2025/30425/C,NR/2025/30403/C,NR/2025/30404/C,NR/2025/30405/C,NR/2025/30447/C,NR/2025/30463/C,NR/2025/30464/C,NR/2025/30468/C,NR/2025/30436/C,NR/2025/30466/C,NR/2025/30437/C,NR/2025/30467/C,NR/2025/30472/C,NR/2025/29992/A/85258,NR/2025/30439/C,NR/2025/30484/C,NR/2025/30470/C,NR/2025/30105/A/85079,NR/2025/29985/A/84833,NR/2025/30334/A/85126,GNARE/NR/2024/12/20/3668,Total
,,PowerPulse,PTC,PowerPulse,NDMC,DELHI,MANIKARAN,PowerPulse,APPCPL,APPCPL,BAWANA_GAS,PUNJAB,PowerPulse,APPCPL,APPCPL,APPCPL,APPCPL,PTC,APPCPL,PowerPulse,MANIKARAN,PowerPulse,PTC,PowerPulse,NVVNL,IEXL,HPXL,APPCPL,TPTCL,APPCPL,IVPL_Trader,ITCLH,IEXL,BRPL,TPTCL,NVVNL,PowerPulse,PowerPulse,NVVNL,HPXL,IEXL,PowerPulse,BYPL,PowerPulse,PowerPulse,PowerPulse,ITCLH,APPCPL,APPCPL,APPCPL,NVVNL,APPCPL,NVVNL,APPCPL,APPCPL,BYPL,NVVNL,DIAPL,APPCPL,APPCPL,BRPL,IEXL,SECI_Trader,
,,NA,NA,NA,NA,HIMACHAL_STATE,MSEB_State,NA,GOA_State,GOA_State,DELHI_UT,DELHI_UT,NA,NA,NA,KERALA_State,MSEB_State,GoHP_NJPC_STATE,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,MP_State,TAMILNADU_State,NA,Manipur_State,MSEB_State,NA,MSEB_State,ANDHRA_PRADESH_STATE,NA,NA,UTTARPRADESH_STATE,NA,NA,NA,MP_State,NA,NA,NA,KERALA_State,NA,NA,NA,ANDHRA_PRADESH_STATE,MSEB_State,KERALA_State,NA,NA,NA,NA,NA,NA,KERALA_State,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,
,,APL_Raipur_TPP,MEENAKSHI,APL_Raipur_TPP,JPL2,CHANJUII,AEML,MAHAN_ENERGEN,GOA_Beneficiary,GOA_Beneficiary,BAWANA_GAS,BAWANA_GAS,APL_Raipur_TPP,RKM_POWER,RKM_POWER,KSEB,AEML,GoHP_NJPC,TRN_ENERGY,MAHAN_ENERGEN,MBMP,APL_Raigarh_TPP,GoHP_Chamera1,APL_Raigarh_TPP,JP_BINA,PCBLTNLTD_UNIT2,SKS_Raigarh,Manipur_Ben,TPC_MSEB,SKS_Raigarh,TPC_MSEB,ITCWIND,IND_BHARAT,DADRT2,PPGCL,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,MAHAN_ENERGEN,JP_BINA,SKS_Raigarh,IND_BHARAT,MAHAN_ENERGEN,KSEB,MAHAN_ENERGEN,APL_Raigarh_TPP,APL_Raipur_TPP,ITCWIND,AEML,KSEB,JIPL,Kameng,SKS_Raigarh,SORANG_HEP,RKM_POWER,RKM_POWER,KSEB,JPNIGRIE_JNSTPP,GBHHPL,TRN_ENERGY,JIPL,TS1PL_BKN,TPSL_BKN2,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,HARYANA,PUNJAB,TPDDL,NDMC,NDMC,BYPL,BYPL,BRPL,NDMC,BRPL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,MES_Delhi,BRPL,BYPL,BYPL,NDMC,BYPL,ITCLH,BRPL,BRPL,BRPL,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,BRPL,BRPL,BYPL,TPDDL,TPDDL,TPDDL,ITCLH,BYPL,BYPL,NDMC,TPDDL,NDMC,TPDDL,NDMC,NDMC,BYPL,TPDDL,DIAPL,NDMC,NDMC,BRPL,MES_Delhi,TPDDL,
,,West-North,South-East-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,North East-East-North,West-North,West-North,West-North,South-West-North,East-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,East-North,North East-East-North,West-North,North-North,West-North,West-North,South-West-North,West-North,North-North,West-North,East-North,North-North,North-North,North-North,
1,00:00-00:15,135.71,49.09,225.22,43.75,15.94,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,25.1,0.91,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2456.4600000000005

2,00:15-00:30,135.71,49.09,225.22,43.75,15.94,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,25.1,0.91,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2456.4600000000005

