Block,Time Block,NLCIIST2,NLCIIST1,KHSTPP-I,JHAJJAR,KGSU1AND2,KOTESHWR,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,NLCEXP,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,DADRT2,DULHASTI,CHAMERA1,NJPC,NAPP,MAPS,RAMPUR,NTPL,PARBATI3,BSIUL,BRBCL,NNTPP,NLCTS2EXP,ANTA_RF,AURY_LF,DADRI_RF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_LF,ANTA_GF,DADRI_GF,AURY_CRF,AURY_RF,ANTA_CRF,KUDGI,TANDA2,TEHRI,UNCHAHAR3,UNCHAHAR2,URI,TANAKPUR,UNCHAHAR1,VALLURNTECL,TelanganaSTPP,UNCHAHAR4,URI2,TALST2,TALA,RSTPSU1TO6,RAPPC,RSTPSU7,SALAL,RIHAND3,SASAN,RAPPB,SIMHST1,RIHAND2,SIMHST2,RIHAND1,SEWA2,SINGRAULI,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,42.71,447.89,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,20.05,327.48,31.77,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,20.52,35.07,2.13,12.11,16.63,0,0,0,4.4,0,0,0,50.02,0,12.32,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

2,00:15-00:30,0,0,42.71,409.41,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,20.05,310.12,31.77,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,20.52,35.07,2.13,12.11,16.63,0,0,0,4.4,0,0,0,50.02,0,25.76,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

3,00:30-00:45,0,0,42.71,409.41,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,20.05,274.65,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,20.52,35.07,2.13,7.4,16.63,0,0,0,4.4,0,0,0,50.02,0,76.51,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

4,00:45-01:00,0,0,42.71,409.41,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,20.05,245.74,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,20.52,35.07,2.13,7.4,16.63,0,0,0,4.4,0,0,0,50.02,0,76.51,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

5,01:00-01:15,0,0,42.71,409.41,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,20.05,245.74,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,20.52,35.07,2.13,7.4,16.63,0,0,0,4.4,0,0,0,50.02,0,76.51,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

6,01:15-01:30,0,0,42.71,409.41,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,20.05,245.74,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,20.52,35.07,2.13,7.4,16.63,0,0,0,4.4,0,0,0,50.02,0,76.51,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

7,01:30-01:45,0,0,42.71,409.41,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,20.05,274.65,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,20.52,35.07,2.13,7.4,16.63,0,0,0,4.4,0,0,0,50.02,0,25.76,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

8,01:45-02:00,0,0,42.71,409.41,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,20.05,303.57,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,20.52,35.07,2.13,7.4,16.63,0,0,0,4.4,0,0,0,50.02,0,2.25,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

9,02:00-02:15,0,0,42.71,350.28,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,16.79,298.23,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,17.94,30.48,2.13,12.11,14.49,0,0,0,4.4,0,0,0,50.02,0,2.25,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

10,02:15-02:30,0,0,42.71,350.28,0,8.55,0,142.93,0,0,0,0,0,0,1.93,1.27,16.79,266.71,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,17.92,30.48,2.13,12.11,14.49,0,0,0,4.4,0,0,0,50.02,0,2.25,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

11,02:30-02:45,0,0,42.71,350.28,0,8.55,0,142.93,0,0,0,0,0,0,1.93,8.78,16.79,236.99,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,17.92,30.48,2.13,7.4,14.49,0,0,0,4.4,0,0,0,50.02,0,2.25,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

12,02:45-03:00,0,0,42.71,350.28,0,8.55,0,142.93,0,0,0,0,0,0,1.93,8.78,16.79,208.07,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,17.92,30.48,2.13,7.4,14.49,0,0,0,4.4,0,0,0,50.02,0,2.25,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

13,03:00-03:15,0,0,42.71,350.28,0,8.55,0,142.93,0,0,0,0,0,0,1.93,8.78,16.79,208.07,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,17.92,30.48,2.13,7.4,14.49,0,0,0,4.4,0,0,0,50.02,0,2.25,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

14,03:15-03:30,0,0,42.71,350.28,0,8.55,0,142.93,0,0,0,0,0,0,1.93,8.78,16.79,208.07,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,17.92,30.48,2.13,7.4,14.49,0,0,0,4.4,0,0,0,50.02,0,12.32,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

15,03:30-03:45,0,0,42.71,350.28,0,8.55,0,142.93,0,0,0,0,0,0,1.93,8.78,16.79,208.07,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,17.92,30.48,2.13,7.4,14.49,0,0,0,4.4,0,0,0,50.02,0,12.32,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

16,03:45-04:00,0,0,42.71,350.28,0,8.55,0,142.93,0,0,0,0,0,0,1.93,8.78,16.79,208.07,15.88,0,20.99,40.25,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,17.92,30.48,2.13,7.4,14.49,0,0,0,4.4,0,0,0,50.02,0,12.32,119.82,403.61,0,0,114.46,0,88.67,0,134.62,0,0,0,0,0,0

