Block,Time,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/27052033/DIAPL(L_NR_2023_04),SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/22052037/LT-59,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/15082037/GNA_NR_2012_01,L_NR_2019_19,NR/01102023/23072042/L_NR_2012_04,NR/26102023/26102023/HPX-TAMCTG-261023-05087,NR/01102023/05012040/L_NR_2020_02
1,00:00-00:15,0.000000,15.380000,0.000000,74.240000,15.380000,118.120000,7.21,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,8.79,0,18.93,0,18.93,0,0,0.000000,0,0,0,2.570000,7.22,21.64,101.410000,0,272.310000,0.000000,2.930000

2,00:15-00:30,0.000000,15.380000,0.000000,74.240000,15.380000,118.120000,6.92,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,8.62,0,18.23,0,18.23,0,0,0.000000,0,0,0,2.570000,6.92,20.77,101.410000,0,272.310000,0.000000,2.930000

3,00:30-00:45,0.000000,15.380000,0.000000,74.240000,15.380000,118.120000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,8.47,0,17.69,0,17.69,0,0,0.000000,0,0,0,2.570000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

4,00:45-01:00,0.000000,15.380000,0.000000,74.240000,15.380000,118.120000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,8.3,0,16.92,0,16.92,0,0,0.000000,0,0,0,2.570000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

5,01:00-01:15,0.000000,26.130000,0.000000,74.240000,26.130000,118.120000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,8.16,0,16.42,0,16.42,0,0,0.000000,0,0,0,2.570000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

6,01:15-01:30,0.000000,26.130000,0.000000,74.240000,26.130000,109.410000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,7.84,0,15.83,0,15.83,0,0,0.000000,0,0,0,2.570000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

7,01:30-01:45,0.000000,26.130000,0.000000,74.240000,26.130000,98.780000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,7.53,0,15.22,0,15.22,0,0,0.000000,0,0,0,2.570000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

8,01:45-02:00,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,7.01,0,15,0,15,0,0,0.000000,0,0,0,2.570000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

9,02:00-02:15,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,7,0,14.58,0,14.58,0,0,0.000000,0,0,0,2.490000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

10,02:15-02:30,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,7,0,13.98,0,13.98,0,0,0.000000,0,0,0,2.490000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

11,02:30-02:45,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.490000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

12,02:45-03:00,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.390000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.490000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

13,03:00-03:15,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.490000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

14,03:15-03:30,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.490000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

15,03:30-03:45,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.490000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

16,03:45-04:00,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.490000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

17,04:00-04:15,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.410000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

18,04:15-04:30,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,27.110000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.410000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

19,04:30-04:45,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,26.140000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.410000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

20,04:45-05:00,0.000000,26.130000,0.000000,74.240000,26.130000,72.030000,6.67,0,0,0,26.140000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.410000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

21,05:00-05:15,0.000000,23.510000,0.000000,74.240000,23.510000,72.030000,6.67,0,0,0,26.140000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.410000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

22,05:15-05:30,0.000000,15.380000,0.000000,74.240000,15.380000,80.750000,6.67,0,0,0,27.110000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.410000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

23,05:30-05:45,0.000000,15.380000,0.000000,74.240000,15.380000,89.460000,6.67,0,0,0,27.110000,6.41,0,2.310000,212.040000,0.000000,5.66,0,13.33,0,13.33,0,0,0.000000,0,0,0,2.410000,6.66,20,101.410000,0,272.310000,0.000000,2.930000

