Block,Time,BSIUL,DHAULIGNGA,FSTPP I & II,KUDGI,NLCTS2EXP,PARBATI3,SINGRAULI,TANAKPUR,UNCHAHAR4,VALLURNTECL,BRBCL,DADRT2,KGSU3AND4,KHSTPP-I,NTPL,RAPPB,RAPPC,RIHAND1,TALA,AURY_CRF,CHAMERA3,KKNP,NLCIIST2,NNTPP,RIHAND2,RSTPSU1TO6,SEWA2,UNCHAHAR2,ANTA_RF,DADRI_CRF,DULHASTI,KHSTPP-II,MAPS,NLCIIST1,RAMPUR,RIHAND3,CHAMERA2,KISHANGANGA,NJPC,SINGRAULI_HYDRO,TANDA2,TEHRI,CHAMERA1,KKNPPU2,KOTESHWR,PARBATI2,SALAL,SASAN,SIMHST1,ANTA_CRF,ANTA_GF,ANTA_LF,AURY_RF,DADRI_GF,JHAJJAR,KGSU1AND2,KOLDAM,NAPP,NLCEXP,TelanganaSTPP,UNCHAHAR1,URI,URI2,AURY_LF,DADRI_RF,RSTPSU7,SIMHST2,TALST2,UNCHAHAR3,AURY_GF,DADRI_LF
1,00:00-00:15,6.52,0,13.9,0,0,0,109.64,0,1.88,0,20,606.66,0,45.83,0,0,69.94,95.98,0,0,11.65,0,0,0,123.03,0,0,44.87,53.44,0,19.81,148.3,0,0,0,129.05,16.25,5.63,0,0.87,5.35,26.44,0,0,10.41,0,26.73,418.77,0,0,0,0,85.35,0,513.51,0,0,52.26,0,0,21.63,35.88,39.63,0,74.38,0,0,0,27.67,0,0

2,00:15-00:30,6.52,0,13.9,0,0,0,109.64,0,1.88,0,20,629.35,0,45.83,0,0,69.94,95.98,0,0,11.65,0,0,0,123.03,0,0,44.87,53.44,0,19.81,148.3,0,0,0,129.05,16.25,5.63,0,0.87,5.35,13.22,0,0,10.41,0,70.88,418.77,0,0,0,0,85.35,0,513.51,0,0,52.26,0,0,21.63,35.88,39.63,0,74.38,0,0,0,27.67,0,0

3,00:30-00:45,6.52,0,13.9,0,0,0,109.64,0,1.88,0,20,629.35,0,45.83,0,0,69.94,95.98,0,0,11.65,0,0,0,123.03,0,0,44.87,53.44,0,19.81,148.3,0,0,0,129.05,16.25,5.63,0,0.87,4.35,0,0,0,10.41,0,70.88,418.77,0,0,0,0,85.35,0,513.51,0,0,52.26,0,0,21.63,35.88,39.63,0,74.38,0,0,0,27.67,0,0

4,00:45-01:00,6.52,0,13.9,0,0,0,109.64,0,1.88,0,20,659.34,0,45.83,0,0,69.94,95.98,0,0,0,0,0,0,123.03,0,0,44.87,53.44,0,19.81,148.3,0,0,0,129.05,16.25,5.63,0,0.87,4.35,0,0,0,10.41,0,70.88,418.77,0,0,0,0,85.35,0,513.51,0,0,52.26,0,0,21.63,35.88,39.63,0,74.38,0,0,0,27.67,0,0

5,01:00-01:15,6.52,0,13.9,0,0,0,109.64,0,1.88,0,20,688.87,0,45.83,0,0,69.94,95.98,0,0,0,0,0,0,123.03,0,0,44.87,53.44,0,19.81,148.3,0,0,0,129.05,0,5.63,0,0.87,4.35,0,0,0,10.41,0,70.88,418.77,0,0,0,0,85.35,0,513.51,0,0,52.26,0,0,21.63,35.88,39.63,0,74.38,0,0,0,27.67,0,0

6,01:15-01:30,6.52,0,13.9,0,0,0,109.64,0,1.88,0,20,688.87,0,45.83,0,0,69.94,95.98,0,0,0,0,0,0,123.03,0,0,44.87,53.7,0,19.81,148.3,0,0,0,129.05,0,5.63,0,0.87,4.35,0,0,0,10.41,0,70.88,418.77,0,0,0,0,85.35,0,513.51,0,0,52.26,0,0,21.63,35.88,39.63,0,74.38,0,0,0,27.67,0,0

7,01:30-01:45,6.52,0,13.9,0,0,0,109.64,6.27,1.88,0,20,688.87,0,45.83,0,0,69.94,95.98,0,0,0,0,0,0,123.03,0,0,44.87,53.7,0,19.81,148.3,0,0,0,129.05,0,5.63,0,0.87,4.35,0,0,0,10.41,0,27.89,418.77,0,0,0,0,85.35,0,513.51,0,0,52.26,0,0,21.63,35.88,39.63,0,74.38,0,0,0,27.67,0,0

8,01:45-02:00,6.52,0,13.9,0,0,0,109.64,6.27,1.88,0,20,688.87,0,45.83,0,0,69.94,95.98,0,0,0,0,0,0,123.03,0,0,44.97,53.7,0,19.81,148.3,0,0,0,129.05,0,5.63,0,0.87,4.35,0,0,0,10.41,0,26.73,418.77,0,0,0,0,85.35,0,513.51,0,0,52.26,0,0,21.63,35.88,39.63,0,74.38,0,0,0,27.67,0,0

9,02:00-02:15,6.52,0,13.9,0,0,0,125.88,6.27,1.88,0,20,688.87,0,45.83,0,0,69.94,95.98,0,0,0,0,0,0,123.03,0,18.88,44.97,53.7,0,19.81,148.3,0,0,0,129.05,0,5.63,0,0.87,4.35,0,0,0,10.41,0,26.73,418.77,0,0,0,0,85.35,0,513.51,0,0,52.26,0,0,21.63,35.88,39.63,0,74.38,0,0,0,27.67,0,0

