Time,Block,NR/2023/16242/C,NR/2023/16223/C,NR/2023/16218/C,NR/2023/15309/F,NR/2023/12053/A,NR/2023/16186/D,NR/2023/12592/A,NR/2023/12431/A,NR/2023/12168/A,NR/2023/14898/A,NR/2023/14745/A,NR/2023/12052/A,NR/2023/15937/F,NR/2023/12148/A,NR/2023/16224/C,NR/2023/12422/A,NR/2023/12347/A,NR/2023/15057/F,NR/2023/12167/A,NR/2023/14746/A,NR/2023/16227/C,NR/2023/16217/C,NR/2023/14895/A,NR/2023/16214/C,NR/2023/13635/A,NR/2023/13862/A,NR/2023/16195/C,NR/2023/15402/F,NR/2023/12591/A,NR/2023/14737/A,NR/2023/16184/D,ER/2023/10115/C,NR/2023/16216/C,Total
,,IEXL,IEXL,HPXL,IEXL,KEIPL,KEIPL,NVVNL,TPTCL,APPCPL,MANIKARAN,APPCPL,KEIPL,NVVNL,GMRETL,IEXL,APPCPL,STATKRAFT,ITCLH,APPCPL,APPCPL,IEXL,SJVNL,MANIKARAN,TPDDL,NVVNL,MANIKARAN,GBHHPL,SJVNL,NVVNL,NVVNL,NVVNL,HPXL,SJVNL,Total

,,NA,NA,NA,JAMMU AND KASHMIR,MEGHALAYA,UTTAR PRADESH,NA,NA,UTTARAKHAND,HIMACHAL PRADESH,GOA,MEGHALAYA,NA,MEGHALAYA,NA,HIMACHAL PRADESH,TAMIL NADU,ANDHRA PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,UTTAR PRADESH,NA,NA,NA,DELHI,NA,
,,ACBIL,SCLTPS,SEILP2,SAPU1234,Meghalaya_Ben,LAPL-UP,JPNIGRIE_JNSTPP,JPL-2,UTTARAKHAND,HP,GOA_Beneficiary,Meghalaya_Ben,KAMENG,Meghalaya_Ben,Teesta_III,HP,TANGEDCO,ITCWIND,Meghalaya_Ben,HP,MCCPL,SHIVSHAKTISUGAR,HP,CHANJUII,KAMENG,TANGEDCO,GBHHPL,BCMLB001,JPNIGRIE_JNSTPP,SKS Raigarh,SOLAPUR_SOLAR,BYPL,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,
,,BYPL,BRPL,BRPL,MES (Delhi),BYPL,BYPL,BRPL,BRPL,BYPL,BRPL,BRPL,BYPL,TPDDL,BYPL,BRPL,BYPL,BYPL,ITCLH,BYPL,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,BRPL,DIAPL,NDMC,BRPL,NDMC,MES (Delhi),VLSEZ,NDMC,
,,West-East-North,North-North,South-East-North,North-North,North East-East-North,North-North,West-North,West-North,North-North,North-North,West-North,North East-East-North,North East-East-North,North East-East-North,East-North,North-North,South-West-North,South-West-North,North East-East-North,North-North,West-East-North,South-West-North,North-North,North-North,North East-East-North,South-East-North,North-North,North-North,West-North,West-North,West-North,North-East,North-North,
1,00:00-00:15,0.000000,0.000000,148.000000,4.840000,36.500000,0.000000,100.120000,125.110000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.870000,24.180000,85.990000,62.870000,0.000000,95.760000,17.600000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1530.27

2,00:15-00:30,0.000000,0.000000,148.000000,4.840000,36.500000,0.000000,100.120000,125.110000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.870000,24.180000,85.990000,62.870000,0.000000,95.760000,17.600000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1530.27
