Block,Time,BSIUL,KOTESHWR,NLCEXP,RAMPUR,RSTPSU7,VALLURNTECL,AURY_GF,AURY_LF,CHAMERA3,DADRT2,DULHASTI,KHSTPP-I,KHSTPP-II,KISHANGANGA,NAPP,NLCIIST2,RAPPC,RIHAND2,SIMHST2,TEHRI,DHAULIGNGA,KKNPPU2,KOLDAM,SEWA2,SINGRAULI,UNCHAHAR4,ANTA_CRF,DADRI_CRF,DADRI_LF,CHAMERA2,MAPS,NJPC,NLCTS2EXP,PARBATI2,RAPPB,RAPPD,RIHAND3,TANDA2,TelanganaSTPP,URI,ANTA_GF,AURY_RF,BRBCL,KKNP,SALAL,UNCHAHAR1,ANTA_RF,KGSU1AND2,KUDGI,NNTPP,NTPL,TANAKPUR,UNCHAHAR3,DADRI_GF,DADRI_RF,CHAMERA1,FSTPP I & II,JHAJJAR,KGSU3AND4,NLCIIST1,RIHAND1,RSTPSU1TO6,TALA,UNCHAHAR2,URI2,PARBATI3,SASAN,SIMHST1,SINGRAULI_HYDRO,TALST2,ANTA_LF,AURY_CRF
1,00:00-00:15,19.56,10.43,0,3.29,0,0,0,0,35.03,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,12.12,0,0,9.59,6.22,150.34,2.3,0,0,0,48.81,0,82.99,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,0,21.64,53.54,0,0,0,0,6.27,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,39.68,16.88,418.77,0,0.98,0,0,0

2,00:15-00:30,19.56,10.43,0,3.29,0,0,0,0,35.03,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,12.12,0,0,9.59,18.9,150.34,2.3,0,0,0,48.81,0,82.99,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,0,21.64,53.54,0,0,0,0,6.27,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,39.68,16.88,418.77,0,0.98,0,0,0

3,00:30-00:45,19.56,10.43,0,3.11,0,0,0,0,35.03,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,7.19,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,0,21.64,53.54,0,0,0,0,6.27,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,39.68,16.88,418.77,0,0.98,0,0,0

4,00:45-01:00,19.56,10.43,0,3.11,0,0,0,0,35.03,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,6.56,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,0,21.64,53.54,0,0,0,0,6.27,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,39.68,16.88,418.77,0,0.98,0,0,0

5,01:00-01:15,19.56,10.43,0,3.11,0,0,0,0,35.03,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,3.88,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,83.67,21.64,53.54,0,0,0,0,6.27,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

