Block,Time,DULHASTI,KOLDAM,ANTA_RF,DADRT2,AURY_RF,RAPPC,SALAL,TANAKPUR,CHAMERA2,URI,UNCHAHAR4,UNCHAHAR1,DADRI_RF,AURY_LF,JHAJJAR,UNCHAHAR2,ANTA_LF,DADRI_GF,BSIUL,NJPC,KHSTPP-II,TALA,KHSTPP-I,RIHAND3,SEWA2,KOTESHWR,RIHAND1,TEHRI,KUDGI,ANTA_CRF,UNCHAHAR3,DHAULIGNGA,RAPPB,CHAMERA1,AURY_GF,KISHANGANGA,RIHAND2,FSTPP I & II,CHAMERA3,PARBATI3,AURY_CRF,DADRI_LF,ANTA_GF,SINGRAULI_HYDRO,RAMPUR,SASAN,TANDA2,DADRI_CRF,URI2,SINGRAULI,NAPP,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,47.770544,0.000000,32.467680,660.114860,62.964108,24.892564,34.808059,11.388039,0.000000,8.534362,0.000000,19.311506,76.252666,0.000000,562.502556,27.518823,0.000000,0.000000,0.000000,41.178874,86.160140,21.306915,40.468644,119.498093,0.000000,8.574946,80.951203,0.000000,38.40,0.000000,16.028203,8.807728,0.000000,0.000000,0.000000,0.000000,0.000000,8.260416,0.000000,0.000000,0.000000,0.000000,0.000000,0.757898,0.000000,337.214542,0.000000,0.000000,9.099067,99.649688,39.113118,19.325969,0,0,0,0,0

2,00:15-00:30,47.770544,0.000000,32.467680,660.114860,62.964108,24.892564,34.808059,11.388039,0.000000,8.534362,0.000000,19.311506,76.252666,0.000000,562.502556,33.898432,0.000000,0.000000,0.000000,41.178874,86.160140,21.306915,40.468644,119.498093,0.000000,8.574946,80.951203,0.000000,38.65,0.000000,20.031584,8.807728,0.000000,0.000000,0.000000,0.000000,0.000000,8.260416,0.000000,0.000000,0.000000,0.000000,0.000000,0.757898,0.000000,337.214542,0.000000,0.000000,9.099067,99.649688,39.113118,19.325969,0,0,0,0,0

3,00:30-00:45,47.770544,0.000000,32.467680,660.108519,62.964108,24.892564,34.808059,11.388039,0.000000,47.472386,0.000000,19.306674,76.252666,0.000000,562.502556,39.786526,0.000000,0.000000,0.000000,41.178874,86.160140,21.306915,40.468644,119.492658,0.000000,8.574946,80.951203,0.000000,35.75,0.000000,23.999201,8.807728,0.000000,0.000000,0.000000,0.000000,0.000000,8.260416,0.000000,0.000000,0.000000,0.000000,0.000000,0.757898,0.000000,337.214542,0.000000,0.000000,9.099067,99.644856,39.113118,19.325969,0,0,0,0,0

4,00:45-01:00,47.770544,0.000000,32.467680,660.108519,62.964108,24.892564,34.808059,11.388039,0.000000,47.472386,0.000000,19.306674,76.252666,0.000000,562.502556,39.990132,0.000000,0.000000,0.000000,41.178874,86.160140,21.306915,40.468644,119.492658,0.000000,8.574946,80.951203,0.000000,33.82,0.000000,25.500754,8.807728,0.000000,0.000000,0.000000,0.000000,0.000000,8.260416,0.000000,0.000000,0.000000,0.000000,0.000000,0.757898,0.000000,337.214542,0.000000,0.000000,9.099067,99.644856,39.113118,19.151635,0,0,0,0,0

5,01:00-01:15,47.770544,0.000000,32.467680,660.108519,62.964108,24.892564,50.527827,12.663004,0.000000,14.935133,0.000000,19.306674,76.252666,0.000000,562.502556,39.990132,0.000000,0.000000,0.000000,41.178874,86.160140,21.306915,40.468644,119.492658,0.000000,0.000000,80.951203,0.000000,31.59,0.000000,25.500754,8.807728,0.000000,0.000000,0.000000,0.000000,0.000000,8.260416,0.000000,0.000000,0.000000,0.000000,0.000000,0.757898,0.000000,337.214542,0.000000,0.000000,16.118348,99.644856,39.113118,17.821530,0,0,0,0,0

6,01:15-01:30,47.770544,0.000000,32.467680,660.108519,62.964108,24.892564,76.701241,12.663004,0.000000,10.667952,0.000000,19.306674,76.252666,0.000000,562.502556,39.990132,0.000000,0.000000,0.000000,41.178874,86.160140,21.306915,40.468644,119.492658,0.000000,0.000000,80.951203,0.000000,31.89,0.000000,25.500754,8.807728,0.000000,0.000000,0.000000,0.000000,0.000000,8.260416,0.000000,0.000000,0.000000,0.000000,0.000000,0.757898,0.000000,337.214542,0.000000,0.000000,16.118348,99.644856,39.113118,15.413539,0,0,0,0,0

7,01:30-01:45,47.770544,0.000000,32.467680,660.108519,62.964108,24.892564,76.701241,12.663004,0.000000,10.667952,0.000000,19.306674,76.252666,0.000000,562.502556,39.990132,0.000000,0.000000,0.000000,41.178874,86.160140,21.306915,40.468644,119.492658,0.000000,0.000000,80.951203,0.000000,29.96,0.000000,25.500754,8.807728,0.000000,0.000000,0.000000,0.000000,0.000000,8.260416,0.000000,0.000000,0.000000,0.000000,0.000000,0.757898,0.000000,337.214542,0.000000,0.000000,16.118348,99.644856,39.113118,16.545501,0,0,0,0,0

8,01:45-02:00,47.770544,0.000000,32.467680,660.108519,62.964108,24.892564,76.701241,12.663004,0.000000,10.667952,0.000000,19.306674,76.252666,0.000000,562.502556,39.990132,0.000000,0.000000,0.000000,41.178874,86.160140,21.306915,40.468644,119.492658,0.000000,0.000000,80.951203,0.000000,30.92,0.000000,25.500754,8.807728,0.000000,0.000000,0.000000,0.000000,0.000000,8.260416,0.000000,0.000000,0.000000,0.000000,0.000000,0.757898,0.000000,337.214542,0.000000,0.000000,16.118348,99.644856,39.113118,19.119956,0,0,0,0,0

